Data;Godzina;CRO;CROs;CROz
20220501;1;589,94;603,91;603,91
20220501;2;583,39;583,39;583,39
20220501;3;556,12;556,12;556,12
20220501;4;581,51;581,51;581,51
20220501;5;566,62;566,62;566,62
20220501;6;515,18;515,18;515,18
20220501;7;515,18;515,18;515,18
20220501;8;496,29;496,29;496,29
20220501;9;475,32;475,32;475,32
20220501;10;469,22;469,22;469,22
20220501;11;437,53;437,53;437,53
20220501;12;475,32;454,59;454,59
20220501;13;472,57;433,76;433,76
20220501;14;432,68;432,68;432,68
20220501;15;472,57;434,83;434,83
20220501;16;478,65;442,75;442,75
20220501;17;515,18;515,18;515,18
20220501;18;583,39;586,77;586,77
20220501;19;584,39;665,93;665,93
20220501;20;583,40;690,56;690,56
20220501;21;561,86;764,13;764,13
20220501;22;540,32;714,49;714,49
20220501;23;525,48;683,53;683,53
20220501;24;521,77;626,02;626,02
20220502;1;457,28;457,28;457,28
20220502;2;457,28;457,28;457,28
20220502;3;461,01;461,01;461,01
20220502;4;436,40;436,40;436,40
20220502;5;457,28;457,28;457,28
20220502;6;448,31;448,31;448,31
20220502;7;549,00;604,10;604,10
20220502;8;497,29;454,87;454,87
20220502;9;496,29;454,92;454,92
20220502;10;470,53;454,89;454,89
20220502;11;457,29;448,32;448,32
20220502;12;456,44;441,04;441,04
20220502;13;457,28;439,42;439,42
20220502;14;457,29;439,31;439,31
20220502;15;472,78;435,43;435,43
20220502;16;500,91;435,42;435,42
20220502;17;496,29;455,11;455,11
20220502;18;496,29;496,29;496,29
20220502;19;510,85;510,85;510,85
20220502;20;577,03;577,03;577,03
20220502;21;654,79;654,79;654,79
20220502;22;726,60;726,60;726,60
20220502;23;577,03;577,03;577,03
20220502;24;513,08;513,08;513,08
20220503;1;517,35;565,54;565,54
20220503;2;506,73;507,46;507,46
20220503;3;498,00;498,00;498,00
20220503;4;497,12;465,08;465,08
20220503;5;480,08;455,69;455,69
20220503;6;476,97;451,50;451,50
20220503;7;501,40;479,94;479,94
20220503;8;502,40;502,40;502,40
20220503;9;517,00;517,00;517,00
20220503;10;501,40;501,40;501,40
20220503;11;499,10;499,10;499,10
20220503;12;499,10;499,10;499,10
20220503;13;499,09;499,09;499,09
20220503;14;502,40;502,40;502,40
20220503;15;501,72;501,72;501,72
20220503;16;499,14;499,14;499,14
20220503;17;501,67;501,67;501,67
20220503;18;517,35;536,74;536,74
20220503;19;563,63;613,22;613,22
20220503;20;598,83;641,63;641,63
20220503;21;670,91;781,46;781,46
20220503;22;598,83;740,86;740,86
20220503;23;697,32;697,32;697,32
20220503;24;563,63;609,13;609,13
20220504;1;558,01;597,15;597,15
20220504;2;504,93;585,44;585,44
20220504;3;516,84;586,44;586,44
20220504;4;515,63;588,60;588,60
20220504;5;483,66;483,66;483,66
20220504;6;503,37;659,24;659,24
20220504;7;553,70;664,05;664,05
20220504;8;573,94;573,94;573,94
20220504;9;600,89;624,75;624,75
20220504;10;553,70;553,70;553,70
20220504;11;513,96;513,96;513,96
20220504;12;512,96;512,96;512,96
20220504;13;523,56;523,56;523,56
20220504;14;533,33;533,33;533,33
20220504;15;533,33;533,33;533,33
20220504;16;544,18;544,18;544,18
20220504;17;572,03;606,89;606,89
20220504;18;600,91;629,12;629,12
20220504;19;910,00;910,00;910,00
20220504;20;977,86;1000,68;1000,68
20220504;21;792,89;1091,57;1091,57
20220504;22;754,43;754,43;754,43
20220504;23;582,78;789,12;789,12
20220504;24;519,58;746,94;746,94
20220505;1;534,49;721,19;721,19
20220505;2;502,40;502,40;502,40
20220505;3;497,25;497,25;497,25
20220505;4;529,52;650,05;650,05
20220505;5;548,97;710,16;710,16
20220505;6;578,42;764,23;764,23
20220505;7;750,89;851,10;851,10
20220505;8;620,29;747,11;747,11
20220505;9;718,69;742,54;742,54
20220505;10;590,45;590,45;590,45
20220505;11;539,70;539,70;539,70
20220505;12;536,00;536,00;536,00
20220505;13;514,00;514,00;514,00
20220505;14;514,00;514,00;514,00
20220505;15;526,00;526,00;526,00
20220505;16;620,28;671,40;671,40
20220505;17;670,01;708,37;708,37
20220505;18;900,00;900,00;900,00
20220505;19;900,00;952,60;952,60
20220505;20;798,92;1162,16;1162,16
20220505;21;776,09;1310,00;1310,00
20220505;22;776,09;1021,98;1021,98
20220505;23;776,09;1068,70;1068,70
20220505;24;776,09;931,65;931,65
20220506;1;693,76;830,59;830,59
20220506;2;615,00;756,99;756,99
20220506;3;610,27;723,10;723,10
20220506;4;611,38;715,78;715,78
20220506;5;651,85;760,98;760,98
20220506;6;611,39;808,29;808,29
20220506;7;802,65;952,66;952,66
20220506;8;819,00;820,83;820,83
20220506;9;950,00;950,00;950,00
20220506;10;945,00;945,00;945,00
20220506;11;796,97;796,97;796,97
20220506;12;610,27;629,46;629,46
20220506;13;610,26;632,38;632,38
20220506;14;674,81;674,81;674,81
20220506;15;615,00;615,00;615,00
20220506;16;615,00;631,97;631,97
20220506;17;688,30;688,30;688,30
20220506;18;799,84;799,84;799,84
20220506;19;800,00;859,25;859,25
20220506;20;949,11;1041,04;1041,04
20220506;21;1000,00;1192,52;1192,52
20220506;22;1000,00;1000,00;1000,00
20220506;23;765,50;1050,86;1050,86
20220506;24;688,11;927,41;927,41
20220507;1;867,44;867,44;867,44
20220507;2;737,56;787,45;787,45
20220507;3;640,91;757,87;757,87
20220507;4;612,64;735,20;735,20
20220507;5;537,57;732,36;732,36
20220507;6;507,99;507,99;507,99
20220507;7;532,98;686,45;686,45
20220507;8;526,30;654,32;654,32
20220507;9;562,50;662,40;662,40
20220507;10;600,93;619,14;619,14
20220507;11;600,93;600,93;600,93
20220507;12;600,93;600,93;600,93
20220507;13;581,30;581,30;581,30
20220507;14;562,50;562,50;562,50
20220507;15;526,30;537,04;537,04
20220507;16;529,89;551,62;551,62
20220507;17;600,12;607,44;607,44
20220507;18;749,26;749,26;749,26
20220507;19;764,00;790,13;790,13
20220507;20;910,44;910,44;910,44
20220507;21;966,26;1011,00;1011,00
20220507;22;889,08;928,14;928,14
20220507;23;864,84;864,84;864,84
20220507;24;742,27;782,75;782,75
20220508;1;534,28;731,71;731,71
20220508;2;525,00;656,61;656,61
20220508;3;518,14;644,78;644,78
20220508;4;512,69;512,69;512,69
20220508;5;511,69;511,69;511,69
20220508;6;448,56;448,56;448,56
20220508;7;487,00;487,00;487,00
20220508;8;504,00;504,00;504,00
20220508;9;511,62;511,62;511,62
20220508;10;511,65;511,65;511,65
20220508;11;487,57;453,26;453,26
20220508;12;487,57;445,06;445,06
20220508;13;487,57;487,57;487,57
20220508;14;487,57;487,57;487,57
20220508;15;486,37;486,37;486,37
20220508;16;486,41;486,41;486,41
20220508;17;505,82;448,56;448,56
20220508;18;511,69;511,69;511,69
20220508;19;526,00;651,95;651,95
20220508;20;643,05;760,60;760,60
20220508;21;716,52;867,46;867,46
20220508;22;702,73;831,13;831,13
20220508;23;595,73;770,70;770,70
20220508;24;515,42;617,80;617,80
20220509;1;518,89;518,89;518,89
20220509;2;454,55;454,55;454,55
20220509;3;434,31;434,31;434,31
20220509;4;431,31;431,31;431,31
20220509;5;433,07;433,07;433,07
20220509;6;465,24;465,24;465,24
20220509;7;535,00;535,00;535,00
20220509;8;650,66;650,66;650,66
20220509;9;667,00;667,00;667,00
20220509;10;628,55;628,55;628,55
20220509;11;589,56;589,56;589,56
20220509;12;585,03;585,03;585,03
20220509;13;584,36;584,36;584,36
20220509;14;577,01;577,01;577,01
20220509;15;581,26;581,26;581,26
20220509;16;584,58;552,14;552,14
20220509;17;629,48;629,48;629,48
20220509;18;739,02;739,02;739,02
20220509;19;1089,00;1089,00;1089,00
20220509;20;1089,00;1089,00;1089,00
20220509;21;776,64;1099,48;1099,48
20220509;22;712,09;849,45;849,45
20220509;23;599,28;842,13;842,13
20220509;24;523,46;523,46;523,46
20220510;1;492,91;492,91;492,91
20220510;2;469,12;469,12;469,12
20220510;3;461,04;461,04;461,04
20220510;4;478,86;478,86;478,86
20220510;5;487,15;487,15;487,15
20220510;6;480,17;480,17;480,17
20220510;7;543,99;543,99;543,99
20220510;8;558,90;558,90;558,90
20220510;9;606,92;609,17;609,17
20220510;10;586,02;586,02;586,02
20220510;11;557,51;513,56;513,56
20220510;12;501,25;478,12;478,12
20220510;13;462,68;462,68;462,68
20220510;14;462,73;462,73;462,73
20220510;15;484,09;465,98;465,98
20220510;16;505,04;505,04;505,04
20220510;17;558,51;550,16;550,16
20220510;18;574,13;638,14;638,14
20220510;19;669,45;738,50;738,50
20220510;20;830,34;830,34;830,34
20220510;21;791,72;880,00;880,00
20220510;22;585,65;710,11;710,11
20220510;23;547,50;716,18;716,18
20220510;24;501,10;630,49;630,49
20220511;1;474,28;474,28;474,28
20220511;2;496,76;477,67;477,67
20220511;3;515,06;515,06;515,06
20220511;4;526,73;526,73;526,73
20220511;5;511,44;511,44;511,44
20220511;6;527,05;527,05;527,05
20220511;7;576,42;633,96;633,96
20220511;8;607,25;624,54;624,54
20220511;9;730,59;730,59;730,59
20220511;10;678,97;678,97;678,97
20220511;11;642,20;642,20;642,20
20220511;12;618,61;618,61;618,61
20220511;13;604,69;604,69;604,69
20220511;14;604,70;604,70;604,70
20220511;15;592,64;592,64;592,64
20220511;16;592,64;592,64;592,64
20220511;17;604,69;604,69;604,69
20220511;18;659,32;659,32;659,32
20220511;19;902,00;902,00;902,00
20220511;20;1248,46;1248,46;1248,46
20220511;21;990,17;990,17;990,17
20220511;22;882,00;882,00;882,00
20220511;23;687,11;706,29;706,29
20220511;24;510,28;510,28;510,28
20220512;1;519,53;519,53;519,53
20220512;2;519,53;519,53;519,53
20220512;3;519,44;519,44;519,44
20220512;4;519,44;519,44;519,44
20220512;5;499,95;499,95;499,95
20220512;6;491,56;491,56;491,56
20220512;7;532,72;578,41;578,41
20220512;8;537,27;537,27;537,27
20220512;9;541,00;490,42;490,42
20220512;10;491,93;442,31;442,31
20220512;11;519,43;385,68;385,68
20220512;12;519,53;519,53;519,53
20220512;13;519,44;519,44;519,44
20220512;14;506,62;506,62;506,62
20220512;15;499,93;329,05;329,05
20220512;16;521,71;521,71;521,71
20220512;17;519,53;423,80;423,80
20220512;18;502,00;442,37;442,37
20220512;19;548,61;544,81;544,81
20220512;20;600,91;669,67;669,67
20220512;21;695,01;847,75;847,75
20220512;22;695,00;767,08;767,08
20220512;23;690,00;789,75;789,75
20220512;24;624,92;708,23;708,23
20220513;1;547,12;677,79;677,79
20220513;2;540,29;619,57;619,57
20220513;3;527,22;605,29;605,29
20220513;4;527,14;604,01;604,01
20220513;5;527,15;601,97;601,97
20220513;6;529,94;610,09;610,09
20220513;7;632,53;680,76;680,76
20220513;8;705,62;705,62;705,62
20220513;9;653,70;653,70;653,70
20220513;10;607,00;607,00;607,00
20220513;11;586,84;586,84;586,84
20220513;12;591,00;591,00;591,00
20220513;13;547,10;547,10;547,10
20220513;14;540,33;540,33;540,33
20220513;15;530,49;530,49;530,49
20220513;16;537,00;537,00;537,00
20220513;17;582,00;582,00;582,00
20220513;18;740,00;740,00;740,00
20220513;19;720,89;720,89;720,89
20220513;20;660,57;697,83;697,83
20220513;21;709,37;822,02;822,02
20220513;22;688,73;707,32;707,32
20220513;23;682,05;713,06;713,06
20220513;24;600,91;682,73;682,73
20220514;1;568,40;713,27;713,27
20220514;2;544,98;655,55;655,55
20220514;3;538,31;616,66;616,66
20220514;4;538,29;612,68;612,68
20220514;5;525,08;586,50;586,50
20220514;6;483,13;483,13;483,13
20220514;7;525,08;525,08;525,08
20220514;8;544,98;575,50;575,50
20220514;9;544,98;567,84;567,84
20220514;10;592,06;592,06;592,06
