Data;Godzina;CRO;CROs;CROz
20221101;1;619,53;619,53;619,53
20221101;2;613,93;613,93;613,93
20221101;3;613,93;613,93;613,93
20221101;4;478,43;478,43;478,43
20221101;5;462,34;462,34;462,34
20221101;6;460,41;460,41;460,41
20221101;7;463,48;463,48;463,48
20221101;8;538,32;538,32;538,32
20221101;9;619,44;619,44;619,44
20221101;10;619,50;619,50;619,50
20221101;11;619,44;619,44;619,44
20221101;12;614,94;614,94;614,94
20221101;13;613,94;613,94;613,94
20221101;14;618,41;618,41;618,41
20221101;15;620,04;620,04;620,04
20221101;16;620,04;620,04;620,04
20221101;17;620,28;620,28;620,28
20221101;18;621,24;621,24;621,24
20221101;19;620,26;620,26;620,26
20221101;20;621,24;621,24;621,24
20221101;21;620,25;620,25;620,25
20221101;22;619,62;619,62;619,62
20221101;23;619,61;619,61;619,61
20221101;24;484,51;484,51;484,51
20221102;1;449,52;449,52;449,52
20221102;2;455,93;455,93;455,93
20221102;3;449,52;449,52;449,52
20221102;4;435,83;435,83;435,83
20221102;5;459,87;459,87;459,87
20221102;6;571,60;571,60;571,60
20221102;7;767,67;767,67;767,67
20221102;8;783,05;783,05;783,05
20221102;9;783,36;783,36;783,36
20221102;10;773,03;773,03;773,03
20221102;11;540,91;540,91;540,91
20221102;12;540,91;540,91;540,91
20221102;13;540,91;540,91;540,91
20221102;14;540,91;540,91;540,91
20221102;15;664,75;664,75;664,75
20221102;16;761,53;761,53;761,53
20221102;17;771,91;771,91;771,91
20221102;18;771,91;771,91;771,91
20221102;19;727,45;727,45;727,45
20221102;20;761,52;761,52;761,52
20221102;21;761,52;761,52;761,52
20221102;22;467,43;467,43;467,43
20221102;23;418,11;418,11;418,11
20221102;24;407,66;407,66;407,66
20221103;1;412,73;412,73;412,73
20221103;2;450,05;450,05;450,05
20221103;3;450,05;450,05;450,05
20221103;4;452,18;452,18;452,18
20221103;5;461,14;461,14;461,14
20221103;6;495,80;495,80;495,80
20221103;7;750,22;750,22;750,22
20221103;8;753,18;753,18;753,18
20221103;9;610,14;610,14;610,14
20221103;10;476,93;476,93;476,93
20221103;11;459,83;459,83;459,83
20221103;12;460,42;460,42;460,42
20221103;13;460,43;460,43;460,43
20221103;14;471,40;471,40;471,40
20221103;15;634,91;634,91;634,91
20221103;16;787,18;787,18;787,18
20221103;17;778,70;778,70;778,70
20221103;18;713,41;713,41;713,41
20221103;19;635,91;635,91;635,91
20221103;20;513,01;513,01;513,01
20221103;21;466,31;466,31;466,31
20221103;22;438,99;438,99;438,99
20221103;23;431,36;431,36;431,36
20221103;24;431,36;431,36;431,36
20221104;1;399,90;399,90;399,90
20221104;2;399,90;399,90;399,90
20221104;3;399,69;399,69;399,69
20221104;4;403,18;403,18;403,18
20221104;5;438,24;438,24;438,24
20221104;6;460,69;460,69;460,69
20221104;7;747,86;747,86;747,86
20221104;8;751,32;751,32;751,32
20221104;9;758,22;758,22;758,22
20221104;10;761,14;761,14;761,14
20221104;11;764,18;764,18;764,18
20221104;12;761,14;761,14;761,14
20221104;13;758,22;758,22;758,22
20221104;14;761,14;761,14;761,14
20221104;15;765,18;765,18;765,18
20221104;16;765,78;765,78;765,78
20221104;17;765,85;765,85;765,85
20221104;18;761,14;761,14;761,14
20221104;19;764,81;764,81;764,81
20221104;20;764,79;764,79;764,79
20221104;21;761,14;761,14;761,14
20221104;22;758,22;758,22;758,22
20221104;23;657,65;657,65;657,65
20221104;24;681,88;681,88;681,88
20221105;1;682,07;682,07;682,07
20221105;2;604,31;604,31;604,31
20221105;3;462,06;462,06;462,06
20221105;4;457,15;457,15;457,15
20221105;5;456,03;456,03;456,03
20221105;6;457,15;457,15;457,15
20221105;7;451,89;451,89;451,89
20221105;8;651,20;651,20;651,20
20221105;9;703,34;703,34;703,34
20221105;10;703,36;703,36;703,36
20221105;11;703,36;703,36;703,36
20221105;12;703,36;703,36;703,36
20221105;13;703,36;703,36;703,36
20221105;14;703,36;703,36;703,36
20221105;15;703,36;703,36;703,36
20221105;16;704,25;704,25;704,25
20221105;17;780,00;780,00;780,00
20221105;18;833,17;833,17;833,17
20221105;19;809,30;809,30;809,30
20221105;20;682,08;682,08;682,08
20221105;21;651,20;651,20;651,20
20221105;22;457,74;457,74;457,74
20221105;23;439,94;439,94;439,94
20221105;24;431,42;431,42;431,42
20221106;1;426,66;426,66;426,66
20221106;2;433,83;433,83;433,83
20221106;3;431,85;431,85;431,85
20221106;4;433,81;433,81;433,81
20221106;5;433,83;433,83;433,83
20221106;6;434,75;434,75;434,75
20221106;7;434,77;434,77;434,77
20221106;8;438,51;438,51;438,51
20221106;9;433,81;433,81;433,81
20221106;10;439,63;439,63;439,63
20221106;11;439,63;439,63;439,63
20221106;12;433,82;433,82;433,82
20221106;13;410,30;410,30;410,30
20221106;14;411,26;411,26;411,26
20221106;15;441,42;441,42;441,42
20221106;16;592,64;592,64;592,64
20221106;17;593,24;593,24;593,24
20221106;18;592,10;592,10;592,10
20221106;19;438,51;438,51;438,51
20221106;20;425,64;425,64;425,64
20221106;21;392,95;392,95;392,95
20221106;22;366,90;366,90;366,90
20221106;23;392,95;392,95;392,95
20221106;24;392,95;392,95;392,95
20221107;1;397,64;397,64;397,64
20221107;2;410,76;410,76;410,76
20221107;3;410,76;410,76;410,76
20221107;4;409,66;409,66;409,66
20221107;5;432,54;432,54;432,54
20221107;6;440,11;440,11;440,11
20221107;7;707,50;707,50;707,50
