Data;Godzina;COR;CRO;CROs;CROz
20200201;1;-;185,17;185,17;185,17
20200201;2;-;185,15;185,15;185,15
20200201;3;-;185,16;185,16;185,16
20200201;4;-;185,17;185,17;185,17
20200201;5;-;185,17;185,17;185,17
20200201;6;-;185,14;185,14;185,14
20200201;7;-;78,11;78,11;78,11
20200201;8;-;77,99;77,99;77,99
20200201;9;-;77,99;77,99;77,99
20200201;10;-;77,99;77,99;77,99
20200201;11;-;78,23;78,23;78,23
20200201;12;-;78,23;78,23;78,23
20200201;13;-;192,96;192,96;192,96
20200201;14;-;204,23;204,23;204,23
20200201;15;-;204,23;204,23;204,23
20200201;16;-;204,23;204,23;204,23
20200201;17;-;218,85;218,85;218,85
20200201;18;-;222,45;222,45;222,45
20200201;19;-;218,85;218,85;218,85
20200201;20;-;204,23;204,23;204,23
20200201;21;-;201,88;201,88;201,88
20200201;22;-;78,11;78,11;78,11
20200201;23;-;78,11;78,11;78,11
20200201;24;-;72,00;72,00;72,00
20200202;1;-;77,12;77,12;77,12
20200202;2;-;77,00;77,00;77,00
20200202;3;-;70,00;70,00;70,00
20200202;4;-;64,68;64,68;64,68
20200202;5;-;63,47;63,47;63,47
20200202;6;-;64,94;64,94;64,94
20200202;7;-;70,00;70,00;70,00
20200202;8;-;77,12;77,12;77,12
20200202;9;-;171,82;171,82;171,82
20200202;10;-;182,33;182,33;182,33
20200202;11;-;181,29;181,29;181,29
20200202;12;-;182,34;182,34;182,34
20200202;13;-;182,40;182,40;182,40
20200202;14;-;182,33;182,33;182,33
20200202;15;-;182,30;182,30;182,30
20200202;16;-;73,62;73,62;73,62
20200202;17;-;77,90;77,90;77,90
20200202;18;-;182,33;182,33;182,33
20200202;19;-;85,50;85,50;85,50
20200202;20;-;186,58;186,58;186,58
20200202;21;-;203,90;203,90;203,90
20200202;22;-;182,30;182,30;182,30
20200202;23;-;182,36;182,36;182,36
20200202;24;-;182,35;182,35;182,35
20200203;1;-;181,60;181,60;181,60
