Data;Godzina;RCE
20191001;1;198,54
20191001;2;196,81
20191001;3;196,47
20191001;4;198,68
20191001;5;205,60
20191001;6;210,40
20191001;7;248,95
20191001;8;256,75
20191001;9;260,49
20191001;10;258,25
20191001;11;249,62
20191001;12;255,46
20191001;13;255,71
20191001;14;253,08
20191001;15;242,68
20191001;16;242,93
20191001;17;232,36
20191001;18;225,68
20191001;19;241,82
20191001;20;256,61
20191001;21;236,96
20191001;22;211,62
20191001;23;213,70
20191001;24;199,57
20191002;1;207,20
20191002;2;207,11
20191002;3;206,51
20191002;4;206,14
20191002;5;206,53
20191002;6;216,29
20191002;7;237,74
20191002;8;255,40
20191002;9;268,77
20191002;10;276,16
20191002;11;269,02
20191002;12;269,83
20191002;13;265,48
20191002;14;262,93
20191002;15;258,12
20191002;16;256,22
20191002;17;254,66
20191002;18;251,50
20191002;19;258,09
20191002;20;289,87
20191002;21;257,25
20191002;22;233,92
20191002;23;228,19
20191002;24;211,01
20191003;1;219,60
20191003;2;219,74
20191003;3;219,77
20191003;4;219,76
20191003;5;219,53
20191003;6;211,21
20191003;7;240,12
20191003;8;254,65
20191003;9;263,99
20191003;10;267,42
20191003;11;263,80
20191003;12;267,33
20191003;13;266,94
20191003;14;260,69
20191003;15;253,47
20191003;16;251,44
20191003;17;249,82
20191003;18;246,47
20191003;19;259,03
20191003;20;290,31
20191003;21;258,51
20191003;22;232,63
20191003;23;233,82
20191003;24;220,10
20191004;1;210,94
20191004;2;212,21
20191004;3;212,26
20191004;4;212,23
20191004;5;211,08
20191004;6;217,55
20191004;7;252,78
20191004;8;279,90
20191004;9;287,77
20191004;10;289,51
20191004;11;285,28
20191004;12;288,89
20191004;13;292,24
20191004;14;293,48
20191004;15;285,93
20191004;16;278,64
20191004;17;265,73
20191004;18;254,99
20191004;19;279,86
20191004;20;288,13
20191004;21;273,63
20191004;22;239,38
20191004;23;241,66
20191004;24;217,81
20191005;1;201,21
20191005;2;201,07
20191005;3;201,24
20191005;4;203,73
20191005;5;194,73
20191005;6;188,14
20191005;7;189,41
20191005;8;212,10
20191005;9;234,35
20191005;10;252,40
20191005;11;248,99
20191005;12;252,45
20191005;13;249,08
20191005;14;237,82
20191005;15;223,18
20191005;16;214,76
20191005;17;214,58
20191005;18;216,39
20191005;19;234,70
20191005;20;234,62
20191005;21;222,73
20191005;22;203,75
20191005;23;189,80
20191005;24;187,27
20191006;1;150,90
20191006;2;152,35
20191006;3;149,68
20191006;4;147,20
20191006;5;149,25
20191006;6;151,54
20191006;7;150,43
20191006;8;152,77
20191006;9;175,67
20191006;10;190,78
20191006;11;191,44
20191006;12;192,10
20191006;13;191,96
20191006;14;195,20
20191006;15;189,92
20191006;16;184,47
20191006;17;184,73
20191006;18;193,01
20191006;19;214,08
20191006;20;234,95
20191006;21;233,00
20191006;22;206,91
20191006;23;184,41
20191006;24;167,83
20191007;1;214,28
20191007;2;213,27
20191007;3;207,91
20191007;4;208,67
20191007;5;213,45
20191007;6;212,98
20191007;7;250,16
20191007;8;272,67
20191007;9;285,16
20191007;10;282,45
20191007;11;276,36
20191007;12;274,88
20191007;13;276,80
20191007;14;269,96
20191007;15;257,77
20191007;16;254,28
20191007;17;252,19
20191007;18;265,50
20191007;19;294,93
20191007;20;312,53
20191007;21;288,88
20191007;22;239,24
20191007;23;229,87
20191007;24;213,64
20191008;1;213,57
20191008;2;212,58
20191008;3;212,46
20191008;4;212,40
20191008;5;211,12
20191008;6;210,81
20191008;7;244,56
20191008;8;250,49
20191008;9;258,08
20191008;10;257,60
20191008;11;245,33
20191008;12;245,92
20191008;13;246,12
20191008;14;249,24
20191008;15;242,99
20191008;16;238,46
20191008;17;230,72
20191008;18;223,00
20191008;19;242,01
20191008;20;243,54
20191008;21;232,95
20191008;22;209,54
20191008;23;213,30
20191008;24;210,76
20191009;1;200,03
20191009;2;191,67
20191009;3;186,98
20191009;4;187,83
20191009;5;195,72
20191009;6;201,73
20191009;7;240,36
20191009;8;249,37
20191009;9;259,69
20191009;10;263,29
20191009;11;257,88
20191009;12;264,39
20191009;13;266,06
20191009;14;266,31
20191009;15;265,40
20191009;16;257,90
20191009;17;257,12
20191009;18;262,10
20191009;19;285,90
20191009;20;281,71
20191009;21;249,71
20191009;22;226,85
20191009;23;223,02
20191009;24;214,25
20191010;1;203,53
20191010;2;202,64
20191010;3;202,67
20191010;4;202,74
20191010;5;203,20
20191010;6;202,65
20191010;7;239,69
20191010;8;251,64
20191010;9;261,34
20191010;10;260,90
20191010;11;258,95
20191010;12;257,87
20191010;13;256,64
20191010;14;252,94
20191010;15;248,57
20191010;16;244,96
20191010;17;244,99
20191010;18;247,09
20191010;19;263,77
20191010;20;262,02
20191010;21;242,43
20191010;22;219,51
20191010;23;203,92
20191010;24;204,98
20191011;1;189,42
20191011;2;186,57
20191011;3;182,18
20191011;4;182,57
20191011;5;187,69
20191011;6;200,86
20191011;7;236,98
20191011;8;238,87
20191011;9;234,26
20191011;10;238,20
20191011;11;232,44
20191011;12;235,35
20191011;13;235,33
20191011;14;234,90
20191011;15;224,11
20191011;16;216,46
20191011;17;208,68
20191011;18;207,50
20191011;19;229,69
20191011;20;234,91
20191011;21;218,56
20191011;22;199,74
20191011;23;204,76
20191011;24;201,09
20191012;1;150,46
20191012;2;139,41
20191012;3;127,46
20191012;4;120,17
20191012;5;128,25
20191012;6;136,54
20191012;7;153,29
20191012;8;182,56
20191012;9;196,64
20191012;10;199,39
20191012;11;191,16
20191012;12;195,65
20191012;13;189,55
20191012;14;178,69
20191012;15;179,15
20191012;16;175,52
20191012;17;173,52
20191012;18;178,82
20191012;19;196,25
20191012;20;221,21
20191012;21;199,34
20191012;22;182,10
20191012;23;183,23
20191012;24;183,63
20191013;1;178,10
20191013;2;148,78
20191013;3;144,81
20191013;4;140,98
20191013;5;150,43
20191013;6;174,14
20191013;7;147,71
20191013;8;178,60
20191013;9;179,28
20191013;10;188,00
20191013;11;197,41
20191013;12;197,67
20191013;13;195,86
20191013;14;193,30
20191013;15;179,42
20191013;16;179,25
20191013;17;178,01
20191013;18;181,02
20191013;19;207,29
20191013;20;212,72
20191013;21;195,87
20191013;22;182,53
20191013;23;184,03
20191013;24;184,70
20191014;1;142,68
20191014;2;128,95
20191014;3;124,34
20191014;4;126,26
20191014;5;139,58
20191014;6;159,70
20191014;7;224,08
20191014;8;222,20
20191014;9;238,47
20191014;10;240,97
20191014;11;241,00
20191014;12;241,59
20191014;13;242,83
20191014;14;242,41
20191014;15;240,12
20191014;16;238,59
20191014;17;240,21
20191014;18;251,00
20191014;19;280,07
20191014;20;286,85
20191014;21;254,38
20191014;22;237,52
20191014;23;231,13
20191014;24;208,68
20191015;1;214,95
20191015;2;213,86
20191015;3;210,26
20191015;4;210,12
20191015;5;214,01
20191015;6;214,35
20191015;7;233,45
20191015;8;236,17
20191015;9;239,89
20191015;10;242,25
20191015;11;240,75
20191015;12;248,39
20191015;13;247,44
20191015;14;247,31
20191015;15;241,38
20191015;16;237,49
20191015;17;234,47
20191015;18;234,46
20191015;19;251,27
20191015;20;263,35
20191015;21;244,32
20191015;22;213,63
20191015;23;230,49
20191015;24;221,77
20191016;1;195,68
20191016;2;194,62
20191016;3;195,47
20191016;4;199,83
20191016;5;192,98
20191016;6;196,59
20191016;7;224,83
20191016;8;245,77
20191016;9;255,88
20191016;10;254,31
20191016;11;247,33
20191016;12;245,65
20191016;13;240,97
20191016;14;238,16
20191016;15;226,95
20191016;16;224,48
20191016;17;217,79
20191016;18;228,76
20191016;19;247,42
20191016;20;247,08
20191016;21;227,09
20191016;22;191,52
20191016;23;189,64
20191016;24;195,33
20191017;1;194,74
20191017;2;189,33
20191017;3;187,26
20191017;4;193,02
20191017;5;194,32
20191017;6;202,11
20191017;7;235,96
20191017;8;236,28
20191017;9;252,04
20191017;10;249,67
20191017;11;247,82
20191017;12;251,28
20191017;13;247,80
20191017;14;246,29
20191017;15;251,06
20191017;16;250,92
20191017;17;245,99
