Data;Godzina;RCE
20210601;1;303,26
20210601;2;298,54
20210601;3;295,96
20210601;4;299,86
20210601;5;304,02
20210601;6;303,69
20210601;7;352,22
20210601;8;379,52
20210601;9;385,64
20210601;10;360,20
20210601;11;354,53
20210601;12;354,37
20210601;13;352,76
20210601;14;350,53
20210601;15;340,81
20210601;16;343,68
20210601;17;338,63
20210601;18;323,06
20210601;19;353,10
20210601;20;376,83
20210601;21;379,65
20210601;22;363,22
20210601;23;349,20
20210601;24;324,36
20210602;1;286,84
20210602;2;280,70
20210602;3;282,06
20210602;4;281,32
20210602;5;277,21
20210602;6;276,22
20210602;7;348,34
20210602;8;369,72
20210602;9;369,65
20210602;10;350,16
20210602;11;333,73
20210602;12;339,31
20210602;13;335,63
20210602;14;335,08
20210602;15;320,43
20210602;16;309,20
20210602;17;312,60
20210602;18;313,52
20210602;19;353,69
20210602;20;371,71
20210602;21;368,46
20210602;22;348,71
20210602;23;332,29
20210602;24;295,73
20210603;1;259,05
20210603;2;253,69
20210603;3;253,87
20210603;4;253,10
20210603;5;254,17
20210603;6;251,55
20210603;7;254,32
20210603;8;270,84
20210603;9;278,21
20210603;10;266,11
20210603;11;256,61
20210603;12;258,11
20210603;13;259,58
20210603;14;261,05
20210603;15;263,24
20210603;16;254,33
20210603;17;256,00
20210603;18;276,95
20210603;19;323,14
20210603;20;349,79
20210603;21;346,72
20210603;22;330,45
20210603;23;314,62
20210603;24;275,88
20210604;1;286,59
20210604;2;271,10
20210604;3;263,39
20210604;4;261,57
20210604;5;260,69
20210604;6;278,67
20210604;7;338,28
20210604;8;353,46
20210604;9;353,76
20210604;10;346,65
20210604;11;328,87
20210604;12;322,57
20210604;13;314,89
20210604;14;317,50
20210604;15;308,38
20210604;16;310,73
20210604;17;305,12
20210604;18;327,15
20210604;19;350,60
20210604;20;369,14
20210604;21;365,26
20210604;22;351,25
20210604;23;360,92
20210604;24;329,31
20210605;1;309,45
20210605;2;286,84
20210605;3;276,87
20210605;4;274,98
20210605;5;261,70
20210605;6;259,64
20210605;7;272,56
20210605;8;293,15
20210605;9;311,75
20210605;10;309,26
20210605;11;296,62
20210605;12;293,66
20210605;13;272,69
20210605;14;271,25
20210605;15;254,48
20210605;16;252,98
20210605;17;252,83
20210605;18;276,03
20210605;19;305,26
20210605;20;335,70
20210605;21;338,70
20210605;22;340,28
20210605;23;324,97
