Data;Godzina;RCE
20210501;1;294,81
20210501;2;282,41
20210501;3;278,81
20210501;4;269,69
20210501;5;268,45
20210501;6;265,80
20210501;7;269,79
20210501;8;274,52
20210501;9;277,47
20210501;10;276,53
20210501;11;267,24
20210501;12;271,08
20210501;13;269,30
20210501;14;259,39
20210501;15;254,89
20210501;16;254,98
20210501;17;254,91
20210501;18;263,54
20210501;19;278,44
20210501;20;304,29
20210501;21;327,59
20210501;22;311,25
20210501;23;285,36
20210501;24;265,33
20210502;1;259,12
20210502;2;243,81
20210502;3;238,57
20210502;4;231,10
20210502;5;228,03
20210502;6;219,64
20210502;7;219,47
20210502;8;225,82
20210502;9;236,47
20210502;10;239,69
20210502;11;237,65
20210502;12;234,51
20210502;13;239,81
20210502;14;243,50
20210502;15;239,14
20210502;16;233,83
20210502;17;227,88
20210502;18;231,70
20210502;19;237,96
20210502;20;266,63
20210502;21;296,09
20210502;22;291,87
20210502;23;277,66
20210502;24;260,17
20210503;1;246,77
20210503;2;233,57
20210503;3;222,95
20210503;4;222,64
20210503;5;227,34
20210503;6;238,17
20210503;7;283,68
20210503;8;291,41
20210503;9;310,47
20210503;10;293,23
20210503;11;270,98
20210503;12;262,43
20210503;13;250,85
20210503;14;246,91
20210503;15;238,47
20210503;16;241,23
20210503;17;249,50
20210503;18;264,12
20210503;19;290,64
20210503;20;340,13
20210503;21;350,14
20210503;22;327,77
20210503;23;295,55
20210503;24;262,81
20210504;1;246,69
20210504;2;241,07
20210504;3;235,88
20210504;4;235,98
20210504;5;228,13
20210504;6;233,26
20210504;7;293,99
20210504;8;288,34
20210504;9;299,75
20210504;10;265,02
20210504;11;249,65
20210504;12;244,70
20210504;13;241,14
20210504;14;241,71
20210504;15;244,18
20210504;16;244,98
20210504;17;244,93
20210504;18;253,76
20210504;19;249,30
20210504;20;265,77
20210504;21;294,87
20210504;22;266,46
20210504;23;275,82
20210504;24;252,78
20210505;1;239,84
20210505;2;225,97
20210505;3;217,30
20210505;4;218,23
20210505;5;224,72
20210505;6;235,33
20210505;7;284,44
20210505;8;283,12
20210505;9;281,91
20210505;10;243,28
20210505;11;234,03
20210505;12;230,71
20210505;13;234,67
20210505;14;228,07
20210505;15;222,11
20210505;16;226,65
20210505;17;236,16
20210505;18;240,45
20210505;19;248,79
20210505;20;282,72
20210505;21;312,27
20210505;22;295,06
20210505;23;286,07
20210505;24;256,63
20210506;1;244,90
20210506;2;228,10
20210506;3;213,24
20210506;4;216,25
20210506;5;222,89
20210506;6;238,77
20210506;7;283,44
20210506;8;300,40
20210506;9;294,48
20210506;10;284,64
20210506;11;250,40
20210506;12;250,43
20210506;13;250,43
20210506;14;250,19
20210506;15;250,80
20210506;16;259,29
20210506;17;280,00
20210506;18;309,79
20210506;19;350,16
20210506;20;389,06
20210506;21;379,73
20210506;22;370,08
20210506;23;360,35
20210506;24;323,70
20210507;1;316,28
20210507;2;300,75
20210507;3;291,22
20210507;4;291,74
20210507;5;284,58
20210507;6;300,66
20210507;7;349,13
20210507;8;388,18
20210507;9;411,87
20210507;10;377,04
20210507;11;345,45
20210507;12;325,97
20210507;13;313,29
20210507;14;299,48
20210507;15;297,00
20210507;16;293,04
20210507;17;282,26
20210507;18;272,56
20210507;19;298,19
20210507;20;354,76
20210507;21;368,92
20210507;22;346,18
20210507;23;334,58
20210507;24;299,33
20210508;1;295,35
20210508;2;283,41
20210508;3;277,10
20210508;4;267,92
20210508;5;268,13
20210508;6;268,24
20210508;7;279,23
20210508;8;295,81
20210508;9;298,85
20210508;10;294,99
20210508;11;290,40
20210508;12;284,50
20210508;13;271,05
20210508;14;260,16
20210508;15;254,49
20210508;16;265,17
20210508;17;279,13
20210508;18;294,02
20210508;19;284,29
20210508;20;303,63
20210508;21;333,74
20210508;22;310,34
20210508;23;287,95
20210508;24;272,54
20210509;1;251,64
20210509;2;240,14
20210509;3;226,74
20210509;4;203,40
20210509;5;199,26
20210509;6;171,78
20210509;7;174,79
20210509;8;181,33
20210509;9;223,78
20210509;10;218,73
20210509;11;197,13
20210509;12;191,01
20210509;13;173,21
20210509;14;204,72
20210509;15;194,83
20210509;16;207,60
20210509;17;217,86
20210509;18;242,21
20210509;19;250,36
20210509;20;256,12
20210509;21;272,65
20210509;22;264,68
20210509;23;255,90
20210509;24;246,23
20210510;1;241,70
20210510;2;231,94
20210510;3;230,12
20210510;4;230,97
20210510;5;236,89
20210510;6;248,77
20210510;7;285,46
20210510;8;301,73
20210510;9;314,18
