Data;Godzina;RCE
20190201;1;218,60
20190201;2;215,47
20190201;3;212,32
20190201;4;212,37
20190201;5;215,85
20190201;6;221,64
20190201;7;258,22
20190201;8;271,61
20190201;9;288,35
20190201;10;288,54
20190201;11;288,53
20190201;12;292,06
20190201;13;289,32
20190201;14;288,72
20190201;15;274,34
20190201;16;261,76
20190201;17;270,78
20190201;18;281,77
20190201;19;278,78
20190201;20;270,30
20190201;21;245,56
20190201;22;233,83
20190201;23;228,50
20190201;24;218,09
20190202;1;210,04
20190202;2;202,04
20190202;3;193,83
20190202;4;188,79
20190202;5;189,41
20190202;6;190,91
20190202;7;203,89
20190202;8;213,44
20190202;9;227,15
20190202;10;239,03
20190202;11;247,75
20190202;12;247,57
20190202;13;248,02
20190202;14;244,83
20190202;15;228,73
20190202;16;226,04
20190202;17;233,15
20190202;18;247,62
20190202;19;253,88
20190202;20;246,45
20190202;21;232,43
20190202;22;222,81
20190202;23;214,17
20190202;24;205,37
20190203;1;187,82
20190203;2;180,91
20190203;3;181,00
20190203;4;180,81
20190203;5;182,66
20190203;6;182,60
20190203;7;186,10
20190203;8;187,45
20190203;9;199,86
20190203;10;211,26
20190203;11;219,87
20190203;12;220,05
20190203;13;219,39
20190203;14;216,69
20190203;15;213,90
20190203;16;212,94
20190203;17;221,98
20190203;18;233,95
20190203;19;241,15
20190203;20;242,45
20190203;21;233,05
20190203;22;220,56
20190203;23;210,95
20190203;24;192,11
20190204;1;184,15
20190204;2;175,67
20190204;3;171,51
20190204;4;169,68
20190204;5;174,29
20190204;6;190,94
20190204;7;237,35
20190204;8;260,80
20190204;9;273,68
20190204;10;274,11
20190204;11;272,92
20190204;12;282,42
20190204;13;286,18
20190204;14;288,02
20190204;15;278,74
20190204;16;273,91
20190204;17;278,20
20190204;18;295,13
20190204;19;285,49
20190204;20;274,62
20190204;21;249,10
20190204;22;223,05
20190204;23;214,67
20190204;24;199,85
20190205;1;201,73
20190205;2;186,51
20190205;3;180,96
20190205;4;181,54
20190205;5;185,81
20190205;6;199,03
20190205;7;240,12
20190205;8;253,73
20190205;9;269,83
20190205;10;272,50
20190205;11;272,73
20190205;12;271,70
20190205;13;271,29
20190205;14;277,12
20190205;15;268,51
20190205;16;257,40
20190205;17;267,77
20190205;18;281,44
20190205;19;277,59
20190205;20;272,67
20190205;21;249,48
20190205;22;233,02
20190205;23;219,71
20190205;24;205,79
20190206;1;189,67
20190206;2;185,29
20190206;3;177,43
20190206;4;176,40
20190206;5;183,00
20190206;6;202,45
20190206;7;237,01
20190206;8;261,44
20190206;9;276,64
20190206;10;283,62
20190206;11;283,55
20190206;12;284,94
20190206;13;284,64
20190206;14;285,10
20190206;15;281,49
20190206;16;273,62
20190206;17;275,81
20190206;18;286,56
20190206;19;279,36
20190206;20;262,91
20190206;21;243,82
20190206;22;225,19
20190206;23;215,10
20190206;24;203,58
20190207;1;194,38
20190207;2;182,13
20190207;3;180,26
20190207;4;182,01
20190207;5;187,63
20190207;6;197,31
20190207;7;220,40
20190207;8;238,76
20190207;9;251,97
20190207;10;252,98
20190207;11;252,97
20190207;12;251,91
20190207;13;251,88
20190207;14;251,80
20190207;15;248,13
20190207;16;239,24
20190207;17;239,63
20190207;18;253,58
20190207;19;247,26
20190207;20;239,89
20190207;21;233,64
20190207;22;214,07
20190207;23;209,52
20190207;24;194,78
20190208;1;183,69
20190208;2;180,85
20190208;3;180,24
20190208;4;180,28
20190208;5;183,18
20190208;6;195,69
20190208;7;223,89
20190208;8;236,64
20190208;9;242,54
20190208;10;252,21
20190208;11;252,08
20190208;12;259,46
20190208;13;259,29
20190208;14;260,37
20190208;15;250,74
20190208;16;240,94
20190208;17;241,32
20190208;18;262,06
20190208;19;249,56
20190208;20;240,37
20190208;21;233,95
20190208;22;206,89
20190208;23;204,19
20190208;24;192,43
20190209;1;178,26
20190209;2;164,48
20190209;3;154,62
20190209;4;147,62
20190209;5;146,96
20190209;6;154,74
20190209;7;173,29
20190209;8;184,96
20190209;9;192,52
20190209;10;205,58
20190209;11;208,40
20190209;12;209,04
20190209;13;207,99
20190209;14;206,67
20190209;15;203,92
20190209;16;197,89
20190209;17;204,81
20190209;18;211,45
20190209;19;210,66
20190209;20;204,16
20190209;21;193,20
20190209;22;185,49
20190209;23;159,05
20190209;24;134,04
20190210;1;91,89
20190210;2;74,93
20190210;3;71,86
20190210;4;71,37
20190210;5;73,62
20190210;6;79,04
20190210;7;96,13
20190210;8;116,82
20190210;9;156,29
20190210;10;181,14
20190210;11;190,54
20190210;12;191,76
20190210;13;191,65
20190210;14;191,56
20190210;15;182,44
20190210;16;178,32
20190210;17;174,55
20190210;18;182,73
20190210;19;190,24
20190210;20;189,95
20190210;21;182,71
20190210;22;178,32
20190210;23;157,55
20190210;24;123,61
20190211;1;102,30
20190211;2;89,18
20190211;3;88,21
20190211;4;105,11
20190211;5;123,48
20190211;6;162,71
20190211;7;208,16
20190211;8;223,56
20190211;9;238,95
20190211;10;240,16
20190211;11;240,16
20190211;12;237,71
20190211;13;238,87
20190211;14;239,02
20190211;15;237,96
20190211;16;230,22
20190211;17;234,18
20190211;18;243,32
20190211;19;243,04
20190211;20;234,33
20190211;21;220,83
20190211;22;202,45
20190211;23;192,20
20190211;24;180,45
20190212;1;176,80
20190212;2;169,51
20190212;3;164,39
20190212;4;167,60
20190212;5;172,45
20190212;6;188,24
20190212;7;213,48
20190212;8;234,03
20190212;9;241,73
20190212;10;242,74
20190212;11;239,81
20190212;12;238,26
20190212;13;234,91
20190212;14;234,58
20190212;15;232,19
20190212;16;232,26
20190212;17;236,95
20190212;18;257,55
20190212;19;262,94
20190212;20;253,89
20190212;21;238,40
20190212;22;212,27
20190212;23;207,44
20190212;24;192,88
20190213;1;188,69
20190213;2;180,81
20190213;3;179,04
20190213;4;177,17
20190213;5;181,55
20190213;6;186,91
20190213;7;208,67
20190213;8;223,87
20190213;9;231,25
20190213;10;231,39
20190213;11;230,71
20190213;12;228,95
20190213;13;228,22
20190213;14;229,70
20190213;15;213,37
20190213;16;208,66
20190213;17;217,13
20190213;18;237,58
20190213;19;240,39
20190213;20;237,48
20190213;21;220,48
20190213;22;201,85
20190213;23;203,89
20190213;24;190,95
20190214;1;185,09
20190214;2;179,72
20190214;3;177,23
20190214;4;179,40
20190214;5;185,27
20190214;6;193,03
20190214;7;236,50
20190214;8;249,87
20190214;9;264,42
20190214;10;260,28
20190214;11;249,36
20190214;12;259,54
20190214;13;261,39
20190214;14;268,78
20190214;15;249,54
20190214;16;243,80
20190214;17;245,95
20190214;18;275,57
20190214;19;271,77
20190214;20;267,73
20190214;21;244,73
20190214;22;223,19
20190214;23;214,35
20190214;24;193,92
20190215;1;189,28
20190215;2;186,83
20190215;3;183,06
20190215;4;182,49
20190215;5;182,97
20190215;6;194,18
20190215;7;243,10
20190215;8;255,20
20190215;9;267,49
20190215;10;276,17
20190215;11;275,85
20190215;12;277,66
20190215;13;277,66
20190215;14;278,93
20190215;15;269,30
20190215;16;253,69
20190215;17;251,96
20190215;18;276,96
20190215;19;275,64
20190215;20;270,97
20190215;21;240,79
20190215;22;217,49
20190215;23;208,85
20190215;24;189,15
20190216;1;182,75
20190216;2;175,22
20190216;3;177,34
20190216;4;178,63
20190216;5;178,75
20190216;6;177,51
20190216;7;179,25
20190216;8;185,93
20190216;9;207,70
20190216;10;243,09
20190216;11;252,77
20190216;12;256,29
20190216;13;255,05
20190216;14;244,83
20190216;15;226,73
20190216;16;206,39
20190216;17;204,16
20190216;18;216,20
20190216;19;221,90
20190216;20;211,98
20190216;21;201,89
20190216;22;187,71
20190216;23;182,28
20190216;24;171,66
20190217;1;161,88
20190217;2;154,68
20190217;3;153,19
20190217;4;153,57
20190217;5;155,79
20190217;6;160,31
20190217;7;163,96
20190217;8;171,84
20190217;9;178,81
20190217;10;186,75
20190217;11;188,88
20190217;12;189,42
20190217;13;190,05
20190217;14;190,12
20190217;15;188,58
20190217;16;187,59
20190217;17;191,72
20190217;18;202,20
20190217;19;228,70
20190217;20;229,92
20190217;21;203,30
20190217;22;188,28
20190217;23;182,74
20190217;24;177,55
20190218;1;175,18
20190218;2;171,03
20190218;3;171,04
20190218;4;170,66
20190218;5;172,40
20190218;6;186,14
20190218;7;230,65
20190218;8;254,62
20190218;9;269,64
20190218;10;279,90
20190218;11;278,11
20190218;12;296,51
20190218;13;297,95
20190218;14;298,01
20190218;15;275,72
20190218;16;266,53
20190218;17;259,59
20190218;18;278,18
20190218;19;273,75
20190218;20;268,25
20190218;21;241,99
20190218;22;209,97
20190218;23;196,13
20190218;24;177,12
20190219;1;183,50
20190219;2;173,72
20190219;3;171,59
20190219;4;171,57
20190219;5;171,68
20190219;6;181,76
20190219;7;211,55
20190219;8;229,56
20190219;9;239,46
20190219;10;241,96
20190219;11;241,42
20190219;12;242,21
20190219;13;241,17
20190219;14;241,52
20190219;15;234,33
20190219;16;228,50
20190219;17;218,89
20190219;18;234,32
20190219;19;235,19
20190219;20;232,03
20190219;21;209,34
20190219;22;185,12
20190219;23;190,39
20190219;24;167,88
20190220;1;157,74
20190220;2;147,29
20190220;3;143,70
20190220;4;144,31
20190220;5;149,09
20190220;6;168,11
20190220;7;199,98
20190220;8;224,14
20190220;9;231,18
20190220;10;229,64
20190220;11;222,22
20190220;12;216,44
20190220;13;212,64
20190220;14;216,67
20190220;15;208,55
20190220;16;201,86
20190220;17;216,26
20190220;18;237,00
20190220;19;242,48
20190220;20;241,95
20190220;21;229,72
20190220;22;195,41
20190220;23;192,81
20190220;24;180,83
20190221;1;176,64
20190221;2;172,44
20190221;3;171,98
20190221;4;172,28
20190221;5;173,16
20190221;6;182,04
20190221;7;211,56
20190221;8;230,14
20190221;9;239,99
20190221;10;240,05
20190221;11;241,30
20190221;12;238,92
20190221;13;239,48
20190221;14;237,72
20190221;15;234,15
20190221;16;222,88
20190221;17;231,09
20190221;18;241,21
20190221;19;244,35
20190221;20;240,17
20190221;21;230,22
20190221;22;198,78
20190221;23;191,44
20190221;24;180,06
20190222;1;180,23
20190222;2;173,49
20190222;3;170,62
20190222;4;170,47
20190222;5;172,35
20190222;6;182,96
20190222;7;216,38
20190222;8;238,81
20190222;9;256,03
20190222;10;250,84
20190222;11;247,85
20190222;12;268,51
20190222;13;270,57
20190222;14;273,63
20190222;15;257,79
20190222;16;242,48
20190222;17;243,65
20190222;18;275,50
20190222;19;275,62
20190222;20;274,82
20190222;21;253,87
20190222;22;226,80
20190222;23;212,42
20190222;24;190,08
20190223;1;174,47
20190223;2;169,02
20190223;3;169,18
20190223;4;169,40
20190223;5;169,09
20190223;6;169,24
20190223;7;174,79
20190223;8;197,07
20190223;9;237,71
20190223;10;249,03
20190223;11;254,20
20190223;12;255,50
20190223;13;249,96
20190223;14;248,20
20190223;15;238,41
20190223;16;213,90
20190223;17;212,69
20190223;18;242,77
20190223;19;242,82
20190223;20;237,21
20190223;21;207,02
20190223;22;183,09
20190223;23;179,04
20190223;24;173,10
20190224;1;158,21
20190224;2;152,92
20190224;3;152,04
20190224;4;149,51
20190224;5;149,59
20190224;6;152,55
20190224;7;156,67
20190224;8;162,19
20190224;9;169,31
20190224;10;172,43
20190224;11;170,83
20190224;12;171,13
20190224;13;169,54
20190224;14;166,08
20190224;15;165,90
20190224;16;161,85
20190224;17;168,46
20190224;18;189,21
20190224;19;207,14
20190224;20;216,93
20190224;21;204,95
20190224;22;181,80
20190224;23;172,81
20190224;24;169,64
20190225;1;166,03
20190225;2;161,48
20190225;3;159,96
20190225;4;159,92
20190225;5;163,42
20190225;6;175,85
20190225;7;212,99
20190225;8;229,91
20190225;9;254,02
20190225;10;265,80
20190225;11;264,28
20190225;12;268,69
20190225;13;270,72
20190225;14;270,71
20190225;15;248,95
20190225;16;232,90
20190225;17;229,68
20190225;18;241,03
20190225;19;249,27
20190225;20;244,93
20190225;21;229,75
20190225;22;196,35
20190225;23;190,78
20190225;24;178,68
20190226;1;169,24
20190226;2;160,99
20190226;3;159,26
20190226;4;159,26
20190226;5;161,63
20190226;6;172,22
20190226;7;212,37
20190226;8;229,40
20190226;9;236,65
20190226;10;238,67
20190226;11;234,54
20190226;12;237,87
20190226;13;237,03
20190226;14;237,93
20190226;15;231,05
20190226;16;225,58
20190226;17;222,99
20190226;18;249,50
20190226;19;256,35
20190226;20;254,42
20190226;21;232,81
20190226;22;211,55
20190226;23;199,82
20190226;24;179,73
20190227;1;171,37
20190227;2;167,29
20190227;3;166,61
20190227;4;167,16
20190227;5;168,07
20190227;6;177,64
20190227;7;223,05
20190227;8;240,99
20190227;9;263,16
20190227;10;269,10
20190227;11;260,47
20190227;12;260,10
20190227;13;254,31
20190227;14;246,72
20190227;15;233,54
20190227;16;225,06
20190227;17;220,33
20190227;18;229,26
20190227;19;232,36
20190227;20;228,27
20190227;21;216,65
20190227;22;186,55
20190227;23;175,99
20190227;24;163,03
20190228;1;152,47
20190228;2;146,49
20190228;3;143,80
20190228;4;144,01
20190228;5;144,53
20190228;6;157,41
20190228;7;179,90
20190228;8;209,02
20190228;9;211,08
20190228;10;220,04
20190228;11;210,87
20190228;12;219,41
20190228;13;212,56
20190228;14;218,60
20190228;15;210,16
20190228;16;198,45
20190228;17;210,53
20190228;18;234,67
20190228;19;240,02
20190228;20;242,67
20190228;21;234,68
20190228;22;201,30
20190228;23;185,73
20190228;24;177,20
