Data;Godzina;RCE
20180801;1;212,62
20180801;2;200,99
20180801;3;199,07
20180801;4;197,16
20180801;5;197,92
20180801;6;200,35
20180801;7;236,94
20180801;8;268,58
20180801;9;316,44
20180801;10;353,01
20180801;11;359,27
20180801;12;437,50
20180801;13;482,81
20180801;14;486,79
20180801;15;413,03
20180801;16;387,54
20180801;17;335,62
20180801;18;304,65
20180801;19;289,00
20180801;20;292,98
20180801;21;282,54
20180801;22;286,80
20180801;23;271,43
20180801;24;227,82
20180802;1;207,83
20180802;2;199,80
20180802;3;195,95
20180802;4;193,56
20180802;5;193,54
20180802;6;197,38
20180802;7;220,12
20180802;8;265,59
20180802;9;309,05
20180802;10;341,62
20180802;11;347,79
20180802;12;385,91
20180802;13;414,48
20180802;14;390,99
20180802;15;346,07
20180802;16;344,46
20180802;17;304,78
20180802;18;293,08
20180802;19;293,54
20180802;20;298,55
20180802;21;290,52
20180802;22;285,43
20180802;23;272,37
20180802;24;227,50
20180803;1;215,77
20180803;2;201,57
20180803;3;200,19
20180803;4;200,14
20180803;5;200,23
20180803;6;200,01
20180803;7;224,22
20180803;8;284,87
20180803;9;322,74
20180803;10;382,80
20180803;11;399,63
20180803;12;441,45
20180803;13;484,57
20180803;14;491,76
20180803;15;368,43
20180803;16;349,64
20180803;17;310,60
20180803;18;303,12
20180803;19;301,86
20180803;20;314,09
20180803;21;304,08
20180803;22;306,06
20180803;23;277,66
20180803;24;231,12
20180804;1;229,28
20180804;2;213,53
20180804;3;203,80
20180804;4;203,81
20180804;5;200,75
20180804;6;192,72
20180804;7;209,79
20180804;8;226,37
20180804;9;250,40
20180804;10;320,21
20180804;11;380,01
20180804;12;387,11
20180804;13;346,74
20180804;14;314,38
20180804;15;253,82
20180804;16;250,12
20180804;17;233,12
20180804;18;232,64
20180804;19;248,01
20180804;20;249,59
20180804;21;241,43
20180804;22;245,35
20180804;23;233,72
20180804;24;215,02
20180805;1;203,57
20180805;2;195,02
20180805;3;188,32
20180805;4;188,59
20180805;5;185,87
20180805;6;179,86
20180805;7;184,48
20180805;8;188,23
20180805;9;198,35
20180805;10;205,77
20180805;11;207,55
20180805;12;209,04
20180805;13;207,71
20180805;14;204,89
20180805;15;196,03
20180805;16;186,55
20180805;17;186,10
20180805;18;186,52
20180805;19;204,77
20180805;20;216,70
20180805;21;224,18
20180805;22;232,81
20180805;23;227,22
20180805;24;204,05
20180806;1;189,96
20180806;2;184,35
20180806;3;184,17
20180806;4;184,16
20180806;5;184,21
20180806;6;185,58
20180806;7;225,35
20180806;8;254,48
20180806;9;294,72
20180806;10;310,74
20180806;11;312,00
20180806;12;342,69
20180806;13;373,78
20180806;14;366,56
20180806;15;348,84
20180806;16;303,61
20180806;17;295,00
20180806;18;315,70
20180806;19;320,19
20180806;20;339,44
20180806;21;346,83
20180806;22;347,75
20180806;23;314,11
20180806;24;248,57
20180807;1;225,78
20180807;2;208,15
20180807;3;203,46
20180807;4;202,90
20180807;5;202,17
20180807;6;203,69
20180807;7;248,42
20180807;8;299,20
20180807;9;320,34
20180807;10;344,89
20180807;11;327,11
20180807;12;344,09
20180807;13;352,83
20180807;14;345,66
20180807;15;317,60
20180807;16;312,33
20180807;17;295,34
20180807;18;310,29
20180807;19;314,25
20180807;20;305,83
20180807;21;290,23
20180807;22;256,75
20180807;23;255,41
20180807;24;205,21
20180808;1;200,81
20180808;2;186,19
20180808;3;179,82
20180808;4;178,08
20180808;5;179,24
20180808;6;180,49
20180808;7;212,81
20180808;8;233,65
20180808;9;271,35
20180808;10;289,53
20180808;11;292,85
20180808;12;306,72
20180808;13;306,66
20180808;14;310,18
20180808;15;299,07
20180808;16;283,73
20180808;17;268,59
20180808;18;277,90
20180808;19;278,61
20180808;20;277,03
20180808;21;274,43
20180808;22;259,84
20180808;23;236,00
20180808;24;210,95
20180809;1;195,22
20180809;2;182,60
20180809;3;181,59
20180809;4;182,06
20180809;5;182,01
20180809;6;183,12
20180809;7;216,54
20180809;8;253,33
20180809;9;289,92
20180809;10;310,38
20180809;11;322,35
20180809;12;322,79
20180809;13;331,80
20180809;14;318,06
20180809;15;318,77
20180809;16;310,36
20180809;17;295,39
20180809;18;276,20
20180809;19;269,21
20180809;20;265,62
20180809;21;250,35
20180809;22;229,75
20180809;23;216,16
20180809;24;195,79
20180810;1;185,45
20180810;2;169,89
20180810;3;167,65
20180810;4;167,56
20180810;5;165,98
20180810;6;167,48
20180810;7;199,37
20180810;8;213,34
20180810;9;220,01
20180810;10;233,25
20180810;11;234,51
20180810;12;247,98
20180810;13;262,01
20180810;14;258,81
20180810;15;252,03
20180810;16;258,39
20180810;17;247,40
20180810;18;241,49
20180810;19;243,87
20180810;20;250,37
20180810;21;262,43
20180810;22;252,97
20180810;23;230,52
20180810;24;207,68
20180811;1;203,28
20180811;2;194,73
20180811;3;188,51
20180811;4;181,36
20180811;5;178,93
20180811;6;179,86
20180811;7;184,54
20180811;8;194,76
20180811;9;215,90
20180811;10;253,98
20180811;11;257,64
20180811;12;257,39
20180811;13;239,85
20180811;14;231,64
20180811;15;211,42
20180811;16;202,87
20180811;17;199,18
20180811;18;198,42
20180811;19;201,19
20180811;20;202,52
20180811;21;215,35
20180811;22;217,09
20180811;23;209,02
20180811;24;194,00
20180812;1;174,17
20180812;2;170,21
20180812;3;167,11
20180812;4;165,43
20180812;5;164,90
20180812;6;163,75
20180812;7;165,26
20180812;8;172,17
20180812;9;181,53
20180812;10;188,08
20180812;11;189,89
20180812;12;191,77
20180812;13;193,04
20180812;14;190,61
20180812;15;186,76
20180812;16;181,58
20180812;17;188,05
20180812;18;199,78
20180812;19;204,10
20180812;20;218,05
20180812;21;224,22
20180812;22;235,04
20180812;23;216,39
20180812;24;203,04
20180813;1;185,88
20180813;2;181,17
20180813;3;173,12
20180813;4;172,07
20180813;5;174,98
20180813;6;182,88
20180813;7;211,96
20180813;8;249,98
20180813;9;277,86
20180813;10;302,56
20180813;11;308,36
20180813;12;325,60
20180813;13;335,26
20180813;14;333,51
20180813;15;306,92
20180813;16;296,80
20180813;17;272,35
20180813;18;271,08
20180813;19;271,45
20180813;20;276,21
20180813;21;273,70
20180813;22;264,95
20180813;23;240,24
20180813;24;209,77
20180814;1;201,63
20180814;2;193,84
20180814;3;188,43
20180814;4;186,42
20180814;5;188,02
20180814;6;191,75
20180814;7;222,11
20180814;8;248,99
20180814;9;278,38
20180814;10;300,00
20180814;11;295,54
20180814;12;304,29
20180814;13;306,50
20180814;14;305,65
20180814;15;277,26
20180814;16;273,03
20180814;17;259,82
20180814;18;251,49
20180814;19;246,98
20180814;20;254,08
20180814;21;255,75
20180814;22;250,49
20180814;23;241,80
20180814;24;210,94
20180815;1;193,39
20180815;2;181,96
20180815;3;177,46
20180815;4;175,19
20180815;5;171,06
20180815;6;166,62
20180815;7;167,25
20180815;8;182,18
20180815;9;193,70
20180815;10;202,48
20180815;11;219,57
20180815;12;222,15
20180815;13;223,68
20180815;14;216,69
20180815;15;210,02
20180815;16;202,20
20180815;17;201,86
20180815;18;203,82
20180815;19;215,17
20180815;20;237,35
20180815;21;252,77
20180815;22;253,64
20180815;23;232,96
20180815;24;205,32
20180816;1;203,01
20180816;2;197,76
20180816;3;189,85
20180816;4;186,39
20180816;5;192,30
20180816;6;195,95
20180816;7;233,75
20180816;8;255,73
20180816;9;290,82
20180816;10;340,88
20180816;11;369,10
20180816;12;418,78
20180816;13;439,20
20180816;14;457,77
20180816;15;377,35
20180816;16;350,36
20180816;17;323,74
20180816;18;300,08
20180816;19;287,29
20180816;20;298,80
20180816;21;324,35
20180816;22;283,01
20180816;23;253,25
20180816;24;219,39
20180817;1;203,98
20180817;2;199,90
20180817;3;196,64
20180817;4;195,52
20180817;5;197,62
20180817;6;201,38
20180817;7;232,81
20180817;8;258,79
20180817;9;285,43
20180817;10;323,98
20180817;11;346,49
20180817;12;356,59
20180817;13;369,98
20180817;14;370,51
20180817;15;335,22
20180817;16;321,26
