Data;Godzina;RCE
20190401;1;183,51
20190401;2;182,31
20190401;3;178,68
20190401;4;181,83
20190401;5;183,03
20190401;6;195,41
20190401;7;250,42
20190401;8;240,39
20190401;9;272,08
20190401;10;283,22
20190401;11;277,23
20190401;12;284,08
20190401;13;285,11
20190401;14;280,03
20190401;15;271,04
20190401;16;252,16
20190401;17;243,87
20190401;18;237,16
20190401;19;235,19
20190401;20;263,81
20190401;21;268,87
20190401;22;226,30
20190401;23;211,97
20190401;24;190,46
20190402;1;182,32
20190402;2;178,86
20190402;3;174,87
20190402;4;174,88
20190402;5;176,13
20190402;6;182,16
20190402;7;203,21
20190402;8;209,36
20190402;9;222,00
20190402;10;221,51
20190402;11;210,87
20190402;12;209,12
20190402;13;205,06
20190402;14;205,14
20190402;15;196,31
20190402;16;187,50
20190402;17;187,50
20190402;18;187,56
20190402;19;187,53
20190402;20;197,36
20190402;21;202,71
20190402;22;187,14
20190402;23;186,87
20190402;24;174,97
20190403;1;155,84
20190403;2;151,44
20190403;3;144,11
20190403;4;145,38
20190403;5;153,30
20190403;6;163,70
20190403;7;187,41
20190403;8;204,19
20190403;9;213,94
20190403;10;214,58
20190403;11;211,17
20190403;12;213,09
20190403;13;211,54
20190403;14;209,92
20190403;15;203,40
20190403;16;193,16
20190403;17;191,92
20190403;18;190,93
20190403;19;196,81
20190403;20;213,85
20190403;21;210,83
20190403;22;190,17
20190403;23;192,22
20190403;24;175,50
20190404;1;179,71
20190404;2;172,50
20190404;3;171,23
20190404;4;171,65
20190404;5;174,60
20190404;6;185,48
20190404;7;204,80
20190404;8;221,73
20190404;9;231,21
20190404;10;231,91
20190404;11;221,82
20190404;12;226,43
20190404;13;225,99
20190404;14;221,74
20190404;15;203,22
20190404;16;200,98
20190404;17;199,54
20190404;18;201,04
20190404;19;199,50
20190404;20;229,82
20190404;21;233,00
20190404;22;201,78
20190404;23;199,50
20190404;24;178,93
20190405;1;180,91
20190405;2;180,75
20190405;3;179,68
20190405;4;180,73
20190405;5;179,78
20190405;6;178,20
20190405;7;209,50
20190405;8;225,58
20190405;9;243,06
20190405;10;269,30
20190405;11;250,17
20190405;12;264,81
20190405;13;263,44
20190405;14;252,28
20190405;15;242,01
20190405;16;235,85
20190405;17;229,59
20190405;18;225,59
20190405;19;221,99
20190405;20;230,58
20190405;21;237,62
20190405;22;204,27
20190405;23;194,10
20190405;24;178,26
20190406;1;186,45
20190406;2;178,40
20190406;3;175,38
20190406;4;174,40
20190406;5;175,62
20190406;6;175,76
20190406;7;177,08
20190406;8;193,01
20190406;9;220,64
20190406;10;237,26
20190406;11;239,96
20190406;12;244,07
20190406;13;232,63
20190406;14;232,94
20190406;15;215,43
20190406;16;199,08
20190406;17;195,47
20190406;18;196,26
20190406;19;195,98
20190406;20;223,06
20190406;21;238,52
20190406;22;209,80
20190406;23;183,15
20190406;24;180,72
20190407;1;176,98
20190407;2;174,61
20190407;3;173,05
20190407;4;173,05
20190407;5;172,63
20190407;6;172,58
20190407;7;171,42
20190407;8;175,21
20190407;9;192,23
20190407;10;199,39
20190407;11;219,71
20190407;12;221,53
20190407;13;220,53
20190407;14;218,23
20190407;15;199,49
20190407;16;193,09
20190407;17;193,05
20190407;18;193,18
20190407;19;195,64
20190407;20;233,94
20190407;21;240,81
20190407;22;227,13
20190407;23;192,83
20190407;24;183,04
20190408;1;193,37
20190408;2;193,01
20190408;3;192,91
20190408;4;192,97
20190408;5;195,61
20190408;6;205,06
20190408;7;258,38
20190408;8;258,97
20190408;9;289,51
20190408;10;288,10
20190408;11;281,35
20190408;12;294,94
20190408;13;290,11
20190408;14;280,79
20190408;15;258,57
20190408;16;247,39
20190408;17;245,85
20190408;18;235,94
20190408;19;234,75
20190408;20;245,48
20190408;21;268,96
20190408;22;222,91
20190408;23;214,15
20190408;24;192,11
20190409;1;218,42
20190409;2;206,93
20190409;3;202,13
20190409;4;203,61
20190409;5;210,37
20190409;6;219,59
20190409;7;249,54
20190409;8;248,92
20190409;9;288,86
20190409;10;288,83
20190409;11;268,70
20190409;12;285,09
20190409;13;288,19
20190409;14;285,20
20190409;15;259,37
20190409;16;249,47
20190409;17;244,90
20190409;18;239,81
20190409;19;241,50
20190409;20;250,28
20190409;21;286,62
20190409;22;237,09
20190409;23;228,73
20190409;24;213,30
20190410;1;219,01
20190410;2;214,61
20190410;3;211,01
20190410;4;210,54
20190410;5;214,53
20190410;6;211,34
20190410;7;255,35
20190410;8;256,83
20190410;9;294,98
20190410;10;296,48
20190410;11;286,67
20190410;12;287,56
20190410;13;291,81
20190410;14;286,87
20190410;15;274,16
20190410;16;254,47
20190410;17;247,91
20190410;18;242,63
20190410;19;241,12
20190410;20;260,91
20190410;21;283,75
20190410;22;241,79
20190410;23;240,96
20190410;24;217,10
20190411;1;215,70
20190411;2;210,93
20190411;3;205,83
20190411;4;205,82
20190411;5;210,27
20190411;6;219,70
20190411;7;270,17
20190411;8;264,12
20190411;9;292,00
20190411;10;293,22
20190411;11;288,65
20190411;12;291,52
20190411;13;292,05
20190411;14;292,12
20190411;15;266,18
20190411;16;248,44
20190411;17;247,47
20190411;18;242,72
20190411;19;241,96
20190411;20;249,21
20190411;21;285,78
20190411;22;244,15
20190411;23;239,51
20190411;24;216,83
20190412;1;219,79
20190412;2;216,40
20190412;3;210,09
20190412;4;210,10
20190412;5;210,88
20190412;6;217,20
20190412;7;254,59
20190412;8;263,11
20190412;9;295,07
20190412;10;292,34
20190412;11;289,24
20190412;12;292,22
20190412;13;290,59
20190412;14;283,54
20190412;15;259,58
20190412;16;248,07
20190412;17;242,78
20190412;18;238,59
20190412;19;238,33
20190412;20;252,10
20190412;21;264,27
20190412;22;231,22
20190412;23;231,24
20190412;24;216,38
20190413;1;196,95
20190413;2;196,76
20190413;3;197,25
20190413;4;197,36
20190413;5;197,40
20190413;6;198,29
20190413;7;197,15
20190413;8;226,69
20190413;9;252,68
20190413;10;261,19
20190413;11;262,13
20190413;12;264,19
20190413;13;262,12
20190413;14;258,85
20190413;15;243,85
20190413;16;231,98
20190413;17;221,83
20190413;18;210,05
20190413;19;209,83
20190413;20;234,43
20190413;21;247,45
20190413;22;227,83
20190413;23;200,87
20190413;24;200,79
20190414;1;184,07
20190414;2;180,82
20190414;3;171,53
20190414;4;170,12
20190414;5;169,66
20190414;6;169,59
20190414;7;174,85
20190414;8;179,64
20190414;9;186,39
20190414;10;190,94
20190414;11;195,86
20190414;12;199,00
20190414;13;200,42
20190414;14;197,55
20190414;15;192,21
20190414;16;182,93
20190414;17;183,21
20190414;18;186,54
20190414;19;190,33
20190414;20;199,96
20190414;21;201,83
20190414;22;198,15
20190414;23;192,86
20190414;24;177,79
20190415;1;196,49
20190415;2;197,54
20190415;3;196,19
20190415;4;197,52
20190415;5;198,47
20190415;6;201,88
20190415;7;230,47
20190415;8;245,69
20190415;9;259,99
20190415;10;258,89
20190415;11;254,73
20190415;12;254,03
20190415;13;255,49
20190415;14;254,74
20190415;15;249,22
20190415;16;244,64
20190415;17;236,53
20190415;18;228,45
20190415;19;217,78
20190415;20;250,72
20190415;21;263,71
20190415;22;228,22
20190415;23;230,02
20190415;24;204,18
20190416;1;222,78
20190416;2;212,50
20190416;3;205,31
20190416;4;206,07
20190416;5;213,72
20190416;6;221,62
20190416;7;266,62
20190416;8;259,59
20190416;9;296,38
20190416;10;299,21
20190416;11;287,00
20190416;12;286,83
20190416;13;297,16
20190416;14;284,79
20190416;15;263,17
20190416;16;251,82
20190416;17;245,51
20190416;18;239,92
20190416;19;235,85
20190416;20;247,85
20190416;21;260,66
20190416;22;235,82
20190416;23;254,26
20190416;24;230,60
20190417;1;220,73
20190417;2;217,85
20190417;3;217,08
20190417;4;215,68
20190417;5;215,24
20190417;6;213,15
20190417;7;273,86
20190417;8;265,35
20190417;9;320,59
20190417;10;333,24
20190417;11;331,45
20190417;12;331,55
20190417;13;331,46
20190417;14;329,38
20190417;15;291,48
20190417;16;270,01
20190417;17;253,68
20190417;18;248,70
20190417;19;248,39
20190417;20;255,67
20190417;21;293,35
20190417;22;247,57
20190417;23;268,06
20190417;24;229,59
20190418;1;228,67
20190418;2;222,01
20190418;3;217,32
20190418;4;220,00
20190418;5;222,58
20190418;6;222,11
20190418;7;262,32
20190418;8;273,82
20190418;9;332,13
20190418;10;348,01
20190418;11;339,75
20190418;12;342,05
20190418;13;343,63
20190418;14;335,73
20190418;15;315,55
20190418;16;286,07
20190418;17;268,90
20190418;18;258,95
20190418;19;255,76
20190418;20;268,73
20190418;21;308,06
20190418;22;252,90
20190418;23;256,68
20190418;24;224,64
20190419;1;234,28
20190419;2;225,36
20190419;3;215,02
20190419;4;212,15
20190419;5;223,02
20190419;6;234,28
20190419;7;265,21
20190419;8;255,66
20190419;9;282,88
20190419;10;292,17
20190419;11;290,36
20190419;12;285,92
20190419;13;282,98
20190419;14;276,01
20190419;15;256,50
20190419;16;252,38
20190419;17;245,22
20190419;18;254,26
20190419;19;249,50
20190419;20;254,61
20190419;21;268,37
20190419;22;245,80
20190419;23;240,17
20190419;24;232,51
20190420;1;199,71
20190420;2;199,44
20190420;3;197,48
20190420;4;195,67
20190420;5;196,58
20190420;6;198,14
20190420;7;195,72
20190420;8;219,59
20190420;9;225,08
20190420;10;246,88
20190420;11;251,57
20190420;12;248,37
20190420;13;249,68
20190420;14;245,41
20190420;15;229,77
20190420;16;228,49
20190420;17;231,41
20190420;18;230,23
20190420;19;229,13
20190420;20;227,35
20190420;21;231,70
20190420;22;230,49
20190420;23;208,17
20190420;24;195,03
20190421;1;174,40
20190421;2;167,66
20190421;3;161,39
20190421;4;167,04
20190421;5;172,15
20190421;6;171,28
20190421;7;167,72
20190421;8;186,65
20190421;9;197,87
20190421;10;193,49
20190421;11;193,35
20190421;12;193,29
20190421;13;193,21
20190421;14;192,43
20190421;15;185,49
20190421;16;180,83
20190421;17;181,45
20190421;18;182,67
20190421;19;185,43
20190421;20;194,16
20190421;21;200,47
20190421;22;198,37
20190421;23;194,66
20190421;24;178,26
20190422;1;175,97
20190422;2;157,59
20190422;3;142,48
20190422;4;140,16
20190422;5;143,59
20190422;6;144,86
20190422;7;167,01
20190422;8;175,29
20190422;9;192,34
20190422;10;196,27
20190422;11;197,00
20190422;12;194,53
20190422;13;193,06
20190422;14;192,31
20190422;15;184,61
20190422;16;169,58
20190422;17;168,21
20190422;18;168,57
20190422;19;175,83
20190422;20;192,07
20190422;21;199,82
20190422;22;191,38
20190422;23;178,82
20190422;24;139,01
20190423;1;137,07
20190423;2;120,12
20190423;3;101,35
20190423;4;102,35
20190423;5;122,00
20190423;6;145,83
20190423;7;195,31
20190423;8;206,48
20190423;9;214,14
20190423;10;208,21
20190423;11;208,19
20190423;12;208,03
20190423;13;208,04
20190423;14;208,03
20190423;15;207,98
20190423;16;205,95
20190423;17;205,75
20190423;18;205,90
20190423;19;205,89
20190423;20;209,36
20190423;21;208,29
20190423;22;207,99
20190423;23;198,53
20190423;24;191,37
20190424;1;186,25
20190424;2;177,85
20190424;3;178,58
20190424;4;178,81
20190424;5;179,23
20190424;6;185,43
20190424;7;199,96
20190424;8;208,87
20190424;9;209,63
20190424;10;210,52
20190424;11;209,67
20190424;12;209,64
20190424;13;211,69
20190424;14;210,25
20190424;15;210,53
20190424;16;210,82
20190424;17;209,81
20190424;18;209,72
