Data;Godzina;RCE
20220801;1;1 049,99
20220801;2;828,70
20220801;3;822,90
20220801;4;768,48
20220801;5;914,19
20220801;6;916,97
20220801;7;1 238,37
20220801;8;1 234,36
20220801;9;1 591,53
20220801;10;1 239,73
20220801;11;1 188,67
20220801;12;1 126,17
20220801;13;1 154,24
20220801;14;1 079,56
20220801;15;1 039,95
20220801;16;1 128,45
20220801;17;1 123,06
20220801;18;1 214,39
20220801;19;1 474,37
20220801;20;2 018,82
20220801;21;2 138,70
20220801;22;2 132,54
20220801;23;1 763,43
20220801;24;1 227,71
20220802;1;1 148,81
20220802;2;1 049,83
20220802;3;1 049,96
20220802;4;1 039,94
20220802;5;1 039,22
20220802;6;1 049,78
20220802;7;1 282,44
20220802;8;1 204,94
20220802;9;1 230,09
20220802;10;1 045,03
20220802;11;944,64
20220802;12;900,00
20220802;13;810,08
20220802;14;772,89
20220802;15;706,00
20220802;16;787,77
20220802;17;859,79
20220802;18;1 245,78
20220802;19;1 589,91
20220802;20;2 141,38
20220802;21;2 099,68
20220802;22;2 099,67
20220802;23;1 697,63
20220802;24;1 279,57
20220803;1;987,93
20220803;2;932,32
20220803;3;900,83
20220803;4;877,45
20220803;5;895,97
20220803;6;910,87
20220803;7;1 231,85
20220803;8;968,60
20220803;9;947,94
20220803;10;769,03
20220803;11;657,12
20220803;12;596,06
20220803;13;572,79
20220803;14;564,67
20220803;15;561,64
20220803;16;634,19
20220803;17;747,01
20220803;18;1 025,63
20220803;19;1 265,61
20220803;20;1 682,74
20220803;21;1 682,92
20220803;22;1 303,17
20220803;23;1 249,97
20220803;24;942,28
20220804;1;720,90
20220804;2;589,54
20220804;3;589,38
20220804;4;594,72
20220804;5;595,79
20220804;6;644,93
20220804;7;1 027,82
20220804;8;752,27
20220804;9;692,70
20220804;10;589,11
20220804;11;543,30
20220804;12;517,32
20220804;13;512,19
20220804;14;512,32
20220804;15;527,65
20220804;16;574,22
20220804;17;731,93
20220804;18;935,82
20220804;19;1 253,11
20220804;20;1 405,03
20220804;21;1 286,38
20220804;22;1 081,06
20220804;23;1 020,34
20220804;24;599,77
20220805;1;649,89
20220805;2;603,33
20220805;3;606,10
20220805;4;606,46
20220805;5;613,39
20220805;6;609,26
20220805;7;985,72
20220805;8;696,55
20220805;9;824,46
20220805;10;600,62
20220805;11;521,10
20220805;12;521,59
20220805;13;538,10
20220805;14;559,04
20220805;15;608,03
20220805;16;693,71
20220805;17;1 028,33
20220805;18;1 210,51
20220805;19;1 308,22
20220805;20;1 456,77
20220805;21;1 409,27
20220805;22;1 303,60
20220805;23;1 301,91
20220805;24;945,33
20220806;1;990,57
20220806;2;652,60
20220806;3;562,08
20220806;4;546,36
20220806;5;575,71
20220806;6;526,88
20220806;7;519,42
20220806;8;594,17
20220806;9;604,32
20220806;10;607,26
20220806;11;633,42
20220806;12;607,14
20220806;13;539,90
20220806;14;505,48
20220806;15;513,40
20220806;16;514,79
20220806;17;538,83
20220806;18;674,25
20220806;19;1 086,47
20220806;20;1 298,85
20220806;21;1 296,48
20220806;22;1 203,13
20220806;23;1 100,22
20220806;24;636,58
20220807;1;611,06
20220807;2;502,68
20220807;3;512,11
20220807;4;519,38
20220807;5;522,20
20220807;6;529,69
