Data;Godzina;RCE
20221201;1;881,56
20221201;2;845,01
20221201;3;845,06
20221201;4;851,80
20221201;5;882,03
20221201;6;977,07
20221201;7;981,07
20221201;8;1 049,87
20221201;9;1 212,99
20221201;10;1 236,01
20221201;11;1 213,84
20221201;12;1 226,40
20221201;13;1 252,68
20221201;14;1 260,12
20221201;15;1 253,78
20221201;16;1 258,72
20221201;17;1 299,94
20221201;18;1 266,98
20221201;19;1 257,28
20221201;20;1 216,03
20221201;21;1 062,36
20221201;22;970,94
20221201;23;973,66
20221201;24;890,29
20221202;1;858,73
20221202;2;851,22
20221202;3;922,61
20221202;4;884,80
20221202;5;851,98
20221202;6;981,00
20221202;7;990,82
20221202;8;1 039,58
20221202;9;1 149,43
20221202;10;1 164,08
20221202;11;1 131,62
20221202;12;1 139,68
20221202;13;1 146,29
20221202;14;1 171,36
20221202;15;1 179,11
20221202;16;1 183,00
20221202;17;1 207,64
20221202;18;1 186,90
20221202;19;1 150,64
20221202;20;1 124,63
20221202;21;1 017,59
20221202;22;898,44
20221202;23;960,34
20221202;24;872,24
20221203;1;907,10
20221203;2;893,37
20221203;3;979,54
20221203;4;979,56
20221203;5;979,45
20221203;6;875,00
20221203;7;884,04
20221203;8;983,02
20221203;9;1 064,42
20221203;10;1 143,53
20221203;11;1 191,05
20221203;12;1 195,33
20221203;13;1 194,49
20221203;14;1 195,25
20221203;15;1 182,22
20221203;16;1 191,54
20221203;17;1 206,12
20221203;18;1 196,68
20221203;19;1 148,47
20221203;20;1 104,68
20221203;21;1 004,68
20221203;22;908,46
20221203;23;859,79
20221203;24;782,32
20221204;1;554,48
20221204;2;495,03
20221204;3;516,33
20221204;4;517,32
20221204;5;517,36
20221204;6;517,01
20221204;7;535,23
20221204;8;520,37
20221204;9;686,10
20221204;10;739,27
20221204;11;834,30
20221204;12;863,13
20221204;13;781,00
20221204;14;864,22
20221204;15;841,72
20221204;16;809,32
20221204;17;868,14
20221204;18;862,64
20221204;19;862,68
20221204;20;856,74
20221204;21;786,35
20221204;22;720,07
20221204;23;752,68
20221204;24;580,26
20221205;1;705,18
20221205;2;653,81
20221205;3;630,15
20221205;4;642,22
20221205;5;681,46
20221205;6;565,89
20221205;7;925,56
20221205;8;996,22
20221205;9;1 066,03
20221205;10;1 090,00
20221205;11;1 077,49
20221205;12;1 104,40
20221205;13;1 131,15
20221205;14;1 133,52
20221205;15;1 138,59
20221205;16;1 161,26
20221205;17;1 161,34
20221205;18;1 140,46
20221205;19;1 135,48
20221205;20;1 097,20
20221205;21;1 012,77
20221205;22;871,37
20221205;23;934,28
20221205;24;839,42
20221206;1;893,87
20221206;2;925,08
20221206;3;911,36
20221206;4;905,53
20221206;5;921,24
20221206;6;985,69
20221206;7;989,95
20221206;8;1 046,13
20221206;9;1 155,04
20221206;10;1 212,48
20221206;11;1 201,85
20221206;12;1 225,54
20221206;13;1 232,36
20221206;14;1 239,93
20221206;15;1 226,70
20221206;16;1 215,17
20221206;17;1 244,91
20221206;18;1 181,97
20221206;19;1 128,73
20221206;20;1 096,31
20221206;21;1 011,50
20221206;22;855,30
20221206;23;931,63
20221206;24;828,30
20221207;1;838,67
20221207;2;850,20
20221207;3;857,81
20221207;4;845,01
20221207;5;842,91
20221207;6;792,70
20221207;7;827,22
20221207;8;850,94
20221207;9;1 001,29
20221207;10;1 016,52
20221207;11;998,90
20221207;12;998,90
20221207;13;1 000,01
20221207;14;998,91
20221207;15;910,39
20221207;16;853,10
20221207;17;921,53
20221207;18;830,66
20221207;19;801,09
20221207;20;716,66
20221207;21;676,81
20221207;22;673,70
20221207;23;815,77
20221207;24;865,74
20221208;1;836,95
20221208;2;791,11
20221208;3;817,23
20221208;4;790,58
20221208;5;828,94
20221208;6;843,15
20221208;7;883,85
20221208;8;925,85
20221208;9;1 070,43
20221208;10;1 101,23
20221208;11;1 091,66
20221208;12;1 115,00
20221208;13;1 149,70
20221208;14;1 162,05
20221208;15;1 168,10
20221208;16;1 157,10
20221208;17;1 176,00
20221208;18;1 140,54
20221208;19;1 094,23
20221208;20;1 042,20
20221208;21;990,95
20221208;22;840,93
20221208;23;892,26
20221208;24;889,33
20221209;1;894,66
20221209;2;896,52
20221209;3;907,25
20221209;4;895,96
20221209;5;931,86
20221209;6;998,37
20221209;7;1 007,39
20221209;8;1 092,25
20221209;9;1 188,00
20221209;10;1 241,41
20221209;11;1 188,72
20221209;12;1 204,10
20221209;13;1 238,46
20221209;14;1 252,86
20221209;15;1 256,58
20221209;16;1 266,95
20221209;17;1 283,07
20221209;18;1 247,17
20221209;19;1 155,74
20221209;20;1 108,64
20221209;21;1 020,39
20221209;22;921,13
20221209;23;993,54
20221209;24;888,93
20221210;1;999,12
20221210;2;964,47
20221210;3;904,31
20221210;4;904,13
20221210;5;902,72
20221210;6;963,12
20221210;7;998,35
20221210;8;1 045,59
20221210;9;1 135,41
20221210;10;1 258,62
20221210;11;1 286,12
20221210;12;1 295,53
20221210;13;1 304,20
20221210;14;1 314,51
20221210;15;1 279,71
20221210;16;1 284,12
20221210;17;1 330,51
20221210;18;1 285,29
20221210;19;1 234,99
20221210;20;1 183,05
20221210;21;1 081,18
20221210;22;999,68
20221210;23;981,86
20221210;24;859,58
20221211;1;737,51
20221211;2;689,77
20221211;3;738,81
20221211;4;731,99
20221211;5;731,48
20221211;6;652,97
20221211;7;625,48
20221211;8;632,49
20221211;9;768,89
20221211;10;865,60
20221211;11;916,38
20221211;12;948,55
20221211;13;956,67
20221211;14;949,68
20221211;15;900,76
20221211;16;900,77
20221211;17;921,02
20221211;18;920,73
20221211;19;900,74
20221211;20;900,78
20221211;21;850,77
20221211;22;758,99
20221211;23;660,83
20221211;24;581,76
20221212;1;769,57
20221212;2;744,98
20221212;3;724,13
20221212;4;711,22
20221212;5;724,77
20221212;6;756,54
20221212;7;841,69
20221212;8;843,93
20221212;9;929,49
20221212;10;966,38
20221212;11;961,62
20221212;12;961,57
20221212;13;928,54
20221212;14;893,84
20221212;15;841,67
20221212;16;867,88
20221212;17;867,46
20221212;18;822,24
20221212;19;731,69
20221212;20;721,64
20221212;21;694,15
20221212;22;547,67
20221212;23;805,48
20221212;24;719,24
20221213;1;740,22
20221213;2;746,59
20221213;3;781,31
20221213;4;748,21
20221213;5;769,48
20221213;6;766,45
20221213;7;896,00
20221213;8;870,82
20221213;9;969,89
20221213;10;980,99
20221213;11;971,78
20221213;12;974,79
20221213;13;994,07
20221213;14;1 089,84
20221213;15;1 100,44
20221213;16;1 108,14
20221213;17;1 133,02
20221213;18;1 123,18
20221213;19;1 098,76
20221213;20;1 098,28
20221213;21;1 057,96
20221213;22;908,05
20221213;23;928,27
20221213;24;846,64
20221214;1;907,88
20221214;2;869,53
20221214;3;899,28
20221214;4;883,30
20221214;5;898,25
20221214;6;894,62
20221214;7;927,96
20221214;8;981,05
20221214;9;1 055,92
20221214;10;1 046,90
20221214;11;1 005,88
20221214;12;1 058,40
20221214;13;1 091,01
20221214;14;1 112,03
20221214;15;1 111,95
20221214;16;1 108,30
20221214;17;1 112,66
20221214;18;1 111,21
20221214;19;1 078,31
20221214;20;1 023,82
20221214;21;971,25
20221214;22;865,57
20221214;23;903,41
20221214;24;861,72
20221215;1;975,82
20221215;2;972,26
20221215;3;979,34
20221215;4;955,01
20221215;5;967,53
20221215;6;982,30
20221215;7;991,44
20221215;8;1 105,24
20221215;9;1 189,15
20221215;10;1 201,99
20221215;11;1 132,53
20221215;12;1 146,42
20221215;13;1 162,10
20221215;14;1 214,00
20221215;15;1 218,89
20221215;16;1 269,43
20221215;17;1 287,32
20221215;18;1 252,70
20221215;19;1 177,25
20221215;20;1 103,73
20221215;21;1 009,23
20221215;22;894,77
20221215;23;975,11
20221215;24;965,14
20221216;1;968,05
20221216;2;935,89
20221216;3;956,19
20221216;4;937,83
20221216;5;961,46
20221216;6;973,42
20221216;7;979,98
20221216;8;1 082,96
20221216;9;1 151,22
20221216;10;1 170,46
20221216;11;1 161,99
20221216;12;1 199,69
20221216;13;1 210,27
20221216;14;1 207,97
20221216;15;1 191,35
20221216;16;1 197,96
20221216;17;1 240,06
20221216;18;1 194,23
20221216;19;1 144,74
20221216;20;1 099,10
20221216;21;1 013,64
20221216;22;968,09
20221216;23;975,14
20221216;24;936,46
20221217;1;980,21
20221217;2;932,12
20221217;3;957,38
20221217;4;919,91
20221217;5;957,79
20221217;6;931,92
20221217;7;948,74
20221217;8;1 013,19
