Data;Godzina;RCE
20180401;1;108,07
20180401;2;103,87
20180401;3;100,36
20180401;4;100,33
20180401;5;100,22
20180401;6;99,37
20180401;7;79,24
20180401;8;89,22
20180401;9;128,34
20180401;10;137,56
20180401;11;135,61
20180401;12;135,72
20180401;13;132,46
20180401;14;127,19
20180401;15;120,40
20180401;16;90,50
20180401;17;79,91
20180401;18;79,04
20180401;19;86,38
20180401;20;114,52
20180401;21;134,60
20180401;22;118,70
20180401;23;99,65
20180401;24;85,00
20180402;1;80,66
20180402;2;73,41
20180402;3;72,15
20180402;4;72,14
20180402;5;72,29
20180402;6;72,25
20180402;7;72,52
20180402;8;83,32
20180402;9;105,48
20180402;10;120,76
20180402;11;121,36
20180402;12;122,45
20180402;13;125,92
20180402;14;124,67
20180402;15;117,07
20180402;16;112,09
20180402;17;116,96
20180402;18;130,84
20180402;19;155,06
20180402;20;169,10
20180402;21;172,21
20180402;22;169,69
20180402;23;160,40
20180402;24;158,81
20180403;1;149,70
20180403;2;150,77
20180403;3;148,50
20180403;4;145,65
20180403;5;148,48
20180403;6;159,03
20180403;7;170,60
20180403;8;194,37
20180403;9;221,23
20180403;10;226,86
20180403;11;223,79
20180403;12;226,56
20180403;13;226,82
20180403;14;224,23
20180403;15;215,53
20180403;16;209,75
20180403;17;205,88
20180403;18;203,41
20180403;19;203,97
20180403;20;216,40
20180403;21;226,56
20180403;22;204,12
20180403;23;178,62
20180403;24;169,18
20180404;1;160,22
20180404;2;156,45
20180404;3;157,29
20180404;4;157,38
20180404;5;156,13
20180404;6;159,12
20180404;7;181,10
20180404;8;206,78
20180404;9;231,42
20180404;10;243,18
20180404;11;243,13
20180404;12;243,16
20180404;13;247,85
20180404;14;248,21
20180404;15;226,31
20180404;16;215,83
20180404;17;212,45
20180404;18;209,32
20180404;19;207,40
20180404;20;217,85
20180404;21;223,30
20180404;22;200,20
20180404;23;170,98
20180404;24;157,76
20180405;1;158,76
20180405;2;154,65
20180405;3;158,21
20180405;4;157,56
20180405;5;154,70
20180405;6;156,72
20180405;7;173,93
20180405;8;200,25
20180405;9;221,06
20180405;10;223,77
20180405;11;219,14
20180405;12;221,38
20180405;13;220,47
20180405;14;216,20
20180405;15;210,48
20180405;16;210,41
20180405;17;208,77
20180405;18;206,85
20180405;19;203,67
20180405;20;217,30
20180405;21;228,10
20180405;22;200,56
20180405;23;167,13
20180405;24;155,96
20180406;1;154,33
20180406;2;144,03
20180406;3;140,70
20180406;4;140,23
20180406;5;141,12
20180406;6;153,22
20180406;7;175,40
20180406;8;195,06
20180406;9;210,49
20180406;10;212,28
20180406;11;211,97
20180406;12;229,36
20180406;13;233,92
20180406;14;221,88
20180406;15;214,07
20180406;16;211,87
20180406;17;210,78
20180406;18;212,77
20180406;19;216,24
20180406;20;363,64
20180406;21;374,43
20180406;22;219,41
20180406;23;185,46
20180406;24;167,82
20180407;1;166,29
20180407;2;159,67
20180407;3;159,41
20180407;4;159,17
20180407;5;159,38
20180407;6;159,58
20180407;7;159,59
20180407;8;164,23
20180407;9;177,76
20180407;10;197,55
20180407;11;198,22
20180407;12;197,54
20180407;13;194,58
20180407;14;184,57
20180407;15;167,72
20180407;16;162,45
20180407;17;159,32
20180407;18;159,68
20180407;19;160,10
20180407;20;165,99
20180407;21;173,71
20180407;22;159,96
20180407;23;159,01
20180407;24;148,54
20180408;1;133,28
20180408;2;126,78
20180408;3;120,24
20180408;4;122,03
20180408;5;123,49
20180408;6;125,49
20180408;7;124,26
20180408;8;131,66
20180408;9;146,85
20180408;10;158,34
20180408;11;163,34
20180408;12;161,60
20180408;13;160,81
20180408;14;157,44
20180408;15;155,61
20180408;16;153,01
20180408;17;145,69
20180408;18;146,01
20180408;19;154,85
20180408;20;171,53
20180408;21;179,04
20180408;22;170,18
20180408;23;162,79
20180408;24;149,43
20180409;1;149,62
20180409;2;140,60
20180409;3;139,32
20180409;4;145,08
20180409;5;150,18
20180409;6;160,48
20180409;7;180,00
20180409;8;205,59
20180409;9;243,22
20180409;10;219,43
20180409;11;218,51
20180409;12;225,01
20180409;13;218,39
20180409;14;217,39
20180409;15;215,08
20180409;16;211,46
20180409;17;213,49
20180409;18;209,48
20180409;19;209,51
20180409;20;233,24
20180409;21;308,24
20180409;22;207,24
20180409;23;176,42
20180409;24;169,48
20180410;1;162,31
20180410;2;155,14
20180410;3;154,73
20180410;4;154,80
20180410;5;156,09
20180410;6;163,19
20180410;7;182,29
20180410;8;209,98
20180410;9;236,49
20180410;10;242,49
20180410;11;230,65
20180410;12;236,99
20180410;13;230,66
20180410;14;219,58
20180410;15;210,01
20180410;16;204,90
20180410;17;201,65
20180410;18;199,96
20180410;19;199,91
20180410;20;204,38
20180410;21;213,26
20180410;22;197,74
20180410;23;167,90
20180410;24;160,67
20180411;1;154,72
20180411;2;145,65
20180411;3;145,58
20180411;4;146,24
20180411;5;150,28
20180411;6;157,19
20180411;7;170,12
20180411;8;189,26
20180411;9;200,38
20180411;10;205,46
20180411;11;201,01
20180411;12;206,96
20180411;13;207,35
20180411;14;202,54
20180411;15;200,57
20180411;16;199,21
20180411;17;192,96
20180411;18;187,08
20180411;19;182,65
20180411;20;193,74
20180411;21;200,69
20180411;22;181,62
20180411;23;165,67
20180411;24;156,36
20180412;1;156,65
20180412;2;156,63
20180412;3;150,32
20180412;4;150,83
20180412;5;156,70
20180412;6;161,47
20180412;7;171,89
20180412;8;196,01
20180412;9;210,19
20180412;10;219,80
20180412;11;208,25
20180412;12;210,51
20180412;13;209,63
20180412;14;207,91
20180412;15;192,24
20180412;16;188,54
20180412;17;180,51
20180412;18;176,00
20180412;19;170,10
20180412;20;188,57
20180412;21;192,99
20180412;22;171,80
20180412;23;164,37
20180412;24;156,56
20180413;1;150,32
20180413;2;145,51
20180413;3;144,61
20180413;4;144,63
20180413;5;145,79
20180413;6;152,61
20180413;7;171,06
20180413;8;189,02
20180413;9;207,66
20180413;10;198,30
20180413;11;197,80
20180413;12;200,58
20180413;13;196,81
20180413;14;196,00
20180413;15;188,87
20180413;16;187,08
20180413;17;178,68
20180413;18;173,89
20180413;19;184,72
20180413;20;193,87
20180413;21;201,82
20180413;22;181,50
20180413;23;165,43
20180413;24;156,50
20180414;1;155,63
20180414;2;151,27
20180414;3;149,79
20180414;4;149,55
20180414;5;149,50
20180414;6;153,39
20180414;7;157,78
20180414;8;166,53
20180414;9;177,13
20180414;10;186,44
20180414;11;188,50
20180414;12;187,89
20180414;13;181,40
20180414;14;176,21
20180414;15;171,30
20180414;16;168,87
20180414;17;169,16
20180414;18;169,21
20180414;19;170,52
20180414;20;179,33
20180414;21;194,87
20180414;22;180,35
20180414;23;173,81
20180414;24;161,52
20180415;1;160,49
20180415;2;159,01
20180415;3;156,63
20180415;4;156,09
20180415;5;152,75
20180415;6;153,06
20180415;7;142,94
20180415;8;148,90
20180415;9;162,04
20180415;10;164,38
20180415;11;168,63
20180415;12;168,31
20180415;13;167,37
20180415;14;164,88
20180415;15;161,82
20180415;16;161,71
20180415;17;161,72
20180415;18;162,06
20180415;19;162,33
20180415;20;172,21
20180415;21;178,84
20180415;22;173,10
20180415;23;168,90
20180415;24;161,90
20180416;1;155,56
20180416;2;147,70
20180416;3;147,66
20180416;4;152,98
20180416;5;157,15
20180416;6;163,67
20180416;7;194,60
