Data;Godzina;RCE
20211201;1;576,75
20211201;2;497,72
20211201;3;472,01
20211201;4;471,88
20211201;5;502,17
20211201;6;570,25
20211201;7;759,10
20211201;8;814,18
20211201;9;902,12
20211201;10;888,62
20211201;11;783,09
20211201;12;754,37
20211201;13;713,63
20211201;14;693,48
20211201;15;599,83
20211201;16;580,96
20211201;17;602,85
20211201;18;615,35
20211201;19;574,98
20211201;20;521,28
20211201;21;508,01
20211201;22;449,34
20211201;23;417,21
20211201;24;368,40
20211202;1;347,45
20211202;2;333,51
20211202;3;331,05
20211202;4;326,32
20211202;5;356,43
20211202;6;403,08
20211202;7;591,18
20211202;8;565,03
20211202;9;595,16
20211202;10;599,95
20211202;11;543,41
20211202;12;620,31
20211202;13;611,08
20211202;14;687,41
20211202;15;688,69
20211202;16;741,91
20211202;17;833,62
20211202;18;824,73
20211202;19;829,58
20211202;20;842,24
20211202;21;749,86
20211202;22;662,84
20211202;23;650,91
20211202;24;556,35
20211203;1;608,38
20211203;2;537,09
20211203;3;507,09
20211203;4;489,49
20211203;5;499,83
20211203;6;580,96
20211203;7;747,76
20211203;8;576,28
20211203;9;691,23
20211203;10;672,47
20211203;11;599,73
20211203;12;599,03
20211203;13;607,91
20211203;14;697,56
20211203;15;700,12
20211203;16;756,95
20211203;17;859,16
20211203;18;825,14
20211203;19;695,58
20211203;20;599,95
20211203;21;513,13
20211203;22;509,19
20211203;23;567,55
20211203;24;477,20
20211204;1;513,05
20211204;2;491,85
20211204;3;483,07
20211204;4;473,81
20211204;5;467,66
20211204;6;498,19
20211204;7;584,42
20211204;8;578,75
20211204;9;824,96
20211204;10;1 000,73
20211204;11;1 192,33
20211204;12;1 160,36
20211204;13;1 166,37
20211204;14;1 205,75
20211204;15;1 179,09
20211204;16;1 138,17
20211204;17;1 266,28
20211204;18;1 283,95
20211204;19;1 273,50
20211204;20;1 195,02
20211204;21;1 132,64
20211204;22;848,63
20211204;23;698,08
20211204;24;589,53
20211205;1;456,28
20211205;2;445,53
20211205;3;406,61
20211205;4;400,39
20211205;5;398,05
20211205;6;409,08
20211205;7;403,94
20211205;8;462,35
20211205;9;487,54
20211205;10;547,32
20211205;11;575,24
20211205;12;654,06
20211205;13;782,53
20211205;14;852,03
20211205;15;845,13
20211205;16;901,99
20211205;17;1 020,66
20211205;18;1 015,03
20211205;19;1 014,54
20211205;20;1 002,99
20211205;21;860,14
20211205;22;616,73
20211205;23;650,03
20211205;24;578,81
20211206;1;571,52
20211206;2;548,87
20211206;3;545,59
20211206;4;558,81
20211206;5;588,60
20211206;6;721,14
20211206;7;895,96
20211206;8;714,95
20211206;9;1 268,85
20211206;10;1 427,90
20211206;11;1 406,40
20211206;12;1 482,11
20211206;13;1 438,95
20211206;14;1 438,19
20211206;15;1 431,07
20211206;16;1 472,22
20211206;17;1 510,92
20211206;18;1 498,54
20211206;19;1 484,65
20211206;20;1 439,11
20211206;21;1 214,25
20211206;22;850,06
20211206;23;867,45
20211206;24;801,54
20211207;1;699,25
20211207;2;674,20
20211207;3;695,64
20211207;4;677,99
20211207;5;682,05
20211207;6;797,16
20211207;7;947,06
20211207;8;915,21
20211207;9;1 469,83
20211207;10;1 531,42
20211207;11;1 504,40
20211207;12;1 505,19
20211207;13;1 477,25
20211207;14;1 414,94
20211207;15;1 369,74
20211207;16;1 402,16
20211207;17;1 420,23
20211207;18;1 362,14
20211207;19;1 262,83
20211207;20;1 155,10
20211207;21;936,31
20211207;22;641,54
20211207;23;786,19
20211207;24;617,33
20211208;1;537,02
20211208;2;513,10
20211208;3;459,94
20211208;4;470,59
20211208;5;463,63
20211208;6;510,62
20211208;7;707,48
20211208;8;660,20
20211208;9;779,32
20211208;10;840,32
20211208;11;846,71
20211208;12;929,13
20211208;13;927,58
20211208;14;982,81
20211208;15;992,55
20211208;16;975,43
20211208;17;952,52
20211208;18;776,74
20211208;19;730,04
20211208;20;679,97
20211208;21;664,95
20211208;22;611,68
20211208;23;624,42
20211208;24;579,83
20211209;1;625,65
20211209;2;562,76
20211209;3;558,30
20211209;4;561,39
20211209;5;566,04
20211209;6;624,65
20211209;7;797,57
20211209;8;700,19
20211209;9;1 103,59
20211209;10;1 320,27
20211209;11;1 320,10
20211209;12;1 391,78
20211209;13;1 415,33
20211209;14;1 433,60
20211209;15;1 431,73
20211209;16;1 435,34
20211209;17;1 566,66
20211209;18;1 538,99
20211209;19;1 403,42
20211209;20;1 323,85
20211209;21;949,96
20211209;22;678,55
20211209;23;796,43
20211209;24;686,55
20211210;1;721,95
20211210;2;668,74
20211210;3;624,87
20211210;4;626,72
20211210;5;668,99
20211210;6;737,61
20211210;7;904,43
20211210;8;877,44
20211210;9;1 301,94
20211210;10;1 435,59
20211210;11;1 393,63
20211210;12;1 414,90
20211210;13;1 407,32
20211210;14;1 411,99
20211210;15;1 392,15
20211210;16;1 425,43
20211210;17;1 538,78
20211210;18;1 582,17
20211210;19;1 504,38
20211210;20;1 426,58
20211210;21;1 148,69
20211210;22;761,73
20211210;23;869,93
20211210;24;761,77
20211211;1;801,37
20211211;2;769,63
20211211;3;768,89
20211211;4;757,04
20211211;5;779,86
20211211;6;800,78
20211211;7;899,08
20211211;8;1 075,38
20211211;9;1 315,29
20211211;10;1 435,62
20211211;11;1 441,78
20211211;12;1 451,20
20211211;13;1 452,88
20211211;14;1 459,87
20211211;15;1 319,31
20211211;16;1 410,91
20211211;17;1 569,32
20211211;18;1 481,93
20211211;19;1 450,45
20211211;20;1 388,06
20211211;21;1 165,01
20211211;22;926,86
20211211;23;840,92
20211211;24;696,27
20211212;1;597,22
20211212;2;528,87
20211212;3;509,08
20211212;4;494,45
20211212;5;478,67
20211212;6;485,03
20211212;7;498,17
20211212;8;508,57
20211212;9;573,33
20211212;10;774,32
20211212;11;871,10
20211212;12;985,68
20211212;13;1 054,79
20211212;14;1 204,22
20211212;15;1 151,75
20211212;16;1 167,09
20211212;17;1 391,54
20211212;18;1 407,22
20211212;19;1 389,86
20211212;20;1 355,58
20211212;21;1 346,51
20211212;22;1 071,59
20211212;23;898,73
20211212;24;787,10
20211213;1;698,42
20211213;2;664,68
20211213;3;651,52
20211213;4;648,49
20211213;5;698,53
20211213;6;767,05
20211213;7;1 191,22
20211213;8;1 225,26
20211213;9;1 727,66
20211213;10;1 792,26
20211213;11;1 753,94
20211213;12;1 763,58
20211213;13;1 754,23
20211213;14;1 821,64
20211213;15;1 740,60
20211213;16;1 774,15
20211213;17;1 783,22
20211213;18;1 761,17
20211213;19;1 687,68
20211213;20;1 537,31
20211213;21;1 326,40
20211213;22;951,14
20211213;23;911,55
20211213;24;819,81
20211214;1;801,85
20211214;2;709,29
20211214;3;683,15
20211214;4;677,25
20211214;5;735,12
20211214;6;804,32
20211214;7;1 036,53
20211214;8;1 106,10
20211214;9;1 658,29
20211214;10;1 696,01
20211214;11;1 588,79
20211214;12;1 665,22
20211214;13;1 741,43
20211214;14;1 752,41
20211214;15;1 703,83
20211214;16;1 756,07
20211214;17;1 788,35
20211214;18;1 769,17
20211214;19;1 730,45
20211214;20;1 612,49
20211214;21;1 229,11
20211214;22;839,50
20211214;23;899,19
20211214;24;829,33
20211215;1;670,54
20211215;2;684,42
20211215;3;657,17
20211215;4;660,80
20211215;5;714,43
20211215;6;739,95
20211215;7;899,88
20211215;8;957,74
20211215;9;1 250,31
20211215;10;1 335,36
20211215;11;1 269,81
20211215;12;1 328,20
20211215;13;1 319,52
20211215;14;1 373,15
20211215;15;1 322,69
20211215;16;1 339,15
20211215;17;1 448,93
20211215;18;1 409,10
20211215;19;1 071,65
20211215;20;978,66
20211215;21;762,14
20211215;22;516,18
20211215;23;790,31
20211215;24;666,84
20211216;1;521,95
20211216;2;504,69
20211216;3;497,04
20211216;4;494,90
20211216;5;501,06
20211216;6;530,75
20211216;7;770,01
20211216;8;636,47
20211216;9;853,42
20211216;10;883,49
20211216;11;885,06
20211216;12;879,37
20211216;13;879,98
20211216;14;876,03
20211216;15;825,81
20211216;16;841,23
20211216;17;883,69
20211216;18;841,16
20211216;19;761,30
20211216;20;742,23
20211216;21;619,63
20211216;22;516,50
20211216;23;690,01
20211216;24;560,99
20211217;1;494,01
20211217;2;471,12
20211217;3;478,66
20211217;4;458,89
20211217;5;495,25
20211217;6;531,39
20211217;7;790,86
20211217;8;523,68
20211217;9;809,12
20211217;10;883,30
20211217;11;853,66
20211217;12;882,73
20211217;13;883,32
20211217;14;892,16
20211217;15;884,08
20211217;16;900,05
20211217;17;903,35
20211217;18;901,95
20211217;19;828,73
20211217;20;817,07
20211217;21;745,85
20211217;22;523,52
20211217;23;801,87
20211217;24;729,97
20211218;1;699,80
20211218;2;656,22
20211218;3;577,96
20211218;4;546,68
20211218;5;570,60
20211218;6;589,31
20211218;7;681,72
20211218;8;807,21
20211218;9;925,72
20211218;10;989,79
20211218;11;1 000,03
20211218;12;1 008,52
20211218;13;950,03
20211218;14;972,19
20211218;15;848,57
20211218;16;935,98
20211218;17;1 020,03
20211218;18;900,02
20211218;19;819,20
20211218;20;745,27
20211218;21;571,35
20211218;22;514,28
20211218;23;447,19
20211218;24;369,91
20211219;1;315,63
20211219;2;266,46
20211219;3;216,30
20211219;4;172,17
20211219;5;165,29
20211219;6;175,05
20211219;7;209,55
20211219;8;244,58
20211219;9;301,63
20211219;10;380,61
20211219;11;400,54
20211219;12;436,60
20211219;13;440,61
20211219;14;450,67
20211219;15;445,02
20211219;16;456,89
20211219;17;526,90
20211219;18;506,44
20211219;19;516,21
20211219;20;516,04
20211219;21;492,27
20211219;22;438,18
20211219;23;419,20
20211219;24;331,18
20211220;1;392,80
20211220;2;368,57
20211220;3;359,19
20211220;4;358,99
20211220;5;409,26
20211220;6;502,45
20211220;7;584,28
20211220;8;477,89
20211220;9;506,04
20211220;10;682,66
20211220;11;737,20
20211220;12;822,04
20211220;13;880,03
20211220;14;908,69
20211220;15;935,02
20211220;16;1 002,70
20211220;17;1 217,25
20211220;18;1 206,49
20211220;19;1 160,68
20211220;20;1 129,72
20211220;21;950,02
20211220;22;548,05
20211220;23;849,61
20211220;24;795,38
20211221;1;917,50
20211221;2;904,29
20211221;3;879,72
20211221;4;878,00
20211221;5;864,96
20211221;6;881,94
20211221;7;1 136,14
20211221;8;1 232,57
20211221;9;1 850,67
20211221;10;1 968,35
20211221;11;1 981,80
20211221;12;1 971,48
20211221;13;1 939,67
20211221;14;2 031,23
20211221;15;1 883,45
20211221;16;1 929,11
20211221;17;1 965,20
20211221;18;1 868,46
20211221;19;1 834,12
20211221;20;1 689,83
20211221;21;1 276,52
20211221;22;889,84
20211221;23;937,32
20211221;24;874,82
20211222;1;975,60
20211222;2;932,01
20211222;3;927,15
20211222;4;935,62
20211222;5;970,40
20211222;6;1 042,42
20211222;7;1 195,93
20211222;8;1 450,72
20211222;9;2 243,36
20211222;10;2 201,99
20211222;11;2 200,66
20211222;12;2 176,76
20211222;13;2 154,93
20211222;14;2 158,43
20211222;15;2 214,36
20211222;16;2 312,65
20211222;17;2 401,67
20211222;18;2 407,61
20211222;19;2 303,79
20211222;20;2 019,48
20211222;21;1 400,81
20211222;22;865,03
20211222;23;1 018,87
20211222;24;910,13
20211223;1;859,45
20211223;2;863,71
20211223;3;852,39
20211223;4;853,91
20211223;5;852,66
20211223;6;925,87
20211223;7;1 035,02
20211223;8;1 040,73
20211223;9;1 188,39
20211223;10;1 179,54
20211223;11;1 178,14
20211223;12;1 218,75
20211223;13;1 230,09
20211223;14;1 238,30
20211223;15;1 222,39
20211223;16;1 265,73
20211223;17;1 284,15
20211223;18;1 276,06
20211223;19;1 176,97
20211223;20;1 068,86
20211223;21;808,29
20211223;22;492,12
20211223;23;776,95
20211223;24;518,81
20211224;1;457,10
20211224;2;422,64
20211224;3;403,55
20211224;4;384,88
20211224;5;391,89
20211224;6;426,66
20211224;7;413,52
20211224;8;464,28
20211224;9;548,75
