Data;Godzina;RCE
20180201;1;117,51
20180201;2;114,83
20180201;3;114,52
20180201;4;117,50
20180201;5;119,00
20180201;6;124,82
20180201;7;151,42
20180201;8;168,32
20180201;9;179,09
20180201;10;182,30
20180201;11;180,92
20180201;12;183,10
20180201;13;183,64
20180201;14;184,93
20180201;15;185,34
20180201;16;181,95
20180201;17;193,76
20180201;18;212,13
20180201;19;198,58
20180201;20;185,43
20180201;21;177,32
20180201;22;164,72
20180201;23;147,06
20180201;24;131,01
20180202;1;132,33
20180202;2;125,26
20180202;3;123,65
20180202;4;123,62
20180202;5;125,03
20180202;6;137,89
20180202;7;158,27
20180202;8;186,64
20180202;9;202,96
20180202;10;225,18
20180202;11;227,28
20180202;12;236,82
20180202;13;239,00
20180202;14;256,84
20180202;15;223,51
20180202;16;212,68
20180202;17;266,48
20180202;18;294,55
20180202;19;273,15
20180202;20;227,62
20180202;21;196,59
20180202;22;174,67
20180202;23;161,88
20180202;24;152,01
20180203;1;140,70
20180203;2;138,93
20180203;3;136,38
20180203;4;136,24
20180203;5;136,60
20180203;6;138,24
20180203;7;140,03
20180203;8;148,85
20180203;9;164,26
20180203;10;198,98
20180203;11;220,23
20180203;12;238,62
20180203;13;220,28
20180203;14;219,58
20180203;15;187,27
20180203;16;181,51
20180203;17;194,29
20180203;18;219,24
20180203;19;212,25
20180203;20;190,53
20180203;21;175,62
20180203;22;154,38
20180203;23;142,84
20180203;24;137,00
20180204;1;138,74
20180204;2;132,34
20180204;3;126,32
20180204;4;126,47
20180204;5;126,57
20180204;6;128,19
20180204;7;128,15
20180204;8;126,49
20180204;9;136,94
20180204;10;148,18
20180204;11;156,62
20180204;12;154,81
20180204;13;156,58
20180204;14;154,55
20180204;15;148,52
20180204;16;148,70
20180204;17;151,37
20180204;18;168,51
20180204;19;179,98
20180204;20;165,80
20180204;21;156,42
20180204;22;145,65
20180204;23;142,54
20180204;24;138,98
20180205;1;133,35
20180205;2;130,18
20180205;3;127,55
20180205;4;127,86
20180205;5;131,06
20180205;6;140,97
20180205;7;171,30
20180205;8;195,24
20180205;9;216,99
20180205;10;245,47
20180205;11;238,18
20180205;12;228,75
20180205;13;219,06
20180205;14;221,50
20180205;15;217,35
