Data;Godzina;RCE
20210101;1;171,41
20210101;2;166,81
20210101;3;158,49
20210101;4;148,11
20210101;5;139,53
20210101;6;135,16
20210101;7;141,02
20210101;8;146,97
20210101;9;150,13
20210101;10;158,25
20210101;11;172,07
20210101;12;189,21
20210101;13;198,88
20210101;14;207,47
20210101;15;206,44
20210101;16;213,55
20210101;17;229,13
20210101;18;241,39
20210101;19;241,27
20210101;20;239,20
20210101;21;234,94
20210101;22;220,29
20210101;23;205,30
20210101;24;172,29
20210102;1;197,10
20210102;2;181,34
20210102;3;175,49
20210102;4;170,19
20210102;5;171,40
20210102;6;174,87
20210102;7;189,61
20210102;8;212,44
20210102;9;220,47
20210102;10;249,64
20210102;11;254,86
20210102;12;257,97
20210102;13;266,79
20210102;14;265,10
20210102;15;258,82
20210102;16;266,60
20210102;17;292,42
20210102;18;297,64
20210102;19;296,89
20210102;20;287,17
20210102;21;271,59
20210102;22;248,93
20210102;23;236,20
20210102;24;214,04
20210103;1;182,14
20210103;2;179,63
20210103;3;173,15
20210103;4;167,49
20210103;5;162,27
20210103;6;164,90
20210103;7;168,83
20210103;8;171,49
20210103;9;176,09
20210103;10;177,43
20210103;11;181,85
20210103;12;183,40
20210103;13;186,85
20210103;14;187,39
20210103;15;179,79
20210103;16;183,91
20210103;17;206,41
20210103;18;217,38
20210103;19;215,86
20210103;20;213,21
20210103;21;195,90
20210103;22;178,51
20210103;23;180,43
20210103;24;167,08
20210104;1;179,30
20210104;2;164,84
20210104;3;161,30
20210104;4;160,98
20210104;5;169,53
20210104;6;180,17
20210104;7;215,44
20210104;8;244,78
20210104;9;263,69
20210104;10;273,74
20210104;11;275,76
20210104;12;278,76
20210104;13;278,45
20210104;14;276,35
20210104;15;279,52
20210104;16;272,84
20210104;17;287,46
20210104;18;293,21
20210104;19;283,36
20210104;20;273,78
20210104;21;269,20
20210104;22;241,07
20210104;23;233,89
20210104;24;208,08
20210105;1;216,10
20210105;2;203,11
20210105;3;188,87
20210105;4;190,23
20210105;5;187,11
20210105;6;196,28
20210105;7;226,75
20210105;8;264,98
20210105;9;275,85
20210105;10;279,43
20210105;11;280,46
20210105;12;282,74
20210105;13;281,33
20210105;14;281,18
20210105;15;276,56
20210105;16;277,50
20210105;17;288,48
20210105;18;295,76
20210105;19;281,29
20210105;20;269,49
20210105;21;247,93
20210105;22;221,42
20210105;23;226,48
20210105;24;215,69
20210106;1;189,99
20210106;2;180,10
20210106;3;181,87
20210106;4;181,14
20210106;5;181,98
20210106;6;184,49
20210106;7;195,24
20210106;8;212,65
20210106;9;227,02
20210106;10;238,55
20210106;11;245,42
20210106;12;244,55
20210106;13;254,99
20210106;14;252,68
20210106;15;249,86
20210106;16;255,48
20210106;17;267,33
20210106;18;275,85
20210106;19;269,09
20210106;20;266,25
20210106;21;259,92
20210106;22;235,47
20210106;23;221,60
20210106;24;212,28
20210107;1;213,57
20210107;2;200,51
20210107;3;199,00
20210107;4;196,23
20210107;5;205,24
20210107;6;220,42
20210107;7;273,02
20210107;8;294,71
20210107;9;320,00
20210107;10;328,14
20210107;11;329,67
20210107;12;336,98
20210107;13;333,19
20210107;14;335,91
20210107;15;332,17
20210107;16;339,90
20210107;17;361,48
20210107;18;371,12
20210107;19;350,34
20210107;20;329,76
20210107;21;300,93
20210107;22;272,40
20210107;23;266,30
20210107;24;237,98
20210108;1;221,28
20210108;2;219,35
20210108;3;213,93
20210108;4;208,36
20210108;5;215,32
20210108;6;227,21
20210108;7;270,30
20210108;8;289,73
20210108;9;304,85
20210108;10;308,48
20210108;11;307,36
20210108;12;308,84
20210108;13;315,97
20210108;14;316,91
20210108;15;311,43
20210108;16;313,74
20210108;17;330,14
20210108;18;326,26
20210108;19;309,84
20210108;20;301,58
20210108;21;283,28
20210108;22;269,26
20210108;23;264,31
20210108;24;239,73
20210109;1;231,14
20210109;2;233,14
20210109;3;224,82
20210109;4;221,79
20210109;5;222,64
20210109;6;229,98
20210109;7;228,77
20210109;8;251,60
20210109;9;271,78
20210109;10;290,01
20210109;11;290,96
20210109;12;293,33
20210109;13;294,23
20210109;14;290,40
20210109;15;284,06
20210109;16;287,84
20210109;17;301,91
20210109;18;317,22
20210109;19;313,54
20210109;20;302,60
20210109;21;279,22
20210109;22;266,01
20210109;23;254,30
20210109;24;227,06
20210110;1;212,24
20210110;2;210,16
20210110;3;201,46
20210110;4;198,92
20210110;5;199,05
20210110;6;201,91
20210110;7;191,93
20210110;8;188,94
20210110;9;202,01
20210110;10;215,88
20210110;11;230,85
20210110;12;239,94
20210110;13;240,31
20210110;14;247,39
20210110;15;237,56
20210110;16;241,64
20210110;17;265,58
20210110;18;272,47
20210110;19;270,59
20210110;20;266,34
20210110;21;243,82
20210110;22;220,73
20210110;23;219,76
20210110;24;201,34
20210111;1;201,03
20210111;2;189,87
20210111;3;189,10
20210111;4;189,23
20210111;5;183,10
20210111;6;204,28
20210111;7;256,94
20210111;8;270,48
20210111;9;276,88
20210111;10;285,62
20210111;11;281,48
20210111;12;290,61
20210111;13;290,83
20210111;14;287,86
20210111;15;279,30
20210111;16;278,91
20210111;17;283,03
20210111;18;278,88
20210111;19;272,60
20210111;20;270,47
20210111;21;234,88
20210111;22;202,61
20210111;23;229,96
20210111;24;204,56
20210112;1;178,92
20210112;2;163,74
20210112;3;170,02
20210112;4;163,01
20210112;5;166,58
20210112;6;177,88
20210112;7;223,18
20210112;8;234,56
20210112;9;264,11
20210112;10;267,43
20210112;11;271,33
20210112;12;274,16
20210112;13;274,72
20210112;14;277,27
20210112;15;276,93
20210112;16;277,53
20210112;17;288,83
20210112;18;289,82
20210112;19;275,39
20210112;20;274,26
20210112;21;267,40
20210112;22;220,73
20210112;23;229,12
20210112;24;213,28
20210113;1;201,50
20210113;2;188,61
20210113;3;186,51
20210113;4;188,39
20210113;5;188,40
20210113;6;206,93
20210113;7;247,40
20210113;8;267,35
20210113;9;278,84
20210113;10;281,04
20210113;11;279,57
20210113;12;281,57
20210113;13;278,27
20210113;14;281,64
20210113;15;279,57
20210113;16;283,15
20210113;17;299,14
20210113;18;297,79
20210113;19;283,79
20210113;20;279,17
20210113;21;275,71
20210113;22;239,40
20210113;23;252,52
20210113;24;225,98
20210114;1;222,69
20210114;2;215,31
20210114;3;219,12
20210114;4;217,64
20210114;5;212,33
20210114;6;234,17
20210114;7;279,28
20210114;8;295,06
20210114;9;315,38
20210114;10;323,66
20210114;11;316,23
20210114;12;321,34
20210114;13;318,97
20210114;14;316,49
20210114;15;310,72
20210114;16;312,38
20210114;17;329,18
20210114;18;328,91
20210114;19;321,51
20210114;20;315,17
20210114;21;298,44
20210114;22;277,95
20210114;23;278,41
20210114;24;256,68
20210115;1;245,64
20210115;2;236,11
20210115;3;231,13
20210115;4;224,24
20210115;5;232,64
20210115;6;245,03
20210115;7;291,27
20210115;8;298,78
20210115;9;326,13
20210115;10;341,26
20210115;11;341,54
20210115;12;347,31
20210115;13;341,85
20210115;14;335,01
20210115;15;326,72
20210115;16;328,00
20210115;17;346,90
20210115;18;346,64
20210115;19;330,11
20210115;20;323,43
20210115;21;299,68
20210115;22;291,44
20210115;23;285,82
20210115;24;266,55
20210116;1;243,54
20210116;2;234,45
20210116;3;228,41
20210116;4;220,41
20210116;5;219,11
20210116;6;221,45
20210116;7;228,59
20210116;8;245,50
20210116;9;266,91
20210116;10;288,72
20210116;11;288,56
20210116;12;288,58
20210116;13;279,81
20210116;14;278,03
20210116;15;270,35
20210116;16;273,22
20210116;17;286,04
20210116;18;296,71
20210116;19;296,68
20210116;20;282,60
20210116;21;264,98
20210116;22;239,42
20210116;23;233,11
20210116;24;219,18
20210117;1;216,46
20210117;2;214,07
20210117;3;210,52
20210117;4;206,56
20210117;5;204,66
20210117;6;200,87
20210117;7;213,44
20210117;8;215,12
20210117;9;222,02
20210117;10;243,80
20210117;11;261,15
20210117;12;270,22
20210117;13;272,60
20210117;14;274,29
20210117;15;274,27
20210117;16;274,26
20210117;17;291,39
20210117;18;308,20
20210117;19;313,02
20210117;20;297,34
20210117;21;277,25
20210117;22;256,42
20210117;23;250,09
20210117;24;227,51
20210118;1;218,18
20210118;2;215,97
20210118;3;213,96
20210118;4;209,70
20210118;5;211,06
20210118;6;227,14
20210118;7;279,72
20210118;8;296,79
20210118;9;335,40
20210118;10;338,94
20210118;11;328,25
20210118;12;321,50
20210118;13;315,11
20210118;14;318,64
20210118;15;312,09
20210118;16;315,10
20210118;17;330,77
20210118;18;340,84
20210118;19;324,81
20210118;20;303,19
20210118;21;275,32
20210118;22;257,48
20210118;23;259,25
20210118;24;227,32
20210119;1;220,02
20210119;2;215,72
20210119;3;212,00
20210119;4;206,65
20210119;5;216,06
20210119;6;217,75
20210119;7;268,79
20210119;8;277,43
20210119;9;301,50
20210119;10;301,08
20210119;11;297,84
20210119;12;306,26
20210119;13;302,94
20210119;14;303,08
20210119;15;286,42
20210119;16;287,15
20210119;17;303,03
20210119;18;308,09
20210119;19;296,54
20210119;20;279,61
20210119;21;256,51
20210119;22;235,62
20210119;23;229,44
20210119;24;216,36
20210120;1;224,26
20210120;2;216,58
20210120;3;209,83
20210120;4;210,69
20210120;5;216,54
20210120;6;222,60
20210120;7;267,72
20210120;8;273,44
20210120;9;283,82
20210120;10;287,34
20210120;11;283,83
20210120;12;287,64
20210120;13;287,31
20210120;14;286,17
20210120;15;275,19
20210120;16;274,81
20210120;17;288,74
20210120;18;287,32
20210120;19;283,89
20210120;20;271,85
20210120;21;259,51
20210120;22;227,02
20210120;23;242,57
20210120;24;222,28
20210121;1;209,25
20210121;2;196,29
20210121;3;190,66
20210121;4;188,53
20210121;5;194,16
20210121;6;210,37
20210121;7;266,16
20210121;8;275,79
20210121;9;277,39
20210121;10;279,59
20210121;11;278,50
20210121;12;279,66
20210121;13;280,05
20210121;14;279,64
20210121;15;278,69
20210121;16;278,64
20210121;17;288,20
20210121;18;288,71
20210121;19;286,84
20210121;20;279,45
20210121;21;262,10
20210121;22;235,11
20210121;23;245,29
20210121;24;225,75
20210122;1;193,76
20210122;2;180,17
20210122;3;177,79
20210122;4;175,15
20210122;5;178,03
20210122;6;192,36
20210122;7;248,80
20210122;8;261,00
20210122;9;265,37
20210122;10;270,50
20210122;11;267,54
20210122;12;270,09
20210122;13;272,74
20210122;14;272,41
20210122;15;272,63
20210122;16;276,74
20210122;17;290,24
20210122;18;297,68
20210122;19;292,27
20210122;20;282,84
20210122;21;275,31
20210122;22;243,90
20210122;23;255,47
20210122;24;219,21
20210123;1;221,56
20210123;2;221,19
20210123;3;220,87
20210123;4;222,91
20210123;5;223,15
20210123;6;222,32
20210123;7;224,38
20210123;8;221,55
20210123;9;242,26
20210123;10;260,26
20210123;11;265,75
20210123;12;265,69
20210123;13;261,76
20210123;14;252,39
20210123;15;240,22
20210123;16;240,88
20210123;17;264,03
20210123;18;286,90
20210123;19;289,68
20210123;20;279,13
20210123;21;259,51
20210123;22;238,04
20210123;23;245,49
20210123;24;227,29
20210124;1;214,93
20210124;2;198,24
20210124;3;193,37
20210124;4;192,49
20210124;5;196,63
20210124;6;185,66
20210124;7;184,77
20210124;8;189,06
20210124;9;212,01
20210124;10;231,69
20210124;11;248,73
20210124;12;265,24
20210124;13;267,22
20210124;14;268,87
20210124;15;267,05
20210124;16;253,67
20210124;17;272,58
20210124;18;288,12
20210124;19;296,57
20210124;20;289,10
20210124;21;273,72
20210124;22;259,28
20210124;23;250,44
20210124;24;218,76
20210125;1;232,21
20210125;2;225,47
20210125;3;222,73
20210125;4;225,22
20210125;5;231,66
20210125;6;252,29
20210125;7;296,23
20210125;8;313,39
20210125;9;344,41
20210125;10;356,99
20210125;11;347,64
20210125;12;336,66
20210125;13;325,68
20210125;14;323,10
20210125;15;311,65
20210125;16;311,17
20210125;17;321,96
20210125;18;339,39
20210125;19;326,62
20210125;20;300,87
20210125;21;288,84
20210125;22;263,98
20210125;23;264,00
20210125;24;234,66
20210126;1;224,96
20210126;2;220,84
20210126;3;206,62
20210126;4;203,19
20210126;5;210,26
20210126;6;225,33
20210126;7;274,40
20210126;8;287,58
20210126;9;305,84
20210126;10;308,20
20210126;11;302,29
20210126;12;299,19
20210126;13;294,16
20210126;14;291,89
20210126;15;289,96
20210126;16;289,89
20210126;17;294,71
20210126;18;307,72
20210126;19;297,19
20210126;20;282,97
20210126;21;272,61
20210126;22;244,85
20210126;23;234,63
20210126;24;219,99
20210127;1;216,01
20210127;2;204,24
20210127;3;200,81
20210127;4;200,90
20210127;5;210,22
20210127;6;217,19
20210127;7;269,11
20210127;8;279,80
20210127;9;299,15
20210127;10;311,28
20210127;11;303,35
20210127;12;309,33
20210127;13;303,95
20210127;14;300,27
20210127;15;298,21
20210127;16;299,11
20210127;17;307,74
20210127;18;324,76
20210127;19;317,46
20210127;20;289,65
20210127;21;275,84
20210127;22;255,03
20210127;23;249,43
20210127;24;223,47
20210128;1;214,90
20210128;2;205,87
20210128;3;201,83
20210128;4;198,60
