Data;Godzina;CRO;CROs;CROz
20210701;1;339,05;339,05;339,05
20210701;2;337,41;337,41;337,41
20210701;3;333,95;333,95;333,95
20210701;4;303,30;303,30;303,30
20210701;5;297,32;297,32;297,32
20210701;6;303,30;303,30;303,30
20210701;7;352,58;352,58;352,58
20210701;8;353,56;353,56;353,56
20210701;9;373,37;373,37;373,37
20210701;10;353,44;353,44;353,44
20210701;11;352,78;352,78;352,78
20210701;12;353,33;353,33;353,33
20210701;13;352,46;352,46;352,46
20210701;14;355,03;355,03;355,03
20210701;15;355,03;355,03;355,03
20210701;16;355,15;355,15;355,15
20210701;17;357,12;357,12;357,12
20210701;18;352,78;352,78;352,78
20210701;19;352,69;352,69;352,69
20210701;20;351,96;351,96;351,96
20210701;21;353,45;353,45;353,45
20210701;22;352,69;352,69;352,69
20210701;23;353,44;353,44;353,44
20210701;24;359,72;359,72;359,72
20210702;1;380,00;380,00;380,00
20210702;2;380,00;380,00;380,00
20210702;3;353,65;353,65;353,65
20210702;4;352,38;352,38;352,38
20210702;5;353,53;353,53;353,53
20210702;6;388,47;388,47;388,47
20210702;7;412,11;412,11;412,11
20210702;8;423,03;423,03;423,03
20210702;9;423,36;423,36;423,36
20210702;10;423,37;423,37;423,37
20210702;11;447,89;447,89;447,89
20210702;12;456,60;456,60;456,60
20210702;13;443,90;443,90;443,90
20210702;14;381,39;381,39;381,39
20210702;15;423,36;423,36;423,36
20210702;16;360,71;360,71;360,71
20210702;17;360,95;360,95;360,95
20210702;18;360,95;360,95;360,95
20210702;19;382,00;382,00;382,00
20210702;20;405,50;405,50;405,50
20210702;21;423,02;423,02;423,02
20210702;22;423,36;423,36;423,36
20210702;23;423,02;423,02;423,02
20210702;24;423,19;423,19;423,19
20210703;1;368,36;368,36;368,36
20210703;2;368,36;368,36;368,36
20210703;3;361,60;361,60;361,60
20210703;4;341,15;341,15;341,15
20210703;5;335,49;335,49;335,49
20210703;6;335,90;335,90;335,90
20210703;7;338,66;338,66;338,66
20210703;8;332,51;332,51;332,51
20210703;9;323,29;323,29;323,29
20210703;10;359,34;359,34;359,34
20210703;11;374,09;374,09;374,09
20210703;12;359,34;359,34;359,34
20210703;13;359,34;359,34;359,34
20210703;14;363,47;363,47;363,47
20210703;15;340,00;340,00;340,00
20210703;16;319,93;319,93;319,93
20210703;17;359,34;359,34;359,34
20210703;18;359,34;359,34;359,34
20210703;19;359,34;359,34;359,34
20210703;20;359,34;359,34;359,34
20210703;21;359,34;359,34;359,34
20210703;22;363,47;363,47;363,47
20210703;23;391,07;391,07;391,07
20210703;24;359,34;359,34;359,34
20210704;1;359,34;359,34;359,34
20210704;2;344,00;344,00;344,00
20210704;3;343,18;343,18;343,18
20210704;4;339,98;339,98;339,98
20210704;5;340,00;340,00;340,00
20210704;6;339,96;339,96;339,96
20210704;7;336,62;336,62;336,62
20210704;8;312,75;312,75;312,75
20210704;9;340,00;340,00;340,00
20210704;10;341,00;341,00;341,00
20210704;11;349,19;349,19;349,19
20210704;12;347,02;347,02;347,02
20210704;13;343,37;343,37;343,37
20210704;14;328,38;328,38;328,38
20210704;15;320,94;320,94;320,94
20210704;16;340,00;340,00;340,00
20210704;17;356,77;356,77;356,77
20210704;18;368,80;368,80;368,80
20210704;19;340,00;340,00;340,00
20210704;20;359,34;359,34;359,34
20210704;21;372,48;372,48;372,48
20210704;22;359,34;359,34;359,34
20210704;23;364,70;364,70;364,70
20210704;24;349,50;349,50;349,50
20210705;1;331,17;331,17;331,17
20210705;2;339,96;339,96;339,96
20210705;3;327,49;327,49;327,49
20210705;4;324,03;324,03;324,03
20210705;5;331,81;331,81;331,81
20210705;6;340,39;340,39;340,39
20210705;7;375,20;375,20;375,20
20210705;8;391,67;391,67;391,67
20210705;9;361,57;361,57;361,57
20210705;10;369,07;369,07;369,07
20210705;11;423,36;423,36;423,36
20210705;12;423,38;423,38;423,38
20210705;13;391,67;391,67;391,67
20210705;14;423,03;423,03;423,03
20210705;15;383,00;383,00;383,00
20210705;16;361,56;361,56;361,56
20210705;17;361,57;361,57;361,57
20210705;18;423,39;423,39;423,39
20210705;19;423,36;423,36;423,36
20210705;20;423,38;423,38;423,38
20210705;21;423,38;423,38;423,38
20210705;22;411,86;411,86;411,86
20210705;23;385,28;385,28;385,28
20210705;24;361,56;361,56;361,56
20210706;1;364,04;364,04;364,04
20210706;2;347,75;347,75;347,75
20210706;3;344,61;344,61;344,61
20210706;4;343,52;343,52;343,52
20210706;5;338,23;338,23;338,23
20210706;6;347,45;347,45;347,45
20210706;7;364,04;364,04;364,04
20210706;8;425,14;425,14;425,14
20210706;9;399,31;399,31;399,31
20210706;10;364,04;364,04;364,04
20210706;11;364,04;364,04;364,04
20210706;12;364,04;364,04;364,04
20210706;13;426,34;426,34;426,34
20210706;14;364,04;364,04;364,04
20210706;15;361,42;361,42;361,42
20210706;16;364,04;364,04;364,04
20210706;17;389,00;389,00;389,00
20210706;18;426,58;426,58;426,58
20210706;19;429,39;429,39;429,39
20210706;20;454,98;454,98;454,98
20210706;21;475,84;475,84;475,84
20210706;22;472,07;472,07;472,07
20210706;23;391,82;391,82;391,82
20210706;24;364,04;364,04;364,04
20210707;1;345,89;345,89;345,89
20210707;2;341,22;341,22;341,22
20210707;3;341,83;341,83;341,83
20210707;4;326,93;326,93;326,93
20210707;5;321,84;321,84;321,84
20210707;6;347,43;347,43;347,43
20210707;7;354,48;354,48;354,48
20210707;8;387,53;387,53;387,53
20210707;9;443,06;443,06;443,06
20210707;10;500,89;500,89;500,89
20210707;11;457,15;457,15;457,15
20210707;12;500,89;500,89;500,89
20210707;13;462,47;462,47;462,47
20210707;14;450,55;450,55;450,55
20210707;15;384,41;384,41;384,41
20210707;16;379,30;379,30;379,30
20210707;17;372,78;372,78;372,78
20210707;18;386,34;386,34;386,34
20210707;19;385,26;385,26;385,26
20210707;20;438,51;438,51;438,51
20210707;21;454,10;454,10;454,10
20210707;22;462,91;462,91;462,91
20210707;23;421,34;421,34;421,34
20210707;24;369,82;369,82;369,82
20210708;1;340,00;340,00;340,00
20210708;2;351,04;351,04;351,04
20210708;3;353,03;353,03;353,03
20210708;4;359,74;359,74;359,74
20210708;5;351,52;351,52;351,52
20210708;6;369,46;369,46;369,46
20210708;7;392,16;392,16;392,16
20210708;8;388,00;388,00;388,00
20210708;9;422,28;422,28;422,28
20210708;10;380,00;380,00;380,00
20210708;11;374,23;374,23;374,23
20210708;12;377,27;377,27;377,27
20210708;13;385,00;385,00;385,00
20210708;14;394,24;394,24;394,24
20210708;15;381,40;381,40;381,40
20210708;16;380,00;380,00;380,00
