Data;Godzina;COR;CRO;CROs;CROz
20201101;1;-;229,00;229,00;229,00
20201101;2;-;211,28;211,28;211,28
20201101;3;-;228,70;228,70;228,70
20201101;4;-;211,28;211,28;211,28
20201101;5;-;211,28;211,28;211,28
20201101;6;-;211,28;211,28;211,28
20201101;7;-;211,28;211,28;211,28
20201101;8;-;174,83;174,83;174,83
20201101;9;-;228,70;228,70;228,70
20201101;10;-;229,40;229,40;229,40
20201101;11;-;235,55;235,55;235,55
20201101;12;-;235,60;235,60;235,60
20201101;13;-;235,60;235,60;235,60
20201101;14;-;235,60;235,60;235,60
20201101;15;-;235,63;235,63;235,63
20201101;16;-;235,63;235,63;235,63
20201101;17;-;235,60;235,60;235,60
20201101;18;-;235,60;235,60;235,60
20201101;19;-;235,62;235,62;235,62
20201101;20;-;235,60;235,60;235,60
20201101;21;-;235,56;235,56;235,56
20201101;22;-;235,60;235,60;235,60
20201101;23;-;235,57;235,57;235,57
20201101;24;-;235,54;235,54;235,54
20201102;1;-;228,60;228,60;228,60
20201102;2;-;229,10;229,10;229,10
20201102;3;-;228,70;228,70;228,70
20201102;4;-;228,60;228,60;228,60
20201102;5;-;229,20;229,20;229,20
20201102;6;-;174,76;174,76;174,76
20201102;7;-;235,23;235,23;235,23
20201102;8;25,92;258,71;258,71;258,71
20201102;9;27,42;263,78;263,78;263,78
20201102;10;26,77;264,64;264,64;264,64
20201102;11;26,27;263,29;263,29;263,29
20201102;12;27,57;323,59;323,59;323,59
20201102;13;30,32;324,76;324,76;324,76
20201102;14;30,65;324,76;324,76;324,76
20201102;15;35,73;324,79;324,79;324,79
20201102;16;37,10;324,76;324,76;324,76
20201102;17;39,04;324,76;324,76;324,76
20201102;18;40,47;323,62;323,62;323,62
20201102;19;35,08;313,91;313,91;313,91
20201102;20;31,97;262,12;262,12;262,12
20201102;21;28,09;258,83;258,83;258,83
20201102;22;20,83;253,67;253,67;253,67
20201102;23;-;235,28;235,28;235,28
20201102;24;-;232,70;232,70;232,70
20201103;1;-;233,34;233,34;233,34
20201103;2;-;231,08;231,08;231,08
20201103;3;-;233,27;233,27;233,27
20201103;4;-;231,06;231,06;231,06
20201103;5;-;233,29;233,29;233,29
20201103;6;-;233,35;233,35;233,35
20201103;7;-;235,94;235,94;235,94
20201103;8;26,43;291,89;291,89;291,89
20201103;9;28,17;316,91;316,91;316,91
20201103;10;29,66;322,48;322,48;322,48
20201103;11;28,26;316,45;316,45;316,45
20201103;12;29,21;317,79;317,79;317,79
20201103;13;30,51;301,89;301,89;301,89
20201103;14;31,26;322,51;322,51;322,51
20201103;15;32,51;321,91;321,91;321,91
20201103;16;34,03;316,79;316,79;316,79
20201103;17;40,62;318,52;318,52;318,52
20201103;18;44,24;316,89;316,89;316,89
20201103;19;44,09;317,71;317,71;317,71
20201103;20;39,81;326,38;326,38;326,38
20201103;21;34,29;322,48;322,48;322,48
20201103;22;26,61;318,38;318,38;318,38
20201103;23;-;253,85;253,85;253,85
20201103;24;-;238,96;238,96;238,96
20201104;1;-;235,71;235,71;235,71
20201104;2;-;233,18;233,18;233,18
20201104;3;-;233,18;233,18;233,18
20201104;4;-;233,22;233,22;233,22
20201104;5;-;233,17;233,17;233,17
20201104;6;-;233,15;233,15;233,15
20201104;7;-;237,13;237,13;237,13
20201104;8;31,18;174,65;174,65;174,65
20201104;9;33,51;210,00;210,00;210,00
20201104;10;35,52;232,13;232,13;232,13
20201104;11;34,78;237,14;237,14;237,14
20201104;12;33,07;240,83;240,83;240,83
20201104;13;33,12;237,15;237,15;237,15
20201104;14;32,54;240,83;240,83;240,83
20201104;15;31,98;237,15;237,15;237,15
20201104;16;32,95;240,83;240,83;240,83
20201104;17;36,41;237,15;237,15;237,15
20201104;18;36,18;237,15;237,15;237,15
20201104;19;33,01;197,84;197,84;197,84
20201104;20;31,81;180,00;180,00;180,00
20201104;21;30,61;174,65;174,65;174,65
20201104;22;28,41;174,65;174,65;174,65
20201104;23;-;180,00;180,00;180,00
20201104;24;-;228,16;228,16;228,16
20201105;1;-;174,55;174,55;174,55
20201105;2;-;188,21;188,21;188,21
20201105;3;-;174,55;174,55;174,55
20201105;4;-;197,84;197,84;197,84
20201105;5;-;174,55;174,55;174,55
20201105;6;-;174,54;174,54;174,54
20201105;7;-;197,84;197,84;197,84
20201105;8;32,65;197,84;197,84;197,84
20201105;9;34,57;231,75;231,75;231,75
20201105;10;35,69;260,90;260,90;260,90
20201105;11;35,13;231,75;231,75;231,75
20201105;12;35,88;231,87;231,87;231,87
20201105;13;34,41;231,87;231,87;231,87
20201105;14;34,53;231,87;231,87;231,87
20201105;15;33,03;231,75;231,75;231,75
20201105;16;36,29;231,99;231,99;231,99
20201105;17;34,26;231,99;231,99;231,99
20201105;18;31,51;231,75;231,75;231,75
20201105;19;31,57;174,55;174,55;174,55
20201105;20;30,28;174,55;174,55;174,55
20201105;21;27,33;174,54;174,54;174,54
20201105;22;23,18;174,54;174,54;174,54
20201105;23;-;224,72;224,72;224,72
20201105;24;-;224,72;224,72;224,72
20201106;1;-;175,58;175,58;175,58
20201106;2;-;189,24;189,24;189,24
20201106;3;-;175,58;175,58;175,58
20201106;4;-;175,58;175,58;175,58
20201106;5;-;175,57;175,57;175,57
20201106;6;-;231,64;231,64;231,64
20201106;7;-;236,46;236,46;236,46
20201106;8;29,29;237,14;237,14;237,14
20201106;9;34,05;237,14;237,14;237,14
20201106;10;32,27;237,14;237,14;237,14
20201106;11;33,31;237,14;237,14;237,14
20201106;12;34,38;331,05;331,05;331,05
20201106;13;36,55;331,08;331,08;331,08
20201106;14;39,07;320,96;320,96;320,96
20201106;15;38,60;331,05;331,05;331,05
20201106;16;39,49;331,05;331,05;331,05
20201106;17;44,24;332,28;332,28;332,28
20201106;18;44,24;332,28;332,28;332,28
20201106;19;44,24;321,40;321,40;321,40
20201106;20;43,77;276,51;276,51;276,51
20201106;21;37,27;268,58;268,58;268,58
20201106;22;29,43;254,82;254,82;254,82
20201106;23;-;237,14;237,14;237,14
20201106;24;-;236,51;236,51;236,51
20201107;1;-;238,04;238,04;238,04
20201107;2;-;238,01;238,01;238,01
20201107;3;-;238,00;238,00;238,00
20201107;4;-;235,48;235,48;235,48
20201107;5;-;235,47;235,47;235,47
20201107;6;-;236,12;236,12;236,12
20201107;7;-;238,06;238,06;238,06
20201107;8;-;237,99;237,99;237,99
20201107;9;-;239,40;239,40;239,40
20201107;10;-;259,07;259,07;259,07
20201107;11;-;258,03;258,03;258,03
20201107;12;-;264,06;264,06;264,06
20201107;13;-;270,89;270,89;270,89
20201107;14;-;268,16;268,16;268,16
20201107;15;-;241,26;241,26;241,26
20201107;16;-;241,92;241,92;241,92
20201107;17;-;270,89;270,89;270,89
20201107;18;-;279,01;279,01;279,01
20201107;19;-;262,94;262,94;262,94
20201107;20;-;256,08;256,08;256,08
20201107;21;-;241,50;241,50;241,50
20201107;22;-;238,08;238,08;238,08
20201107;23;-;237,99;237,99;237,99
20201107;24;-;235,45;235,45;235,45
20201108;1;-;238,03;238,03;238,03
20201108;2;-;238,03;238,03;238,03
20201108;3;-;238,06;238,06;238,06
20201108;4;-;238,03;238,03;238,03
20201108;5;-;238,04;238,04;238,04
20201108;6;-;238,05;238,05;238,05
20201108;7;-;240,60;240,60;240,60
20201108;8;-;238,00;238,00;238,00
20201108;9;-;234,00;234,00;234,00
20201108;10;-;233,95;233,95;233,95
20201108;11;-;233,90;233,90;233,90
20201108;12;-;240,66;240,66;240,66
20201108;13;-;240,64;240,64;240,64
20201108;14;-;233,96;233,96;233,96
20201108;15;-;240,80;240,80;240,80
20201108;16;-;240,90;240,90;240,90
20201108;17;-;263,82;263,82;263,82
20201108;18;-;281,90;281,90;281,90
20201108;19;-;281,90;281,90;281,90
20201108;20;-;260,50;260,50;260,50
20201108;21;-;263,82;263,82;263,82
20201108;22;-;241,50;241,50;241,50
20201108;23;-;240,80;240,80;240,80
20201108;24;-;240,69;240,69;240,69
20201109;1;-;263,89;263,89;263,89
20201109;2;-;257,00;257,00;257,00
20201109;3;-;256,00;256,00;256,00
20201109;4;-;263,89;263,89;263,89
20201109;5;-;267,89;267,89;267,89
20201109;6;-;241,74;241,74;241,74
20201109;7;-;252,91;252,91;252,91
20201109;8;31,04;329,99;329,99;329,99
20201109;9;33,22;330,02;330,02;330,02
20201109;10;34,39;331,18;331,18;331,18
20201109;11;33,00;331,18;331,18;331,18
20201109;12;33,40;331,18;331,18;331,18
20201109;13;35,52;329,99;329,99;329,99
20201109;14;33,33;318,00;318,00;318,00
20201109;15;32,54;330,02;330,02;330,02
20201109;16;36,33;329,99;329,99;329,99
20201109;17;44,24;267,99;267,99;267,99
20201109;18;44,24;266,86;266,86;266,86
20201109;19;44,24;237,75;237,75;237,75
20201109;20;43,04;177,08;177,08;177,08
20201109;21;29,80;252,91;252,91;252,91
20201109;22;23,97;267,56;267,56;267,56
20201109;23;-;159,00;159,00;159,00
20201109;24;-;235,73;235,73;235,73
20201110;1;-;235,55;235,55;235,55
20201110;2;-;235,49;235,49;235,49
20201110;3;-;235,46;235,46;235,46
20201110;4;-;235,46;235,46;235,46
20201110;5;-;235,46;235,46;235,46
20201110;6;-;177,30;177,30;177,30
20201110;7;-;275,91;275,91;275,91
20201110;8;31,55;325,79;325,79;325,79
20201110;9;39,52;333,68;333,68;333,68
20201110;10;37,91;333,65;333,65;333,65
20201110;11;34,81;332,45;332,45;332,45
20201110;12;36,02;333,65;333,65;333,65
20201110;13;36,24;332,48;332,48;332,48
20201110;14;40,84;385,00;385,00;385,00
20201110;15;39,23;340,00;340,00;340,00
20201110;16;38,73;384,00;384,00;384,00
20201110;17;44,24;501,89;501,89;501,89
20201110;18;44,24;389,00;389,00;389,00
20201110;19;38,29;315,89;315,89;315,89
20201110;20;30,70;180,00;180,00;180,00
20201110;21;27,65;311,89;311,89;311,89
20201110;22;22,68;177,30;177,30;177,30
20201110;23;-;241,57;241,57;241,57
20201110;24;-;235,50;235,50;235,50
20201111;1;-;241,70;241,70;241,70
20201111;2;-;241,71;241,71;241,71
