Data;Godzina;CRO;CROs;CROz
20210201;1;200,00;200,00;200,00
20210201;2;219,42;219,42;219,42
20210201;3;226,38;226,38;226,38
20210201;4;246,16;246,16;246,16
20210201;5;253,81;253,81;253,81
20210201;6;250,12;250,12;250,12
20210201;7;274,78;274,78;274,78
20210201;8;330,59;330,59;330,59
20210201;9;297,80;297,80;297,80
20210201;10;312,50;312,50;312,50
20210201;11;310,75;310,75;310,75
20210201;12;316,33;316,33;316,33
20210201;13;272,58;272,58;272,58
20210201;14;273,32;273,32;273,32
20210201;15;269,90;269,90;269,90
20210201;16;239,01;239,01;239,01
20210201;17;250,78;250,78;250,78
20210201;18;273,44;273,44;273,44
20210201;19;254,80;254,80;254,80
20210201;20;201,90;201,90;201,90
20210201;21;200,00;200,00;200,00
20210201;22;138,05;138,05;138,05
20210201;23;129,33;129,33;129,33
20210201;24;159,00;159,00;159,00
20210202;1;199,79;199,79;199,79
20210202;2;199,79;199,79;199,79
20210202;3;199,79;199,79;199,79
20210202;4;203,60;203,60;203,60
20210202;5;253,88;253,88;253,88
20210202;6;199,79;199,79;199,79
20210202;7;273,42;273,42;273,42
20210202;8;275,75;275,75;275,75
20210202;9;324,85;324,85;324,85
20210202;10;324,85;324,85;324,85
20210202;11;324,85;324,85;324,85
20210202;12;324,84;324,84;324,84
20210202;13;322,89;322,89;322,89
20210202;14;324,85;324,85;324,85
20210202;15;323,91;323,91;323,91
20210202;16;273,06;273,06;273,06
20210202;17;272,57;272,57;272,57
20210202;18;255,30;255,30;255,30
20210202;19;255,18;255,18;255,18
20210202;20;199,79;199,79;199,79
20210202;21;270,02;270,02;270,02
20210202;22;199,79;199,79;199,79
20210202;23;239,59;239,59;239,59
20210202;24;199,79;199,79;199,79
20210203;1;224,89;224,89;224,89
20210203;2;224,90;224,90;224,90
20210203;3;224,92;224,92;224,92
20210203;4;253,43;253,43;253,43
20210203;5;253,94;253,94;253,94
20210203;6;254,00;254,00;254,00
20210203;7;274,84;274,84;274,84
20210203;8;274,72;274,72;274,72
20210203;9;330,67;330,67;330,67
20210203;10;326,91;326,91;326,91
20210203;11;326,39;326,39;326,39
20210203;12;326,39;326,39;326,39
20210203;13;326,39;326,39;326,39
20210203;14;326,62;326,62;326,62
20210203;15;326,39;326,39;326,39
20210203;16;273,36;273,36;273,36
20210203;17;272,26;272,26;272,26
20210203;18;273,12;273,12;273,12
20210203;19;268,98;268,98;268,98
20210203;20;190,98;190,98;190,98
20210203;21;155,00;155,00;155,00
20210203;22;120,28;120,28;120,28
20210203;23;92,63;92,63;92,63
20210203;24;92,63;92,63;92,63
20210204;1;138,05;138,05;138,05
20210204;2;131,14;131,14;131,14
20210204;3;86,86;86,86;86,86
20210204;4;92,63;92,63;92,63
20210204;5;104,92;104,92;104,92
20210204;6;184,35;184,35;184,35
20210204;7;184,35;184,35;184,35
20210204;8;248,34;248,34;248,34
20210204;9;271,49;271,49;271,49
20210204;10;295,90;295,90;295,90
20210204;11;331,80;331,80;331,80
20210204;12;341,48;341,48;341,48
20210204;13;341,48;341,48;341,48
20210204;14;343,27;343,27;343,27
20210204;15;336,55;336,55;336,55
20210204;16;336,87;336,87;336,87
20210204;17;341,88;341,88;341,88
20210204;18;341,47;341,47;341,47
20210204;19;341,47;341,47;341,47
20210204;20;344,17;344,17;344,17
20210204;21;322,98;322,98;322,98
20210204;22;291,56;291,56;291,56
20210204;23;258,83;258,83;258,83
20210204;24;228,22;228,22;228,22
20210205;1;183,31;183,31;183,31
20210205;2;183,31;183,31;183,31
20210205;3;186,81;186,81;186,81
20210205;4;229,81;229,81;229,81
20210205;5;229,81;229,81;229,81
20210205;6;253,20;253,20;253,20
20210205;7;260,99;260,99;260,99
20210205;8;274,45;274,45;274,45
20210205;9;309,22;309,22;309,22
20210205;10;274,46;274,46;274,46
20210205;11;273,48;273,48;273,48
20210205;12;273,96;273,96;273,96
20210205;13;272,13;272,13;272,13
20210205;14;276,29;276,29;276,29
20210205;15;278,50;278,50;278,50
20210205;16;274,57;274,57;274,57
20210205;17;276,17;276,17;276,17
20210205;18;290,78;290,78;290,78
20210205;19;274,45;274,45;274,45
20210205;20;276,41;276,41;276,41
20210205;21;266,16;266,16;266,16
20210205;22;205,00;205,00;205,00
20210205;23;227,59;227,59;227,59
20210205;24;229,27;229,27;229,27
20210206;1;196,06;196,06;196,06
20210206;2;192,82;192,82;192,82
20210206;3;191,01;191,01;191,01
20210206;4;191,05;191,05;191,05
20210206;5;199,00;199,00;199,00
20210206;6;223,07;223,07;223,07
20210206;7;228,46;228,46;228,46
20210206;8;255,62;255,62;255,62
20210206;9;282,81;282,81;282,81
20210206;10;274,45;274,45;274,45
20210206;11;334,08;334,08;334,08
20210206;12;300,00;300,00;300,00
20210206;13;300,00;300,00;300,00
20210206;14;300,00;300,00;300,00
20210206;15;297,15;297,15;297,15
20210206;16;300,00;300,00;300,00
20210206;17;300,00;300,00;300,00
20210206;18;290,73;290,73;290,73
20210206;19;271,26;271,26;271,26
20210206;20;279,41;279,41;279,41
20210206;21;261,56;261,56;261,56
20210206;22;192,82;192,82;192,82
20210206;23;194,51;194,51;194,51
20210206;24;193,00;193,00;193,00
20210207;1;81,27;81,27;81,27
20210207;2;77,75;77,75;77,75
20210207;3;78,90;78,90;78,90
