Data;Godzina;COR;CRO;CROs;CROz
20200801;1;-;165,80;165,80;165,80
20200801;2;-;148,93;148,93;148,93
20200801;3;-;167,04;167,04;167,04
20200801;4;-;167,48;167,48;167,48
20200801;5;-;190,05;190,05;190,05
20200801;6;-;180,20;180,20;180,20
20200801;7;-;232,48;232,48;232,48
20200801;8;-;236,78;236,78;236,78
20200801;9;-;239,40;239,40;239,40
20200801;10;-;239,40;239,40;239,40
20200801;11;-;239,86;239,86;239,86
20200801;12;-;239,50;239,50;239,50
20200801;13;-;239,40;239,40;239,40
20200801;14;-;239,40;239,40;239,40
20200801;15;-;231,19;231,19;231,19
20200801;16;-;236,78;236,78;236,78
20200801;17;-;197,20;197,20;197,20
20200801;18;-;236,71;236,71;236,71
20200801;19;-;236,70;236,70;236,70
20200801;20;-;239,20;239,20;239,20
20200801;21;-;239,23;239,23;239,23
20200801;22;-;236,71;236,71;236,71
20200801;23;-;148,92;148,92;148,92
20200801;24;-;148,92;148,92;148,92
20200802;1;-;147,65;147,65;147,65
20200802;2;-;147,65;147,65;147,65
20200802;3;-;147,65;147,65;147,65
20200802;4;-;192,60;192,60;192,60
20200802;5;-;192,63;192,63;192,63
20200802;6;-;192,62;192,62;192,62
20200802;7;-;147,65;147,65;147,65
20200802;8;-;147,65;147,65;147,65
20200802;9;-;147,65;147,65;147,65
20200802;10;-;147,65;147,65;147,65
20200802;11;-;147,65;147,65;147,65
20200802;12;-;147,65;147,65;147,65
20200802;13;-;147,65;147,65;147,65
20200802;14;-;132,97;132,97;132,97
20200802;15;-;147,65;147,65;147,65
20200802;16;-;192,62;192,62;192,62
20200802;17;-;192,67;192,67;192,67
20200802;18;-;239,37;239,37;239,37
20200802;19;-;233,32;233,32;233,32
20200802;20;-;239,42;239,42;239,42
20200802;21;-;239,46;239,46;239,46
20200802;22;-;239,45;239,45;239,45
20200802;23;-;233,32;233,32;233,32
20200802;24;-;233,27;233,27;233,27
20200803;1;-;193,31;193,31;193,31
20200803;2;-;198,19;198,19;198,19
20200803;3;-;232,08;232,08;232,08
20200803;4;-;197,95;197,95;197,95
20200803;5;-;197,95;197,95;197,95
20200803;6;-;234,07;234,07;234,07
20200803;7;-;246,98;246,98;246,98
20200803;8;25,22;270,37;270,37;270,37
20200803;9;30,46;241,80;241,80;241,80
20200803;10;30,36;270,46;270,46;270,46
20200803;11;28,38;276,89;276,89;276,89
20200803;12;30,66;294,77;294,77;294,77
20200803;13;31,78;299,00;299,00;299,00
20200803;14;31,69;289,91;289,91;289,91
20200803;15;30,29;276,89;276,89;276,89
20200803;16;28,63;282,39;282,39;282,39
20200803;17;26,46;279,91;279,91;279,91
20200803;18;25,22;276,89;276,89;276,89
20200803;19;24,18;270,37;270,37;270,37
20200803;20;25,39;271,49;271,49;271,49
20200803;21;25,60;276,89;276,89;276,89
20200803;22;25,28;198,19;198,19;198,19
20200803;23;-;241,46;241,46;241,46
20200803;24;-;232,08;232,08;232,08
20200804;1;-;196,35;196,35;196,35
20200804;2;-;193,07;193,07;193,07
