Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20210901;1;16813;17162,675
20210901;2;16434;16547,150
20210901;3;16303;16221,025
20210901;4;16397;16360,650
20210901;5;16456;16604,988
20210901;6;16815;17068,725
20210901;7;19156;19121,313
20210901;8;21032;21187,750
20210901;9;22207;22040,963
20210901;10;22435;22075,925
20210901;11;22423;22016,900
20210901;12;22471;22318,063
20210901;13;22477;22443,188
20210901;14;22244;22201,175
20210901;15;21976;21935,025
20210901;16;21803;21879,813
20210901;17;21572;21781,850
20210901;18;21388;21616,488
20210901;19;21343;21729,175
20210901;20;22033;22370,788
20210901;21;22429;23019,913
20210901;22;20774;21485,963
20210901;23;19333;19666,863
20210901;24;17866;18315,488
20210902;1;17050;17079,963
20210902;2;16431;16557,113
20210902;3;15900;16266,600
20210902;4;15950;16185,288
20210902;5;16200;16445,113
20210902;6;17000;17011,925
20210902;7;20028;19124,713
20210902;8;21120;20794,425
20210902;9;21919;21443,288
20210902;10;22122;21329,938
20210902;11;22450;21091,825
20210902;12;22600;21379,288
20210902;13;22700;21618,800
20210902;14;22666;21689,050
20210902;15;22111;21564,500
20210902;16;22100;21779,025
20210902;17;21950;21766,300
20210902;18;21800;21796,163
20210902;19;21600;21768,575
20210902;20;22750;22241,175
20210902;21;22750;22887,025
20210902;22;21750;21427,575
20210902;23;19650;19652,413
20210902;24;18500;18243,900
20210903;1;17300;17100,363
20210903;2;16681;16435,463
20210903;3;16150;16148,138
20210903;4;16200;16162,338
20210903;5;16550;16479,475
20210903;6;17150;17047,238
20210903;7;20278;18971,025
20210903;8;21370;20634,788
20210903;9;22069;21468,738
20210903;10;22136;21610,988
20210903;11;22400;21754,425
20210903;12;22550;21807,100
20210903;13;22650;21895,788
20210903;14;22616;21740,588
20210903;15;22061;21387,200
20210903;16;22050;21477,300
20210903;17;21900;21223,750
20210903;18;21750;21183,013
20210903;19;22000;21437,313
20210903;20;23150;21839,838
20210903;21;23150;22271,288
20210903;22;22050;20843,813
20210903;23;19850;19306,638
20210903;24;18700;18214,363
20210904;1;16750;17104,300
20210904;2;15950;16344,238
20210904;3;15450;15926,063
20210904;4;15400;15762,325
20210904;5;15350;15870,550
20210904;6;15350;15864,263
20210904;7;16500;16251,713
20210904;8;17800;17338,963
20210904;9;18750;18442,713
20210904;10;19300;19049,700
20210904;11;19650;19341,925
20210904;12;19700;19480,138
20210904;13;19650;19109,038
20210904;14;19517;18869,625
