Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20210401;1;17722;17397,413
20210401;2;16855;16701,963
20210401;3;16500;16287,038
20210401;4;16550;16325,700
20210401;5;16992;16535,100
20210401;6;17900;17021,225
20210401;7;20361;18570,375
20210401;8;21953;20191,438
20210401;9;22720;21221,263
20210401;10;22766;21483,800
20210401;11;22852;21533,763
20210401;12;22855;21943,188
20210401;13;22850;22013,138
20210401;14;22926;21936,350
20210401;15;22287;21697,800
20210401;16;22001;21475,163
20210401;17;21719;21228,438
20210401;18;21531;21185,138
20210401;19;21621;21265,425
20210401;20;23100;22157,588
20210401;21;23073;22315,800
20210401;22;22352;20912,275
20210401;23;20385;19477,263
20210401;24;19211;18322,938
20210402;1;17500;17228,438
20210402;2;16850;16492,663
20210402;3;16350;16090,763
20210402;4;16350;16050,738
20210402;5;16814;16322,113
20210402;6;17371;16735,575
20210402;7;19791;17997,900
20210402;8;21334;19735,288
20210402;9;22214;20899,175
20210402;10;22511;21403,500
20210402;11;22800;21441,725
20210402;12;22850;21554,288
20210402;13;22900;21411,113
20210402;14;23000;21471,950
20210402;15;22270;21000,400
20210402;16;21850;20779,688
20210402;17;21382;20640,813
20210402;18;21128;20592,663
20210402;19;21345;20622,300
20210402;20;22681;21413,825
20210402;21;22715;21829,425
20210402;22;21776;20352,825
20210402;23;20186;18777,050
20210402;24;18536;17284,350
20210403;1;16535;15987,150
20210403;2;15440;15349,388
20210403;3;14930;15017,300
20210403;4;14700;14821,900
20210403;5;14700;14833,575
20210403;6;14600;14744,975
20210403;7;15030;14761,750
20210403;8;16366;15762,663
20210403;9;17599;16977,213
20210403;10;18182;18017,250
20210403;11;18500;18599,150
20210403;12;18485;18829,600
20210403;13;18296;18893,400
20210403;14;18235;18734,538
20210403;15;17650;18011,175
20210403;16;17247;17887,638
20210403;17;17020;17771,125
20210403;18;16922;17668,525
20210403;19;17050;17751,063
20210403;20;18150;18271,238
20210403;21;18213;18581,863
20210403;22;17558;17665,963
20210403;23;16625;16663,275
20210403;24;15587;15664,288
20210404;1;13998;14481,125
20210404;2;13255;13784,775
20210404;3;12781;13404,988
20210404;4;12450;13177,625
20210404;5;12400;13078,988
20210404;6;12418;13139,350
20210404;7;12307;12989,363
20210404;8;13387;13837,300
20210404;9;14333;14798,650
20210404;10;14450;14999,050
20210404;11;14300;14692,263
20210404;12;14150;14712,950
20210404;13;13950;14653,325
20210404;14;13900;14691,900
20210404;15;13600;14507,775
20210404;16;13350;13980,000
20210404;17;13150;14150,838
20210404;18;13350;14171,788
