Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20210601;1;16800;16492,825
20210601;2;16000;15929,338
20210601;3;15600;15525,963
20210601;4;15500;15502,675
20210601;5;15250;15268,550
20210601;6;16500;15565,700
20210601;7;19779;18124,175
20210601;8;21169;20185,313
20210601;9;21950;21140,988
20210601;10;22050;21411,650
20210601;11;22200;21402,138
20210601;12;22250;21599,638
20210601;13;22250;21555,213
20210601;14;22250;21290,100
20210601;15;21700;21172,450
20210601;16;21600;20934,050
20210601;17;21400;20740,050
20210601;18;21150;20596,975
20210601;19;21000;20642,988
20210601;20;21000;20896,313
20210601;21;21150;20919,675
20210601;22;21200;20637,975
20210601;23;19850;19269,863
20210601;24;18350;17788,825
20210602;1;16600;16558,188
20210602;2;15950;15848,025
20210602;3;15500;15594,138
20210602;4;15500;15497,013
20210602;5;15350;15202,725
20210602;6;16450;15657,363
20210602;7;19650;18061,013
20210602;8;21000;20114,838
20210602;9;21700;21029,188
20210602;10;21700;21307,863
20210602;11;21850;21055,963
20210602;12;21900;21173,250
20210602;13;21900;21427,213
20210602;14;21900;21377,288
20210602;15;21450;21122,850
20210602;16;21400;21011,925
20210602;17;21200;20937,000
20210602;18;20950;20741,525
20210602;19;20800;20725,163
20210602;20;20900;20735,775
20210602;21;21050;20494,963
20210602;22;21100;19915,050
20210602;23;19750;18727,575
20210602;24;18250;17192,400
20210603;1;16181;15891,263
20210603;2;15329;15029,938
20210603;3;14788;14616,725
20210603;4;14450;14427,650
20210603;5;13900;13683,263
20210603;6;13250;13190,813
20210603;7;13795;13369,500
20210603;8;14794;14351,500
20210603;9;15636;15287,750
20210603;10;16250;16031,238
20210603;11;16450;16110,900
20210603;12;16500;16050,150
20210603;13;16500;15847,350
20210603;14;16500;15865,250
20210603;15;16250;15903,300
20210603;16;15900;15689,400
20210603;17;15650;15477,813
20210603;18;15555;15707,413
20210603;19;15750;16192,388
20210603;20;15950;16299,488
20210603;21;16450;16303,050
20210603;22;16600;16664,450
20210603;23;16400;16152,650
20210603;24;15311;14937,800
20210604;1;13900;13921,450
20210604;2;13250;13402,063
20210604;3;13020;13144,575
20210604;4;12900;13171,763
20210604;5;12700;12853,050
20210604;6;13900;13338,200
20210604;7;16372;15271,475
20210604;8;18243;17134,338
20210604;9;19365;18437,750
20210604;10;20000;19056,875
20210604;11;20388;19126,738
20210604;12;20554;19270,513
20210604;13;20700;19214,538
20210604;14;20700;19018,263
20210604;15;20236;18881,788
20210604;16;20089;19205,275
20210604;17;19600;18951,163
20210604;18;19281;18813,375
20210604;19;19002;18805,475
20210604;20;18900;18750,838
20210604;21;18900;18617,863
20210604;22;18900;18553,638
20210604;23;18328;17645,988
20210604;24;16875;16157,375
20210605;1;15108;15176,925
20210605;2;14735;14503,963
20210605;3;14289;14119,588
20210605;4;14013;13994,550
20210605;5;13563;13507,075
20210605;6;13736;13377,638
20210605;7;14966;14580,525
20210605;8;15694;15753,013
20210605;9;17012;17067,238
20210605;10;18504;17811,625
20210605;11;18877;18260,363
20210605;12;18944;18284,638
20210605;13;18886;18141,238
20210605;14;18471;18073,863
20210605;15;18173;17389,088
20210605;16;17835;17580,050
20210605;17;17642;17860,688
20210605;18;17526;17588,750
20210605;19;17727;17659,550
20210605;20;17866;17515,275
20210605;21;17708;17238,588
20210605;22;17614;17317,150
20210605;23;16802;16685,363
20210605;24;15606;15383,150
20210606;1;14878;14297,488
20210606;2;14050;13511,888
20210606;3;13600;13133,900
20210606;4;13312;12845,563
20210606;5;12836;12332,850
20210606;6;12750;12240,388
20210606;7;13877;12891,250
20210606;8;14918;13723,825
20210606;9;15950;14642,413
20210606;10;16700;15426,275
20210606;11;17050;15846,613
20210606;12;17200;16242,563
20210606;13;17250;16310,575
20210606;14;17250;16207,300
20210606;15;17050;15804,900
20210606;16;16600;15604,775
20210606;17;16500;15524,250
20210606;18;16550;15992,738
20210606;19;16750;16551,525
20210606;20;16950;16681,600
20210606;21;17350;16755,288
20210606;22;17550;16992,913
20210606;23;17151;16564,463
20210606;24;15920;15380,650
20210607;1;14475;14438,675
20210607;2;14000;13946,838
20210607;3;13700;13732,638
20210607;4;13700;13682,613
20210607;5;13721;13552,175
20210607;6;15486;14365,363
20210607;7;19241;17695,688
20210607;8;20900;20027,350
20210607;9;21750;21327,313
20210607;10;21800;21682,925
20210607;11;21900;21622,988
20210607;12;22132;22044,075
20210607;13;22365;22329,850
20210607;14;22351;22118,300
20210607;15;21950;22070,088
20210607;16;21750;21886,700
20210607;17;21450;21776,625
20210607;18;21150;21652,913
20210607;19;20950;21564,750
20210607;20;21000;21779,238
20210607;21;21100;21540,775
20210607;22;21100;21098,113
20210607;23;19950;19715,150
20210607;24;18358;18042,663
20210608;1;16900;16742,488
20210608;2;16100;16022,450
20210608;3;15700;15698,588
20210608;4;15600;15618,100
20210608;5;15350;15403,775
20210608;6;16600;15994,713
20210608;7;19879;18821,800
20210608;8;21169;20914,275
20210608;9;21900;21767,325
20210608;10;21950;22089,725
20210608;11;22100;22026,375
20210608;12;22250;22408,913
20210608;13;22550;22609,000
20210608;14;22550;22390,175
20210608;15;22100;22339,638
20210608;16;22000;22250,313
20210608;17;21600;21962,925
20210608;18;21350;21783,238
20210608;19;21150;21754,688
20210608;20;21050;21878,663
20210608;21;21150;21736,513
20210608;22;21200;21229,688
20210608;23;20050;19955,763
20210608;24;18550;18328,150
20210609;1;16900;17053,500
20210609;2;16100;16251,225
20210609;3;15700;15930,413
20210609;4;15600;15808,513
20210609;5;15350;15521,750
20210609;6;16800;16014,138
20210609;7;20179;18772,800
20210609;8;21650;21017,025
20210609;9;22350;21850,875
20210609;10;22350;21960,738
20210609;11;22550;21872,200
20210609;12;22800;22402,025
20210609;13;23000;22454,275
20210609;14;23000;22451,600
20210609;15;22600;22077,188
20210609;16;22500;21907,038
20210609;17;22200;21905,963
20210609;18;22100;21798,163
20210609;19;22050;21723,450
20210609;20;22050;21932,138
20210609;21;21950;21776,088
20210609;22;21600;21367,113
20210609;23;20350;20133,963
20210609;24;18600;18540,250
20210610;1;16900;17162,388
20210610;2;16100;16386,250
20210610;3;15700;16053,125
20210610;4;15600;15914,350
20210610;5;15350;15679,450
20210610;6;17200;16104,888
20210610;7;20500;18522,375
20210610;8;21850;20575,550
20210610;9;22500;21543,013
20210610;10;22700;21772,688
20210610;11;22850;21795,275
20210610;12;23100;22151,925
20210610;13;23300;22388,300
20210610;14;23350;22078,950
20210610;15;23000;21840,800
20210610;16;22900;21899,838
20210610;17;22700;21617,075
20210610;18;22500;21763,138
20210610;19;22350;21705,275
20210610;20;22350;21749,250
20210610;21;22350;21526,988
20210610;22;22000;21163,250
20210610;23;20700;19964,950
20210610;24;18950;18400,088
20210611;1;17100;17249,975
20210611;2;16200;16445,200
20210611;3;15850;15983,013
20210611;4;15850;15906,950
