Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20190501;1;15400;15681,225
20190501;2;14700;15000,013
20190501;3;14300;14538,175
20190501;4;14100;14483,663
20190501;5;14000;14349,925
20190501;6;13200;13588,375
20190501;7;14000;13738,600
20190501;8;15100;14598,538
20190501;9;16100;15615,350
20190501;10;16700;16357,225
20190501;11;16800;16581,813
20190501;12;16800;16628,338
20190501;13;16800;16536,263
20190501;14;16800;16390,125
20190501;15;16500;16034,075
20190501;16;16100;15635,188
20190501;17;15800;15637,563
20190501;18;15600;15604,550
20190501;19;15800;15817,300
20190501;20;16400;16190,950
20190501;21;17500;17245,813
20190501;22;17100;17029,238
20190501;23;16200;16041,025
20190501;24;15100;15022,638
20190502;1;13876;14218,875
20190502;2;13665;13733,813
20190502;3;13507;13519,150
20190502;4;13499;13509,813
20190502;5;13454;13588,600
20190502;6;13329;13447,650
20190502;7;14612;14699,838
20190502;8;16100;16010,413
20190502;9;17420;17095,563
20190502;10;18118;17642,063
20190502;11;18259;17712,700
20190502;12;18435;17767,950
20190502;13;18469;17838,963
20190502;14;18464;17863,300
20190502;15;18257;17620,663
20190502;16;17964;17502,763
20190502;17;17702;17309,175
20190502;18;17513;17141,025
20190502;19;17551;17041,200
20190502;20;17801;17372,725
20190502;21;18520;18199,638
20190502;22;18145;17870,650
20190502;23;16820;16717,313
20190502;24;15616;15452,550
20190503;1;15100;14354,050
20190503;2;14600;13697,788
20190503;3;14300;13351,563
20190503;4;14200;13279,888
20190503;5;14000;13164,463
20190503;6;13450;12685,788
20190503;7;14350;13011,113
20190503;8;15250;13725,863
20190503;9;16250;14646,863
20190503;10;17000;15364,613
20190503;11;17000;15798,188
20190503;12;17000;15914,713
20190503;13;17000;16045,438
20190503;14;17000;16041,238
20190503;15;16550;15702,513
20190503;16;16150;15396,325
20190503;17;16100;15152,838
20190503;18;16150;15193,700
20190503;19;16450;15376,225
20190503;20;17250;15784,163
20190503;21;17850;16485,188
20190503;22;17550;16452,525
20190503;23;16700;15669,563
20190503;24;15500;14667,263
20190504;1;13900;13828,925
20190504;2;13400;13370,550
20190504;3;13200;13137,938
20190504;4;13100;13021,500
20190504;5;13100;13072,850
20190504;6;13000;12752,488
20190504;7;14400;13752,425
20190504;8;15800;14931,600
20190504;9;17000;16102,613
20190504;10;17400;16883,500
20190504;11;17700;17163,175
20190504;12;17600;17312,738
20190504;13;17500;17228,313
20190504;14;17500;17257,825
20190504;15;17100;16978,238
20190504;16;16700;16772,988
20190504;17;16500;16660,650
20190504;18;16300;16476,713
20190504;19;16400;16630,950
20190504;20;16800;16947,013
20190504;21;17900;17611,750
20190504;22;17500;17363,750
20190504;23;16500;16307,388
20190504;24;15100;15163,700
20190505;1;13950;14131,150
20190505;2;13250;13563,950
20190505;3;12950;13290,475
20190505;4;12750;13095,463
20190505;5;12650;12936,413
20190505;6;12300;12554,575
20190505;7;13250;12917,913
20190505;8;14250;13724,775
20190505;9;15250;14455,488
20190505;10;15850;15371,775
20190505;11;16250;15825,025
20190505;12;16250;16060,588
20190505;13;16300;16146,063
20190505;14;16300;16120,850
20190505;15;15900;15775,463
20190505;16;15500;15481,638
20190505;17;15300;15312,225
20190505;18;15450;15406,600
20190505;19;15800;15827,850
20190505;20;16500;16325,700
20190505;21;17350;17038,363
20190505;22;17150;17021,413
20190505;23;16050;16181,188
20190505;24;14850;15031,363
20190506;1;14000;14357,550
20190506;2;13500;13953,813
20190506;3;13350;13769,125
20190506;4;13500;13850,613
20190506;5;13700;14072,450
20190506;6;15200;14625,963
20190506;7;18750;17637,063
20190506;8;20500;20151,613
20190506;9;21350;21278,950
20190506;10;21550;21568,675
20190506;11;21600;21558,900
20190506;12;21700;21876,925
20190506;13;21750;21976,063
20190506;14;21800;21877,125
20190506;15;21300;21492,725
20190506;16;21050;21247,725
20190506;17;20750;20873,313
20190506;18;20500;20597,475
20190506;19;20600;20534,950
20190506;20;21050;20885,075
20190506;21;21800;21429,525
20190506;22;21100;20866,025
20190506;23;19400;19157,475
20190506;24;17800;17687,288
20190507;1;16750;16711,100
20190507;2;16100;16059,000
20190507;3;15800;15777,025
20190507;4;15850;15814,575
20190507;5;16050;15955,050
20190507;6;16600;15996,038
20190507;7;19800;18461,700
20190507;8;21150;20601,188
20190507;9;21850;21404,550
20190507;10;21950;21506,275
20190507;11;22150;21318,575
20190507;12;22200;21704,200
20190507;13;22400;21810,800
20190507;14;22200;21732,175
20190507;15;21900;21331,213
20190507;16;21500;21179,500
20190507;17;21300;20950,488
20190507;18;20900;20742,413
20190507;19;20900;20518,588
20190507;20;21200;20953,513
20190507;21;22100;21447,563
20190507;22;21400;21050,025
20190507;23;19800;19554,100
20190507;24;18300;18096,113
20190508;1;17000;17055,063
20190508;2;16300;16483,875
20190508;3;16000;16235,075
20190508;4;16000;16231,113
20190508;5;16000;16279,550
20190508;6;16900;16425,538
20190508;7;20050;18922,325
20190508;8;21350;21033,963
20190508;9;22000;21792,150
20190508;10;22000;21694,275
20190508;11;21950;21451,238
20190508;12;22050;21811,338
20190508;13;22150;21783,400
20190508;14;22100;21735,725
20190508;15;21800;21287,663
20190508;16;21500;21061,188
20190508;17;21200;20674,900
20190508;18;20900;20477,063
20190508;19;20900;20306,713
20190508;20;21200;20800,250
20190508;21;22000;21503,150
20190508;22;21200;20886,563
20190508;23;19300;19435,725
20190508;24;17900;17984,438
20190509;1;17100;16884,238
20190509;2;16400;16264,588
20190509;3;16100;15943,688
20190509;4;16200;16039,788
20190509;5;16200;16021,750
20190509;6;17100;16197,488
20190509;7;19900;18760,150
20190509;8;21600;20771,125
20190509;9;22100;21733,400
20190509;10;22100;22125,488
20190509;11;22200;21815,375
20190509;12;22400;22185,675
20190509;13;22500;22277,663
20190509;14;22600;22184,988
20190509;15;22200;21969,688
20190509;16;21900;21875,213
20190509;17;21600;21546,288
20190509;18;21300;21301,538
20190509;19;21200;21161,638
