Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20210801;1;15000;14852,388
20210801;2;14200;14221,350
20210801;3;13650;13814,775
20210801;4;13450;13558,275
20210801;5;13100;13406,975
20210801;6;12750;12851,100
20210801;7;13542;13208,725
20210801;8;14850;14162,725
20210801;9;15800;15250,738
20210801;10;16496;16332,288
20210801;11;16896;17149,838
20210801;12;17146;17080,288
20210801;13;17146;17167,213
20210801;14;17146;17140,550
20210801;15;16696;16825,650
20210801;16;16497;16766,663
20210801;17;16538;16575,775
20210801;18;16787;16527,725
20210801;19;16938;16806,050
20210801;20;16988;17141,500
20210801;21;17746;17389,288
20210801;22;17795;17483,438
20210801;23;17295;16678,375
20210801;24;16250;15454,238
20210802;1;14570;14563,063
20210802;2;13983;14158,900
20210802;3;13685;13930,675
20210802;4;13682;13833,213
20210802;5;13798;14038,163
20210802;6;14919;14419,600
20210802;7;18665;16683,350
20210802;8;20645;18926,675
20210802;9;21753;20173,413
20210802;10;22060;20546,475
20210802;11;22384;20582,188
20210802;12;22621;20768,063
20210802;13;22798;20900,450
20210802;14;22838;20830,163
20210802;15;22420;20646,963
20210802;16;22179;20398,225
20210802;17;21943;20576,675
20210802;18;21641;20288,113
20210802;19;21429;20452,975
20210802;20;21409;20468,200
20210802;21;21663;20560,913
20210802;22;21471;20282,425
20210802;23;19985;18842,000
20210802;24;18543;17424,000
20210803;1;16264;16340,113
20210803;2;15850;15655,325
20210803;3;15623;15285,188
20210803;4;15621;15261,288
20210803;5;15555;15305,575
20210803;6;15576;15375,800
20210803;7;17636;17466,675
20210803;8;19678;19545,213
20210803;9;21019;20580,250
20210803;10;21583;20958,488
20210803;11;21612;20908,238
20210803;12;21852;21194,013
20210803;13;22005;21456,488
20210803;14;21848;21414,650
20210803;15;21691;21052,125
20210803;16;21535;21147,275
20210803;17;21466;20957,163
20210803;18;21406;20959,375
20210803;19;21356;20733,950
20210803;20;21313;20778,775
20210803;21;21365;21105,725
20210803;22;20954;20612,200
20210803;23;19430;19104,950
20210803;24;17958;17798,713
20210804;1;16450;16711,825
20210804;2;15900;16044,688
20210804;3;15400;15608,700
20210804;4;15350;15527,075
20210804;5;15350;15640,138
20210804;6;16100;15826,500
20210804;7;18950;17916,513
20210804;8;20704;19870,550
20210804;9;21750;20936,850
20210804;10;22050;21569,500
20210804;11;22250;21693,625
20210804;12;22400;21730,263
20210804;13;22500;21795,788
20210804;14;22550;21847,763
20210804;15;22150;21643,538
20210804;16;21900;21390,363
20210804;17;21800;21107,088
20210804;18;21650;21103,150
20210804;19;21550;20933,338
20210804;20;21450;21020,850
20210804;21;21512;21194,750
20210804;22;21515;20806,213
20210804;23;19977;19315,938
20210804;24;18490;17914,625
20210805;1;16450;16755,588
20210805;2;15900;16029,838
20210805;3;15400;15687,825
20210805;4;15350;15532,963
20210805;5;15350;15657,475
20210805;6;16250;15884,838
20210805;7;19050;17904,613
20210805;8;20650;19506,425
20210805;9;21300;20688,038
20210805;10;21500;21224,213
20210805;11;21800;21360,150
20210805;12;22050;21893,175
20210805;13;22150;22036,375
