Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20221201;1;19000;18941,388
20221201;2;18250;18312,000
20221201;3;17900;18035,188
20221201;4;18100;18050,975
20221201;5;18700;18412,750
20221201;6;20350;19288,925
20221201;7;23400;21942,263
20221201;8;24700;23928,638
20221201;9;25500;25012,588
20221201;10;25500;25480,875
20221201;11;25650;25598,463
20221201;12;25650;25971,988
20221201;13;25700;26121,563
20221201;14;25750;26155,300
20221201;15;25400;25699,625
20221201;16;25400;25741,863
20221201;17;25850;26069,325
20221201;18;25800;25733,675
20221201;19;25200;25361,863
20221201;20;25100;25131,350
20221201;21;24650;24489,450
20221201;22;23250;22973,738
20221201;23;21600;21521,988
20221201;24;20200;20101,100
20221202;1;19200;19107,813
20221202;2;18550;18452,238
20221202;3;18200;18189,213
20221202;4;18400;18145,000
20221202;5;19000;18538,813
20221202;6;20650;19594,350
20221202;7;23600;22339,413
20221202;8;24900;24395,550
20221202;9;25700;25366,150
20221202;10;25750;25888,463
20221202;11;25850;26013,963
20221202;12;25850;26351,600
20221202;13;25900;26434,763
20221202;14;25950;26537,038
20221202;15;25600;26053,600
20221202;16;25700;26094,863
20221202;17;26250;26226,300
20221202;18;26200;25916,975
20221202;19;25650;25487,138
20221202;20;25500;25119,950
20221202;21;25050;24380,088
20221202;22;23650;22898,063
20221202;23;22000;21417,463
20221202;24;20600;20186,850
20221203;1;19100;19010,913
20221203;2;18250;18343,838
20221203;3;17800;17872,313
20221203;4;17750;17758,013
20221203;5;17900;17946,313
20221203;6;18400;18180,538
20221203;7;19400;19093,650
20221203;8;20650;19930,625
20221203;9;21900;21242,163
20221203;10;22450;22426,938
20221203;11;22750;22963,413
20221203;12;22800;23169,700
20221203;13;22750;23051,550
20221203;14;22900;22969,663
20221203;15;22200;22507,050
20221203;16;22550;22387,400
20221203;17;22900;22804,650
20221203;18;22800;22530,138
20221203;19;22550;22216,000
20221203;20;22150;21907,725
20221203;21;21600;21208,000
20221203;22;20650;20154,338
20221203;23;19550;19116,475
20221203;24;18500;17759,313
20221204;1;17350;16682,413
20221204;2;16550;16075,475
20221204;3;16100;15596,250
20221204;4;15950;15481,425
20221204;5;16000;15494,288
20221204;6;16250;15737,425
20221204;7;16700;16157,975
20221204;8;17450;16455,163
20221204;9;18500;17452,188
20221204;10;19400;18629,075
20221204;11;19850;19300,638
20221204;12;20050;19646,913
20221204;13;20150;19834,125
20221204;14;20150;19925,838
20221204;15;19950;19698,200
20221204;16;20300;19854,150
20221204;17;20800;19990,800
20221204;18;20800;19784,713
20221204;19;20850;20173,613
20221204;20;20800;20261,225
20221204;21;20550;19777,850
20221204;22;19650;19004,450
20221204;23;18950;18312,813
20221204;24;17950;17213,900
20221205;1;16950;16339,625
20221205;2;16550;15953,750
20221205;3;16250;15691,125
20221205;4;16450;15827,088
20221205;5;17300;16203,988
20221205;6;19900;17550,363
20221205;7;23000;20834,113
20221205;8;24500;23132,588
20221205;9;25300;24372,613
20221205;10;25400;24898,925
20221205;11;25650;24818,950
20221205;12;25800;25164,350
20221205;13;25950;25396,200
20221205;14;26200;25401,538
20221205;15;25600;25086,925
20221205;16;25750;25194,625
20221205;17;26150;25674,400
20221205;18;25950;25431,575
20221205;19;25450;25051,725
20221205;20;25300;24916,863
20221205;21;24700;24336,763
20221205;22;23450;22718,813
20221205;23;21750;21147,425
20221205;24;20400;19685,600
20221206;1;19050;18564,450
20221206;2;18400;18004,338
20221206;3;18050;17724,313
20221206;4;18250;17792,525
20221206;5;18900;18139,775
20221206;6;20450;19142,850
20221206;7;23300;21950,825
20221206;8;24700;23971,200
20221206;9;25650;24943,613
20221206;10;25850;25305,888
20221206;11;26150;25249,163
20221206;12;26300;25553,363
20221206;13;26350;25757,513
20221206;14;26650;25875,825
20221206;15;26000;25371,150
20221206;16;26000;25391,325
20221206;17;26200;25765,200
20221206;18;26000;25505,125
20221206;19;25450;25031,713
20221206;20;25250;24850,850
20221206;21;24900;24240,013
20221206;22;23600;22726,063
20221206;23;21750;21185,038
20221206;24;20350;19725,375
20221207;1;19000;18682,813
20221207;2;18350;18143,813
20221207;3;18000;17799,363
20221207;4;18150;17849,850
20221207;5;18850;18073,175
20221207;6;20400;19071,563
20221207;7;23450;21787,075
20221207;8;24850;23809,750
20221207;9;25750;24803,500
20221207;10;25850;25220,963
20221207;11;26200;25179,313
20221207;12;26350;25458,788
20221207;13;26400;25427,150
20221207;14;26700;25419,475
20221207;15;26000;25023,463
20221207;16;26100;24954,688
20221207;17;26200;25343,263
20221207;18;26000;25291,238
20221207;19;25500;24922,563
20221207;20;25350;24621,150
20221207;21;24900;24045,063
20221207;22;23650;22625,238
20221207;23;21850;21130,425
20221207;24;20500;19836,575
20221208;1;19050;18641,700
20221208;2;18400;18189,975
20221208;3;18050;17952,288
20221208;4;18100;17882,138
20221208;5;18800;18288,113
20221208;6;20300;19202,150
20221208;7;23300;21913,600
20221208;8;24600;23922,213
20221208;9;25350;24586,350
20221208;10;25400;24877,063
20221208;11;25650;24684,300
20221208;12;25750;24735,250
20221208;13;25750;25059,675
20221208;14;26050;25347,238
20221208;15;25550;25024,238
20221208;16;25700;25064,750
20221208;17;26000;25565,088
20221208;18;25800;25267,850
20221208;19;25300;24867,063
20221208;20;25150;24692,475
20221208;21;24700;24147,188
20221208;22;23550;22765,363
20221208;23;21750;21242,313
20221208;24;20400;19907,913
20221209;1;19200;18761,163
20221209;2;18550;18285,638
20221209;3;18150;18172,163
20221209;4;18250;18301,825
20221209;5;18900;18601,113
20221209;6;20400;19537,250
20221209;7;23500;22301,838
20221209;8;24800;24299,775
20221209;9;25500;25155,650
20221209;10;25500;25304,888
20221209;11;25450;24936,388
20221209;12;25550;25175,613
20221209;13;25550;25343,250
20221209;14;25850;25446,625
20221209;15;25300;25154,075
20221209;16;25700;25352,713
20221209;17;26050;26012,088
20221209;18;25900;25710,688
20221209;19;25300;25301,950
20221209;20;25250;25136,925
20221209;21;24750;24256,288
20221209;22;23650;22744,913
20221209;23;21800;21345,613
20221209;24;20400;20071,488
20221210;1;19200;18926,725
20221210;2;18450;18208,688
20221210;3;18000;17736,888
20221210;4;17850;17701,213
20221210;5;18100;17773,038
20221210;6;18600;17884,138
20221210;7;19700;18794,163
20221210;8;20950;19745,288
20221210;9;22200;21050,900
20221210;10;23000;22278,038
20221210;11;23400;22767,800
20221210;12;23400;23022,850
20221210;13;23400;23032,400
20221210;14;23400;22928,775
20221210;15;22800;22506,438
20221210;16;23000;22557,400
20221210;17;23000;22891,488
20221210;18;22850;22552,263
20221210;19;22600;22301,663
20221210;20;22200;22091,625
20221210;21;21600;21505,813
20221210;22;20650;20279,400
20221210;23;19550;19221,263
20221210;24;18500;18035,975
20221211;1;17250;17118,575
20221211;2;16550;16453,775
20221211;3;16150;16095,838
20221211;4;16000;15897,950
20221211;5;16150;15924,188
20221211;6;16650;16118,338
20221211;7;17100;16737,738
20221211;8;17750;17281,488
20221211;9;19000;18298,350
20221211;10;19850;19575,538
20221211;11;20400;20400,688
20221211;12;20800;20710,275
20221211;13;20900;21014,675
20221211;14;20900;21117,013
20221211;15;20850;20836,350
20221211;16;21100;20772,413
20221211;17;21300;21332,138
20221211;18;21300;21322,450
20221211;19;21300;21246,838
20221211;20;21350;21147,725
20221211;21;21200;20644,600
20221211;22;20250;19722,250
20221211;23;19500;18881,488
20221211;24;18500;17849,525
20221212;1;17450;17057,038
20221212;2;17000;16637,550
20221212;3;16650;16422,925
20221212;4;16900;16521,213
20221212;5;17750;16958,050
20221212;6;19950;18176,025
20221212;7;23200;21060,763
20221212;8;24700;23271,038
20221212;9;25850;24526,763
20221212;10;26200;25314,800
20221212;11;26550;25330,688
20221212;12;26650;25674,575
20221212;13;27000;25835,288
20221212;14;27000;26029,600
20221212;15;26500;25408,175
20221212;16;26700;25330,563
20221212;17;26700;25811,550
20221212;18;26400;25528,400
20221212;19;25900;25202,388
20221212;20;25600;24913,050
20221212;21;25050;24201,675
20221212;22;23850;22651,300
20221212;23;22050;21181,200
20221212;24;20900;19877,688
20221213;1;19450;18726,825
20221213;2;18800;18160,213
20221213;3;18350;17901,300
20221213;4;18450;18008,863
20221213;5;19150;18373,913
20221213;6;20750;19404,800
20221213;7;23900;22174,538
20221213;8;25200;24222,313
20221213;9;26150;25265,875
20221213;10;26250;25961,950
20221213;11;26600;26064,788
20221213;12;26650;26330,313
20221213;13;26850;26376,675
20221213;14;27050;26465,413
20221213;15;26400;26048,663
20221213;16;26650;26044,300
20221213;17;26650;26604,150
20221213;18;26450;26275,275
20221213;19;25950;25911,825
20221213;20;25800;25767,938
20221213;21;25350;25203,288
20221213;22;24100;23739,550
20221213;23;22300;22223,913
20221213;24;20950;20858,925
20221214;1;19750;19810,113
20221214;2;19100;19242,900
20221214;3;18650;19103,513
20221214;4;18750;19161,550
20221214;5;19450;19612,200
20221214;6;21050;20540,338
20221214;7;24200;23253,725
20221214;8;25400;25260,338
20221214;9;26350;26272,763
20221214;10;26450;26842,888
20221214;11;26650;26823,638
20221214;12;26700;26843,013
20221214;13;27000;26627,050
20221214;14;27200;26611,750
20221214;15;26550;26214,700
20221214;16;26800;26077,663
20221214;17;26900;26570,188
20221214;18;26750;26419,825
20221214;19;26250;26137,488
20221214;20;26050;25981,638
20221214;21;25600;25353,788
20221214;22;24350;23951,413
20221214;23;22550;22438,288
20221214;24;21200;21199,913
20221215;1;20000;20086,350
20221215;2;19300;19577,063
20221215;3;18950;19245,038
20221215;4;19050;19306,663
20221215;5;19700;19542,050
20221215;6;21250;20336,625
