Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20181101;1;15700;15637,088
20181101;2;14900;15050,538
20181101;3;14500;14658,750
20181101;4;14300;14479,600
20181101;5;14200;14534,088
20181101;6;14100;14407,425
20181101;7;14000;14231,438
20181101;8;14800;14736,363
20181101;9;15400;15472,463
20181101;10;15600;15660,450
20181101;11;15600;15615,513
20181101;12;15300;15240,188
20181101;13;15500;15174,150
20181101;14;15500;15295,250
20181101;15;15200;15070,150
20181101;16;15600;15086,350
20181101;17;16900;16059,575
20181101;18;17300;16981,088
20181101;19;17400;17086,025
20181101;20;17400;17202,775
20181101;21;17000;16936,400
20181101;22;16500;16336,325
20181101;23;15700;15521,438
20181101;24;14600;14552,888
20181102;1;13900;13783,700
20181102;2;13600;13461,413
20181102;3;13400;13325,025
20181102;4;13500;13311,013
20181102;5;14000;13690,838
20181102;6;15400;14610,688
20181102;7;17300;16551,250
20181102;8;18800;18024,475
20181102;9;19900;19286,488
20181102;10;20400;19829,675
20181102;11;20500;19875,250
20181102;12;20500;20025,538
20181102;13;20500;20074,288
20181102;14;20500;20165,925
20181102;15;19900;19920,075
20181102;16;19500;19823,075
20181102;17;21300;20740,650
20181102;18;21400;21510,725
20181102;19;21100;21270,650
20181102;20;21100;21065,050
20181102;21;20300;20363,850
20181102;22;19200;19093,200
20181102;23;18100;17742,988
20181102;24;16800;16683,850
20181103;1;16000;15751,550
20181103;2;15500;15221,488
20181103;3;15200;14951,825
20181103;4;15100;14929,200
20181103;5;15300;14977,650
20181103;6;15700;15290,988
20181103;7;16900;16226,988
20181103;8;18200;17253,425
20181103;9;19300;18506,938
20181103;10;19800;19446,050
20181103;11;20100;19853,663
20181103;12;20100;20010,175
20181103;13;20000;19795,025
20181103;14;19800;19643,475
20181103;15;19100;19196,675
20181103;16;19100;19150,688
20181103;17;20700;19875,100
20181103;18;20800;20431,150
20181103;19;20300;20136,888
20181103;20;20300;19955,950
20181103;21;19500;19181,050
20181103;22;18500;18101,063
20181103;23;17600;16997,475
20181103;24;16400;15960,550
20181104;1;15000;15033,000
20181104;2;14500;14516,313
20181104;3;14200;14041,888
20181104;4;14000;13933,488
20181104;5;14100;13961,313
20181104;6;14300;14136,263
