Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20181201;1;19100;19158,000
20181201;2;18400;18558,875
20181201;3;18100;18072,925
20181201;4;18100;17957,888
20181201;5;18100;18149,750
20181201;6;18500;18449,350
20181201;7;19800;19423,963
20181201;8;20800;20345,300
20181201;9;22000;21567,888
20181201;10;22500;22427,375
20181201;11;22700;22724,700
20181201;12;22800;22861,038
20181201;13;22600;22796,125
20181201;14;22500;22611,463
20181201;15;21800;22066,088
20181201;16;22600;22210,563
20181201;17;23100;23025,813
20181201;18;22800;22759,813
20181201;19;22300;22445,225
20181201;20;21900;22129,650
20181201;21;21200;21453,338
20181201;22;20200;20195,038
20181201;23;19100;19206,425
20181201;24;17900;18044,563
20181202;1;16700;16979,475
20181202;2;16200;16269,925
20181202;3;15700;15889,938
20181202;4;15500;15797,550
20181202;5;15600;15770,325
20181202;6;15800;15946,775
20181202;7;16400;16564,188
20181202;8;16900;16871,000
20181202;9;18000;17778,738
20181202;10;19100;18848,625
20181202;11;19300;19328,375
20181202;12;19500;19521,850
20181202;13;19700;19683,138
20181202;14;19800;19664,513
20181202;15;19400;19472,750
20181202;16;20200;19700,150
20181202;17;20600;20750,075
20181202;18;20600;20827,663
20181202;19;20700;20827,900
20181202;20;20700;20859,038
20181202;21;20200;20310,725
20181202;22;19100;19333,575
20181202;23;18400;18632,250
20181202;24;17300;17546,338
20181203;1;16500;16680,500
20181203;2;16100;16249,900
20181203;3;15900;16087,325
20181203;4;16100;16159,225
20181203;5;16800;16603,100
20181203;6;18600;17590,950
20181203;7;22200;20849,663
20181203;8;23400;22915,038
20181203;9;24300;24061,063
20181203;10;24450;24561,025
20181203;11;24500;24415,038
20181203;12;24650;24683,538
20181203;13;24750;24826,638
20181203;14;24900;24975,200
20181203;15;24600;24582,300
20181203;16;25150;24757,575
20181203;17;25600;25384,025
20181203;18;25400;25108,388
20181203;19;25000;24676,963
20181203;20;24900;24483,438
20181203;21;23900;23804,313
20181203;22;22300;22276,900
20181203;23;20700;20792,963
20181203;24;19400;19313,888
20181204;1;18500;18219,575
20181204;2;17900;17511,138
20181204;3;17550;17309,438
20181204;4;17650;17392,875
20181204;5;18150;17764,213
20181204;6;19750;18536,013
20181204;7;23050;21109,825
20181204;8;23850;22890,825
20181204;9;24600;23646,600
20181204;10;24800;23980,388
20181204;11;24850;24003,275
20181204;12;24950;24184,375
20181204;13;25050;24200,000
20181204;14;25200;24376,125
20181204;15;24950;24031,388
20181204;16;25700;24114,450
20181204;17;25800;24763,363
20181204;18;25650;24532,025
20181204;19;25150;24168,263
20181204;20;24950;24022,838
20181204;21;24200;23309,363
20181204;22;22700;21872,413
20181204;23;21100;20368,988
20181204;24;19700;19019,038
20181205;1;18600;18086,725
20181205;2;18000;17467,213
20181205;3;17700;17202,588
20181205;4;18000;17257,125
20181205;5;18500;17588,213
20181205;6;20000;18528,875
20181205;7;23200;21380,925
20181205;8;24100;23252,438
20181205;9;24800;24202,075
20181205;10;25000;24499,850
20181205;11;25100;24357,163
20181205;12;25200;24482,138
20181205;13;25300;24536,225
20181205;14;25400;24609,388
20181205;15;25000;24356,088
20181205;16;25600;24622,988
20181205;17;25900;25599,225
20181205;18;25700;25565,675
20181205;19;25200;25081,675
20181205;20;25000;24935,888
20181205;21;24300;24283,600
20181205;22;22800;22792,925
20181205;23;21200;21095,525
20181205;24;19800;19776,288
20181206;1;18400;18812,538
20181206;2;17800;18174,813
20181206;3;17500;17911,900
20181206;4;17700;18083,213
20181206;5;18200;18371,213
20181206;6;19700;19220,363
20181206;7;23100;21950,113
20181206;8;24000;23885,850
20181206;9;24900;24629,188
20181206;10;25100;24884,863
20181206;11;25200;24755,100
20181206;12;25300;25052,325
20181206;13;25400;25070,225
20181206;14;25500;25227,613
20181206;15;25100;25031,850
20181206;16;25700;25298,638
20181206;17;25800;26001,425
20181206;18;25700;25661,325
20181206;19;25200;25101,938
20181206;20;25000;24945,238
20181206;21;24300;24255,100
20181206;22;22800;22615,075
20181206;23;21200;21052,188
20181206;24;19800;19773,500
20181207;1;18700;18800,963
20181207;2;18100;18163,700
20181207;3;17800;17827,850
20181207;4;18100;17883,850
20181207;5;18600;18166,763
20181207;6;20100;19056,513
20181207;7;23200;21623,888
20181207;8;24100;23688,738
20181207;9;24900;24422,813
20181207;10;25100;24724,863
20181207;11;25200;24742,813
20181207;12;25300;25007,525
20181207;13;25400;25078,575
20181207;14;25500;25083,413
20181207;15;25200;24766,413
20181207;16;25600;24857,525
20181207;17;25700;25499,750
20181207;18;25600;25142,763
20181207;19;25100;24588,825
20181207;20;24900;24343,613
20181207;21;24200;23630,713
20181207;22;22700;22239,588
20181207;23;21100;20823,488
20181207;24;19700;19526,350
20181208;1;18800;18347,988
20181208;2;18300;17659,413
20181208;3;17900;17213,563
20181208;4;17800;17189,538
20181208;5;17900;17247,413
20181208;6;18300;17413,988
20181208;7;19800;18528,500
20181208;8;20800;19447,000
20181208;9;22000;20476,413
20181208;10;22700;21456,138
20181208;11;23000;21936,288
20181208;12;23000;22012,300
20181208;13;23000;21762,513
20181208;14;22800;21603,300
20181208;15;22200;21086,875
20181208;16;22800;21275,250
20181208;17;22900;22239,100
20181208;18;22700;22140,113
20181208;19;22200;21697,488
20181208;20;21900;21405,250
20181208;21;21200;20661,438
20181208;22;20100;19492,638
20181208;23;19000;18414,825
20181208;24;17800;17377,663
20181209;1;16700;16361,825
20181209;2;16100;15702,875
20181209;3;15700;15339,700
20181209;4;15500;15293,863
20181209;5;15600;15084,475
20181209;6;15800;15204,500
20181209;7;16500;15775,000
20181209;8;16800;15927,450
20181209;9;17900;16695,475
20181209;10;18800;17810,638
20181209;11;19200;18470,625
20181209;12;19400;18869,663
20181209;13;19500;19045,025
20181209;14;19600;19316,650
20181209;15;19400;18974,913
20181209;16;20200;18936,963
20181209;17;20700;19691,563
20181209;18;20700;19896,400
20181209;19;20800;19900,013
20181209;20;20800;19868,613
20181209;21;20300;19543,750
20181209;22;19300;18700,950
20181209;23;18600;17980,763
20181209;24;17400;16946,288
20181210;1;16600;16079,738
20181210;2;16200;15691,763
20181210;3;16000;15563,263
20181210;4;16200;15645,400
20181210;5;16900;16078,925
20181210;6;18600;17149,775
20181210;7;22100;20560,463
20181210;8;23400;22827,088
20181210;9;24300;23752,725
20181210;10;24500;24202,625
20181210;11;24500;24134,475
20181210;12;24600;24441,888
20181210;13;24800;24509,688
20181210;14;25000;24791,688
20181210;15;24700;24432,600
20181210;16;25400;24597,313
20181210;17;25600;25407,425
20181210;18;25500;25271,600
20181210;19;25000;24912,125
20181210;20;24900;24614,875
20181210;21;24100;24052,925
20181210;22;22400;22512,863
20181210;23;21000;20876,250
20181210;24;19500;19518,488
20181211;1;18500;18398,150
20181211;2;17900;17822,938
20181211;3;17600;17580,950
20181211;4;17600;17712,200
20181211;5;18300;18052,700
20181211;6;19700;18795,000
20181211;7;23100;21553,025
20181211;8;24100;23583,138
20181211;9;24700;24362,588
20181211;10;24800;24640,463
20181211;11;24800;24496,950
20181211;12;24900;24762,325
20181211;13;25100;24938,075
20181211;14;25200;25164,425
20181211;15;25000;24807,238
20181211;16;25600;24966,250
20181211;17;25900;25711,863
20181211;18;25700;25501,050
20181211;19;25100;25085,075
20181211;20;25000;24986,463
20181211;21;24300;24318,425
20181211;22;22900;22725,050
20181211;23;21200;21314,550
20181211;24;19800;19933,425
20181212;1;18900;18721,975
20181212;2;18200;18210,700
20181212;3;17900;17816,650
20181212;4;18000;17858,238
20181212;5;18600;18164,650
20181212;6;20100;18980,463
20181212;7;23400;21713,225
20181212;8;24400;23702,888
20181212;9;25100;24565,875
20181212;10;25100;24847,113
20181212;11;25100;24757,313
20181212;12;25300;25071,325
20181212;13;25400;25107,563
20181212;14;25500;25276,188
20181212;15;25200;24963,188
20181212;16;25900;25161,025
20181212;17;26100;25992,888
20181212;18;26000;25779,588
20181212;19;25400;25227,713
20181212;20;25300;25159,038
20181212;21;24600;24395,638
20181212;22;23100;22886,325
20181212;23;21500;21346,300
20181212;24;20100;19935,500
20181213;1;19000;18849,463
20181213;2;18450;18295,388
20181213;3;18100;17903,088
20181213;4;18250;18056,363
20181213;5;18700;18347,038
20181213;6;20400;19148,050
20181213;7;23700;21870,575
20181213;8;24600;23995,600
